code,ROE2,D/E,D/E2
0001,10.5,0.0,0.0
0002,16.33,0.05,0.1
0008,10.53,0.01,0.01
0011,7.05,0.44,0.36
0012,8.44,0.02,0.02
0023,6.94,0.01,0.01
0032,4.11,0.03,0.04
0037,-11.77,0.08,0.09
0039,7.79,2.54,2.63
0040,16.43,0.15,0.15
0049,4.36,0.06,0.04
0050,-2.73,0.12,0.12
0054,6.72,0.07,0.07
0058,1.99,0.0,0.0
0065,11.37,0.01,0.01
0078,3.85,0.13,0.15
0084,6.43,0.01,0.01
0090,0.62,0.0,0.0
0097,20.09,0.05,0.06
0099,21.85,0.31,0.02
0100,4.42,0.01,0.01
0101,2.78,0.2,0.0
0106,24.38,0.0,0.0
0108,10.43,0.01,0.02
0112,4.01,0.09,0.09
0113,3.05,0.0,0.0
0120,5.43,0.0,0.0
0126,36.16,0.03,0.1
0128,20.07,0.02,0.02
0131,-11.28,0.01,0.01
0136,8.88,0.19,0.2
0138,28.85,0.1,0.11
0146,23.05,0.02,0.03
0149,4.34,0.0,0.0
0151,10.83,0.18,0.17
0155,0.0,0.02,0.0
0157,16.32,0.55,0.63
0163,68.29,0.02,0.02
0166,13.41,0.0,0.0
0168,11.16,0.04,0.02
0171,7.02,0.07,0.02
0183,-5.41,0.01,0.01
0186,10.45,0.39,0.42
0187,4.46,0.04,0.06
0189,0.87,0.0,0.0
0190,5.47,0.12,0.13
0192,5.86,0.04,0.05
0193,6.98,0.08,0.07
0197,10.74,0.34,0.27
0198,20.17,0.0,0.0
0199,7.49,0.35,0.34
0201,15.92,0.0,0.0
0205,8.39,0.0,0.0
0206,2.81,0.64,0.58
0207,9.73,0.06,0.12
0209,11.16,0.0,0.0
0210,6.97,0.19,0.22
0211,4.81,0.0,0.0
0213,21.6,0.0,0.0
0215,21.3,0.07,0.08
0216,9.46,0.09,0.1
0218,21.77,0.11,0.26
0219,20.1,0.11,0.12
0221,23.61,0.2,0.2
0225,9.59,0.03,0.03
0228,10.39,0.16,0.18
0230,13.45,0.27,0.31
1007,-1.72,0.19,0.26
1015,-23.04,0.43,0.43
1023,2.12,0.75,0.75
1058,4.45,0.0,0.0
1066,7.7,0.27,0.27
1082,9.29,0.19,0.2
1155,7.81,0.73,0.73
1163,12.14,0.01,0.01
1171,3.08,0.32,0.3
1295,10.73,0.28,0.29
1368,0.84,0.23,0.23
1481,-7.37,0.26,0.2
1538,7.34,0.3,0.3
1562,18.19,1.23,1.38
1619,7.15,0.69,0.68
1651,-3.76,0.28,0.3
1724,31.7,0.47,0.48
1818,45.47,0.01,0.01
1899,7.23,0.93,0.98
1929,5.32,0.0,0.0
1961,6.46,0.39,0.44
1996,8.13,0.01,0.01
2038,0.23,0.0,0.0
2054,-1.29,0.63,0.63
2062,6.34,0.08,0.12
2089,15.47,0.0,0.0
2127,62.77,0.02,0.03
2135,-2.29,0.0,0.0
2186,0.58,0.0,0.0
2194,3.98,1.09,1.15
2216,15.62,0.36,0.36
2291,5.2,0.47,0.47
2305,1.49,0.0,0.0
2445,7.29,0.45,0.48
2453,-0.33,0.0,0.0
2488,7.24,0.26,0.28
2542,4.19,0.0,0.0
2569,-1.46,0.0,0.01
2593,1.24,0.04,0.05
2607,-2.57,0.0,0.0
2658,12.46,0.13,0.0
2828,13.75,0.04,0.07
2836,102.53,0.06,0.02
2852,7.18,0.29,0.3
3026,47.18,0.02,0.02
3034,10.12,0.46,0.46
3042,-0.75,0.02,0.02
3069,18.56,0.28,0.28
3107,2.09,0.03,0.02
3158,-1.15,0.26,0.26
3182,-3.0,1.07,1.07
3204,8.49,0.0,0.0
3255,41.48,0.01,0.02
3298,6.82,0.0,0.0
3301,10.24,0.01,0.01
3336,4.06,0.46,0.46
3379,0.85,0.02,0.02
3417,-10.38,0.63,0.45
3514,7.03,0.02,0.02
3662,0.5,0.21,0.23
3689,15.72,0.01,0.0
3719,14.15,0.0,0.0
3743,2.87,0.31,0.22
3778,-0.44,0.08,0.09
3816,-0.13,0.34,0.35
3859,0.87,0.32,0.32
3867,11.55,0.01,0.02
3883,8.2,0.1,0.09
3948,-2.12,0.0,0.0
4006,1.7,0.04,0.04
4065,5.95,0.01,0.01
4081,-2.79,0.0,0.0
4162,63.54,0.05,0.05
4197,5.52,0.1,0.1
4243,-17.9,0.18,0.18
4251,0.32,0.24,0.2
4324,12.01,0.22,0.26
4405,-5.65,0.03,0.03
4588,4.19,0.39,0.4
4707,90.46,0.35,0.47
4715,-13.55,0.66,0.66
4731,16.3,0.13,0.14
4863,14.04,1.0,1.18
5005,9.13,0.05,0.06
5006,6.01,0.03,0.03
5007,0.42,0.0,0.0
5008,9.06,0.18,0.15
5010,6.46,0.03,0.03
5012,3.26,0.15,0.16
5014,-13.47,0.58,0.57
5015,-0.81,0.01,0.01
5020,1.15,0.27,0.22
5022,-1.42,0.0,0.0
5024,27.7,0.0,0.0
5026,5.49,0.16,0.2
5027,12.92,0.05,0.05
5029,8.84,0.12,0.13
5031,11.29,0.08,0.05
5032,6.89,0.9,0.92
5036,-13.85,0.28,0.23
5041,3.61,0.35,0.36
5049,3.24,0.44,0.46
5053,6.6,0.3,0.29
5054,6.43,0.23,0.23
5056,2.25,0.07,0.08
5065,7.95,0.04,0.05
5066,1.4,0.11,0.14
5072,0.5,0.0,0.0
5073,3.97,0.07,0.07
5075,0.52,0.12,0.08
5080,4.36,0.09,0.09
5081,2.94,0.18,0.14
5084,9.24,0.26,0.28
5088,5.54,0.0,0.0
5090,4.28,0.0,0.01
5094,4.45,0.0,0.0
5095,3.8,0.02,0.02
5100,14.95,0.0,0.0
5102,20.83,0.38,0.4
5106,6.76,0.26,0.24
5109,0.36,0.8,0.8
5110,4.12,0.0,0.0
5111,1.45,0.49,0.0
5116,1.32,0.12,0.12
5120,0.33,0.85,0.85
5121,-4.02,0.98,0.93
5123,2.16,0.35,0.38
5125,5.78,0.08,0.09
5126,8.91,0.28,0.3
5127,-0.97,0.81,0.82
5129,1.06,0.0,0.0
5130,7.95,0.79,0.66
5131,7.79,0.0,0.0
5132,2.13,0.05,0.07
5133,4.19,0.02,0.04
5134,5.35,0.01,0.01
5135,10.8,0.06,0.08
5136,28.12,0.19,0.15
5138,5.36,0.03,0.03
5139,12.26,3.23,3.48
5140,2.2,0.51,0.58
5142,-35.06,0.43,0.43
5143,14.82,0.0,0.0
5147,23.59,0.05,0.06
5151,23.1,0.05,0.06
5159,6.29,0.01,0.02
5160,14.22,0.0,0.0
5162,11.46,0.01,0.01
5167,4.89,0.02,0.02
5168,18.08,0.06,0.08
5171,1.1,0.17,0.19
5176,4.35,0.44,0.04
5180,-3.35,0.52,0.52
5183,5.39,0.09,0.1
5185,2.44,0.37,0.36
5191,3.89,0.15,0.16
5195,-77.16,0.0,0.2
5196,-5.61,1.12,1.26
5197,-5.47,0.0,0.0
5199,-4.01,0.01,0.01
5200,7.47,0.0,0.0
5208,9.64,0.1,0.1
5209,20.03,0.11,0.11
5211,4.01,0.24,0.3
5212,1.18,0.31,0.28
5216,3.03,0.2,0.2
5219,10.32,1.19,1.35
5222,3.47,1.41,1.38
5225,0.82,0.42,0.43
5226,-11.36,0.04,0.04
5227,6.24,0.32,0.32
5228,8.35,0.28,0.43
5232,7.8,0.14,0.16
5235SS,8.58,0.39,0.39
5236,16.19,0.11,0.15
5246,24.29,0.43,0.42
5247,0.05,0.08,0.05
5248,19.49,0.31,0.14
5249,2.41,0.52,0.51
5250,35.29,11.4,13.35
5254,1.67,0.21,0.22
5257,8.07,0.13,0.2
5258,14.41,0.46,0.42
5263,11.55,0.11,0.11
5264,4.62,1.55,1.59
5269,-2.22,0.98,0.97
5271,5.23,0.0,0.0
5272,6.98,2.0,2.12
5273,4.87,0.14,0.16
5274,11.5,0.14,0.14
5276,11.72,0.06,0.06
5277,18.23,0.0,0.0
5278,6.29,0.23,0.25
5279,21.97,0.86,1.21
5280,6.26,0.6,0.61
5281,1.11,0.27,0.3
5283,2.96,0.17,0.17
5284,1.25,0.0,0.0
5285,7.55,0.27,0.29
5286,14.06,0.05,0.01
5288,-5.09,0.34,0.34
5289,7.98,0.0,0.0
5291,6.87,0.14,0.14
5292,28.9,0.02,0.02
5293,10.63,0.38,0.41
5295,17.86,0.07,0.07
5296,55.4,0.89,0.95
5347,6.31,1.23,1.23
5371,-3.59,0.07,0.08
5398,4.47,0.42,0.35
5436,7.75,0.02,0.0
5517,-9.87,0.0,0.0
5533,1.39,0.07,0.07
5614,17.45,0.23,0.25
5681,4.75,0.02,0.02
5703,-11.18,0.14,0.15
5789,2.95,0.37,0.32
5797,3.82,0.0,0.0
5819,9.47,0.1,0.1
5827,13.65,0.05,0.11
5843,3.5,0.45,0.51
5878,5.6,1.24,1.27
5908,7.58,0.51,0.85
5916,3.98,0.13,0.14
5983,8.89,0.0,0.0
6009,-3.51,0.32,0.32
6012,19.58,1.11,1.35
6017,5.12,0.0,0.0
6033,15.53,0.25,0.25
6068,10.29,0.18,0.16
6084,-2.47,0.02,0.02
6114,2.57,0.17,0.17
6139,26.53,0.0,0.0
6149,-0.78,0.53,0.54
6173,1.14,0.07,0.07
6238,3.95,0.03,0.04
6262,11.16,0.01,0.01
6351,20.99,0.02,0.02
6399,55.84,2.21,2.5
6432,5.83,0.0,0.0
6459,6.05,0.13,0.14
6483,10.74,0.23,0.34
6491,3.64,0.05,0.06
6521,2.97,0.1,0.09
6599,2.46,1.2,1.24
6633,6.75,0.54,0.59
6645,26.14,0.32,0.54
6718,2.95,0.17,0.17
6742,0.55,1.7,1.71
6815,10.06,0.12,0.27
6888,2.16,1.27,1.28
6939,7.05,0.09,0.11
6947,192.91,7.59,7.72
6963,7.03,0.06,0.03
6971,12.73,0.15,0.11
7006,2.94,0.05,0.03
7022,17.11,0.0,0.0
7025,4.26,0.01,0.01
7029,10.29,0.01,0.01
7033,2.54,0.18,0.19
7034,12.33,0.08,0.09
7035,13.0,0.08,0.08
7047,10.74,0.01,0.01
7048,1.18,0.25,0.21
7050,4.58,0.19,0.22
7052,9.98,0.41,0.56
7053,-8.41,0.3,0.33
7060,2.48,0.0,0.0
7062,19.77,0.16,0.17
7076,7.45,0.18,0.17
7081,8.14,0.0,0.0
7082,-8.8,0.15,0.23
7083,2.75,0.05,0.05
7084,12.11,0.35,0.39
7085,2.26,0.18,0.2
7087,21.41,0.0,0.0
7088,13.16,0.04,0.03
7089,19.27,0.02,0.02
7090,12.55,0.01,0.01
7091,6.15,0.07,0.08
7095,9.81,0.0,0.0
7100,49.09,0.0,0.0
7103,8.3,0.0,0.0
7106,39.57,0.02,0.07
7107,5.21,0.03,0.05
7113,40.28,0.02,0.04
7130,19.61,0.04,0.02
7133,1.22,0.01,0.02
7137,0.84,0.0,0.0
7140,6.45,0.0,0.0
7148,9.99,0.4,0.39
7149,3.66,0.0,0.0
7152,10.71,0.07,0.07
7153,57.06,0.03,0.05
7155,12.21,0.0,0.01
7157,2.5,0.0,0.0
7160,15.0,0.0,0.01
7161,8.32,0.0,0.0
