code,name,Price,EPS,52w low,52w high,EPS GR 3Y avg,EPS GR 5Y avg,EPS GR 10Y avg,P/E mid,DPayout avg,intrinsic 3Y,intrinsic 5Y,intrinsic 10Y,Price A3,Price A5,Price A10,Price B
0001,SUPERCOMNET TECHNOLOGIES BERHAD,1.53,0.03,1.226,2.372,40.69,19.36,0.0,37.58,18.26,0.08,0.15,0.35,0.06,0.11,0.26,1.6
0002,KOTRA INDUSTRIES BERHAD,2.32,0.13,2.3,4.45,31.86,92.71,7.87,17.06,15.4,0.44,0.16,1.01,0.33,0.12,0.76,3.01
0008,WILLOWGLEN MSC BERHAD,0.42,0.04,0.41,0.57,-1.45,-0.19,6.92,19.68,35.28,0.62,0.55,0.38,0.46,0.41,0.29,0.46
0011,BRITE-TECH BERHAD,0.475,0.05,0.31,0.68,5.21,-0.32,15.8,18.25,75.06,0.67,0.91,0.43,0.5,0.68,0.32,0.43
0012,THREE-A RESOURCES BERHAD,0.795,0.07,0.77,1.03,-12.33,8.73,5.82,13.74,27.37,1.94,0.59,0.66,1.46,0.44,0.5,0.86
0023,IFCA MSC BERHAD,0.31,0.02,0.3,0.52,-4.61,-17.77,0.0,29.5,22.17,0.34,0.85,0.24,0.26,0.64,0.18,0.37
0032,REDTONE INTERNATIONAL BERHAD,0.43,0.01,0.295,0.505,0.0,-20.21,0.0,6.75,0.0,0.1,0.38,0.1,0.08,0.29,0.08,0.36
0037,RGB INTERNATIONAL BHD,0.12,-0.02,0.11,0.185,0.0,0.0,0.0,3.5,13.72,-0.23,-0.23,-0.23,-0.17,-0.17,-0.17,0.13
0039,GFM SERVICES BERHAD,0.225,0.02,0.155,0.5,-9.49,0.0,0.0,14.66,15.42,0.41,0.23,0.23,0.31,0.17,0.17,0.27
0040,OPENSYS (M) BERHAD,0.39,0.03,0.385,0.88,18.25,8.45,24.44,24.12,45.78,0.2,0.29,0.16,0.15,0.22,0.12,0.55
0049,OCEANCASH PACIFIC BERHAD,0.47,0.02,0.455,1.52,-24.38,-13.41,8.92,18.57,25.18,1.47,0.63,0.16,1.1,0.47,0.12,0.81
0050,SYSTECH BHD,0.265,-0.0,0.165,0.52,0.0,0.0,0.0,20.75,39.13,0.0,0.0,0.0,0.0,0.0,0.0,0.28
0054,KARYON INDUSTRIES BERHAD,0.25,0.01,0.17,0.355,-7.34,-4.11,4.33,17.25,12.35,0.24,0.17,0.07,0.18,0.13,0.05,0.23
0058,JCBNEXT BERHAD,1.52,0.06,1.2,1.92,-0.55,-23.46,-17.18,26.56,142.59,1.54,9.13,4.61,1.16,6.85,3.46,1.44
0065,EXCEL FORCE MSC BERHAD,0.545,0.02,0.41,0.745,19.12,0.91,3.6,91.5,83.97,0.16,0.34,0.29,0.12,0.26,0.22,0.52
0078,GD EXPRESS CARRIER BERHAD,0.345,0.0,0.32,0.545,-20.23,-11.2,8.6,90.25,37.63,0.0,0.0,0.0,0.0,0.0,0.0,0.39
0084,TECHFAST HOLDINGS BERHAD,0.265,-0.0,0.245,0.69,-16.45,-4.02,-2.73,31.25,57.6,0.0,0.0,0.0,0.0,0.0,0.0,0.39
0090,ELSOFT RESEARCH BERHAD,0.77,0.0,0.585,1.04,-71.85,-52.18,-16.44,42.84,69.09,0.0,0.0,0.0,0.0,0.0,0.0,0.74
0097,VITROX CORPORATION BERHAD,15.48,0.24,9.82,18.16,8.26,18.77,17.03,46.66,16.21,1.85,1.22,1.3,1.39,0.92,0.98,12.57
0099,SCICOM (MSC) BERHAD,1.1,0.07,0.84,1.39,-21.4,-8.68,10.08,17.89,73.76,5.78,2.03,0.74,4.34,1.52,0.55,1.02
0100,ES CERAMICS TECHNOLOGY BHD,0.515,0.03,0.245,1.035,-28.84,-17.92,2.41,28.75,11.93,3.3,1.22,0.29,2.47,0.92,0.22,0.51
0101,TMC LIFE SCIENCES BERHAD,0.64,0.01,0.47,0.82,24.4,16.41,-11.43,54.62,0.0,0.04,0.05,0.2,0.03,0.04,0.15,0.59
0106,REXIT BERHAD,0.835,0.05,0.625,1.23,7.72,11.21,3.9,16.66,76.96,0.6,0.53,0.72,0.45,0.4,0.54,0.82
0108,N2N CONNECT BERHAD,0.785,0.05,0.645,0.972,0.84,20.24,0.0,33.45,49.84,0.69,0.31,0.75,0.52,0.23,0.56,0.75
0112,MIKRO MSC BERHAD,0.24,0.01,0.185,0.315,-39.8,-23.51,-5.92,24.0,50.62,4.8,0.73,0.28,3.6,0.55,0.21,0.23
0113,MMS VENTURES BERHAD,0.89,0.01,0.615,1.44,-55.52,-25.38,16.49,44.35,35.51,32.99,0.75,0.06,24.74,0.56,0.04,0.89
