code,name,category,Annual,nYear,3G2H,PE Value,EPS GR Value,Price,P/E,EPS,DY,52w low,52w high,P/E min,P/E max,P/E mid,EPS GR min,EPS GR 3Y avg,EPS GR 5Y avg,EPS GR 10Y avg
5248,BERMAZ AUTO BERHAD,Automotive,2020-04-01,10,2.5,1.69,2.55,1.51,13.0,0.12,4.3,1.12,1.64,5.91,22.2,14.06,21.27,-5.28,-13.99,21.27
5983,MBM RESOURCES BHD,Automotive,2020-12-01,10,1.5,1.42,0.38,3.11,7.0,0.45,6.43,2.58,3.73,-6.29,12.59,3.15,0.84,0.0,13.61,0.84
7060,NEW HOONG FATT HOLDINGS BERHAD,Automotive,2020-12-01,10,2.0,3.36,0.0,2.28,8.0,0.27,3.51,1.92,2.41,9.0,15.88,12.44,0.0,-17.16,-9.7,-8.22
7080,PERMAJU INDUSTRIES BERHAD,Automotive,2020-06-01,10,1.0,0.22,-0.0,0.115,-6.0,-0.02,0.0,0.105,0.465,-18.33,-3.5,-10.92,0.0,0.0,0.0,0.0
1015,AMMB HOLDINGS BERHAD,Banking,2021-03-01,10,2.0,-4.75,-0.0,2.88,-2.0,-1.15,4.62,2.63,3.79,-2.31,10.57,4.13,0.0,0.0,0.0,0.0
1023,CIMB GROUP HOLDINGS BERHAD,Banking,2020-12-01,10,1.0,7.03,0.0,4.49,14.0,0.31,1.07,2.9,4.75,9.52,35.83,22.67,0.0,-37.63,-18.56,-13.1
1066,RHB BANK BERHAD,Banking,2020-12-01,10,1.5,5.26,0.74,5.25,10.0,0.52,3.36,4.17,5.98,9.28,10.95,10.11,1.42,1.42,-2.69,-1.95
1082,HONG LEONG FINANCIAL GROUP BERHAD,Banking,2020-06-01,10,2.0,20.03,2.95,17.82,9.0,1.93,2.13,12.34,18.7,8.04,12.73,10.38,1.53,7.47,1.53,7.37
1155,MALAYAN BANKING BERHAD,Banking,2020-12-01,10,0.0,7.74,0.0,8.13,14.0,0.58,6.4,6.96,9.01,11.84,14.84,13.34,0.0,-7.11,-4.33,-0.65
1295,PUBLIC BANK BERHAD,Banking,2020-12-01,10,3.0,20.12,1.65,4.06,16.0,0.26,3.2,2.968,4.97,69.43,85.38,77.4,6.34,-3.97,-0.87,6.34
2488,ALLIANCE BANK MALAYSIA BERHAD,Banking,2020-03-01,10,2.0,2.12,0.78,2.41,10.0,0.23,2.4,2.1,3.06,5.59,12.85,9.22,3.41,-6.48,-4.67,3.41
5185,AFFIN BANK BERHAD,Banking,2020-12-01,10,1.5,1.0,0.0,1.71,21.0,0.08,2.05,1.35,2.04,8.26,16.73,12.5,0.0,-22.9,-10.36,-9.82
5258,BIMB HOLDINGS BERHAD,Banking,2019-12-01,10,1.5,3.73,1.58,3.78,11.0,0.34,3.33,3.1,4.58,9.37,12.57,10.97,4.66,8.28,4.66,13.18
