code,name,category,Annual,nYear,3G2H,PE Value,EPS GR Value,Price A5,Price A10,Price B,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE,ROE2,D/E,D/E2,NPM avg,P/E min,P/E max,P/E mid,P/E avg,EPS GR min,EY avg,EY std,EY 3Y avg,EY 5Y avg,EY 10Y avg,DY avg,DY 3Y avg,DY 5Y avg,DY 10Y avg,DPayout avg,Revenue GR 3Y avg,Revenue GR 5Y avg,Revenue GR 10Y avg,NP GR 3Y avg,NP GR 5Y avg,NP GR 10Y avg,EPS GR 3Y avg,EPS GR 5Y avg,EPS GR 10Y avg,check NP,check EPS GR,check OCF,neg Revenue GR,neg NP,neg EPS GR,neg OCF,Revenue start,Revenue end,EPS start,EPS end,OCF start,OCF end,intrinsic 3Y,intrinsic 5Y,intrinsic 10Y,Price A3,EY level,DY level,Revenue Growth,EPS Growth,OCF Growth,ROE Health,D/E Health
9776,SINMAH CAPITAL BERHAD,Agricultural Products,2020-12-01,10,1.0,0.01,-0.0,-0.45,-0.45,0.26,0.355,0.115,0.54,0.3424,-6.0,-0.06,-16.9,0.0,0.0,-18.31,-24.67,0.22,0.31,-5.04,-5.2,4.82,-0.19,9.46,0.0,-27.81,91.04,-104.96,-52.22,-27.81,0.0,0.0,0.0,0.0,0.0,-27.52,-19.94,-10.11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+3+4+5+6+7+9,1+2+3+6+9,1+2+3+5+6+7+8+9,1+2+5+6+8,407,114,0.13,-0.1,17,-13,-0.6,-0.6,-0.6,-0.45,0,0,0.0,0.0,0.0,0.0,1.0
0190,EVERSAFE RUBBER BERHAD,Auto Parts,2020-12-01,7,2.0,0.28,1.9,0.44,0.23,0.27,0.33,0.185,0.435,0.269,21.0,0.02,6.06,0.01,3.03,5.95,5.47,0.12,0.13,4.76,0.0,28.0,14.0,23.5,95.05,2.21,2.29,2.94,0.0,0.0,2.85,2.78,0.0,0.0,55.76,4.42,6.54,0.0,-10.23,0.0,0.0,95.05,-10.24,0.0,1,0,0,1+5+6,+,4+7,4,81,103,0.02,0.01,6,8,0.03,0.59,0.31,0.02,3,5,0.5,0.0,0.5,0.0,1.0
5015,APM AUTOMOTIVE HOLDINGS BERHAD,Auto Parts,2020-12-01,10,1.0,-0.83,0.0,0.55,0.55,1.96,2.32,1.62,2.66,6.82,46.0,0.05,2.16,0.07,3.02,0.73,-0.81,0.01,0.01,4.96,-51.0,17.95,-16.52,14.81,0.0,7.98,4.18,3.99,4.9,7.98,4.43,4.25,4.31,4.43,48.09,-1.9,-0.54,-0.49,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1+4+6+7,1,1+2+3+4+5+6+7+9+10,+,1182,1122,0.6,-0.05,148,144,0.74,0.74,0.74,0.55,0,5,0.0,0.0,0.0,0.0,1.0
5198,ABM FUJIYA BERHAD,Auto Parts,2020-12-01,9,1.5,0.31,0.0,0.13,0.08,0.42,0.46,0.33,0.59,0.9,35.0,0.01,2.17,0.0,0.0,1.44,1.4,0.02,0.03,3.81,12.0,50.0,31.0,30.75,0.0,4.86,2.04,2.75,4.21,0.0,0.0,0.0,0.0,0.0,0.0,-4.48,-4.79,0.0,-4.91,0.0,0.0,-29.13,-4.9,0.0,1,0,0,1+2+4+5+7+8+9,+,2+3+6+7+8+9,3,134,87,0.04,0.01,11,33,0.94,0.17,0.1,0.7,0,0,0.0,0.0,0.5,0.0,1.0
5271,PECCA GROUP BERHAD,Auto Parts,2020-06-01,6,1.0,1.79,0.0,4.26,1.17,2.1,4.06,0.805,4.73,91.08,41.0,0.1,2.46,0.04,1.08,0.11,5.23,0.0,0.0,11.62,12.89,23.0,17.94,18.76,0.0,5.58,1.24,5.97,5.58,0.0,4.08,5.55,4.08,0.0,56.42,-5.03,-4.18,0.0,-14.11,0.0,0.0,-16.05,-18.44,0.0,1,0,1,1+3+4+5+6,+,1+3+4+5+6,+,130,105,0.12,0.04,9,4,4.6,5.68,1.56,3.45,0,1,0.0,0.0,0.0,0.0,1.0
7004,MCE HOLDINGS BERHAD,Auto Parts,2020-07-01,10,1.0,0.31,0.0,0.74,0.74,0.94,1.3,0.47,1.88,1.6839,17.0,0.08,6.15,0.0,0.0,4.5,-7.24,0.16,0.14,3.09,-18.88,26.67,3.9,9.08,0.0,3.76,19.66,-18.43,-11.63,3.76,2.23,0.0,0.25,2.23,24.25,-2.28,-3.64,-3.21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3+5+6+7+8+10,1+2+3+5+6,1+2+3+4+5+6+7+10,2,102,75,0.19,-0.13,16,2,0.99,0.99,0.99,0.74,3,0,0.0,0.0,0.0,0.0,1.0
7096,GPA HOLDINGS BERHAD,Auto Parts,2020-03-01,9,1.0,0.0,-0.0,0.0,0.0,0.12,0.04,0.035,0.302,0.11,-59.0,-0.0,-0.0,0.0,0.0,-0.64,-0.98,0.0,0.0,-3.87,-11.5,9.0,-1.25,9.0,0.0,-6.15,11.14,0.0,-1.26,0.0,0.0,0.0,0.0,0.0,12.26,-31.42,-27.28,-15.81,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+2+3+4+5+6+7+9,1+2+3+5+6+7+8,1+2+3+4+5+6+7+8+9,6+7+8+9,148,29,-0.02,0.0,0,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0
7132,SMIS CORPORATION BERHAD,Auto Parts,2020-12-01,8,2.0,0.04,0.0,0.09,0.09,0.47,0.775,0.255,0.91,1.27,111.0,0.01,1.29,0.0,0.0,0.55,-7.45,0.08,0.08,-0.77,-9.0,18.0,4.5,27.58,0.0,-5.77,14.08,-12.64,-14.12,0.0,2.19,0.0,0.95,0.0,15.78,-6.75,-6.69,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1+2+4+5+6,1+3+4+5,1+2+3+4+5+6+8,+,133,101,0.1,-0.1,5,11,0.12,0.12,0.12,0.09,0,0,0.0,0.0,1.0,0.0,1.0
7192,GOODWAY INTEGRATED INDUSTRIES BERHAD,Auto Parts,2019-06-01,10,0.0,-0.09,-0.0,-0.8,-0.8,0.45,0.24,0.15,1.05,0.09,-2.0,-0.1,-41.67,0.0,0.0,-107.56,-81.29,1.18,0.75,-25.86,-2.37,4.1,0.86,10.3,0.0,-30.92,63.32,-95.17,-64.45,-30.92,1.73,0.0,0.98,1.73,7.25,-28.52,-24.52,-12.35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+2+3+4+5+8+9+10,1+2+3+4+10,1+2+3+4+7+8+9+10,2+7+8+10,254,46,-0.13,-0.26,0,16,-1.07,-1.07,-1.07,-0.8,0,0,0.0,0.0,0.0,0.0,0.0
7226,WATTA HOLDING BERHAD,Auto Parts,2020-12-01,8,1.0,0.1,-0.0,-0.15,-0.15,0.58,0.62,0.42,0.9,0.66,-27.0,-0.02,-3.23,0.0,0.0,-3.44,-2.52,0.0,0.01,-1.37,-36.0,26.0,-5.0,20.0,0.0,-0.83,4.26,-1.59,-2.76,0.0,1.34,0.0,0.0,0.0,0.0,-23.85,-17.06,-5.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+2+3+5+8,1+3+4+5,1+2+3+4+5+6+7,1+2+3+4+6+8,24,12,0.0,-0.02,0,-1,-0.2,-0.2,-0.2,-0.15,0,0,0.0,0.0,0.0,0.0,1.0
7773,EP MANUFACTURING BHD,Auto Parts,2020-12-01,10,1.0,0.23,-0.0,-0.43,-0.43,0.46,0.645,0.25,0.89,1.57,-13.0,-0.05,-7.75,0.0,0.0,-3.28,-5.94,0.1,0.11,-0.13,-6.57,-2.63,-4.6,8.83,0.0,-4.45,24.27,-25.75,-27.05,-4.45,2.81,0.0,0.4,2.81,16.82,-4.72,-4.08,-3.58,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1+3+5+6+8+9+10,1+2+3+4+5,1+2+3+4+5+6+8+9,+,578,408,0.24,-0.1,119,53,-0.58,-0.58,-0.58,-0.43,0,0,0.0,0.0,0.0,0.0,1.0
7811,SAPURA INDUSTRIAL BERHAD,Auto Parts,2021-01-01,10,1.0,3.55,0.0,29.61,10.36,0.66,0.795,0.41,1.16,1.45,10.0,0.08,10.06,0.01,1.26,5.42,0.69,0.22,0.23,3.38,11.25,77.5,44.38,29.13,0.0,10.77,7.38,4.74,5.52,10.77,7.0,4.21,4.99,7.0,74.3,-9.7,-7.02,-5.84,-37.61,-28.37,0.0,-38.17,-37.66,-28.39,1,0,1,1+2+4+5+6+7+9,+,1+2+4+5+6+7+9,+,285,156,0.3,0.01,29,24,42.86,39.48,13.82,32.14,4,1,0.0,0.0,0.0,0.0,1.0
9083,KUMPULAN JETSON BERHAD,Auto Parts,2020-12-01,9,1.5,0.1,-0.0,-0.22,-0.22,0.38,0.44,0.15,0.85,0.3164,-13.0,-0.03,-6.82,0.0,0.0,-10.68,-11.05,0.3,0.33,-4.42,-6.25,-0.14,-3.2,26.5,0.0,-89.95,214.05,-21.36,-159.56,0.0,0.0,0.0,0.0,0.0,0.0,2.33,-2.08,-1.93,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+2+4+5+7+9,1+2+3+4+5+7+8+9,1+2+3+4+5+6+7+8+9,4+7+9,136,158,-0.04,-0.04,-10,9,-0.3,-0.3,-0.3,-0.22,0,0,0.0,0.0,0.5,0.0,1.0
1619,DRB-HICOM BERHAD,Automotive,2020-12-01,10,0.5,6.03,0.55,1.65,2.61,1.82,1.64,1.61,2.25,3.91,4.0,0.37,22.56,0.02,1.22,9.4,7.15,0.69,0.68,3.44,-7.08,39.67,16.3,13.7,1.5,8.08,15.35,9.35,-1.4,8.08,1.89,0.92,1.11,1.89,2.02,2.35,-0.69,7.06,11.41,0.71,0.0,0.0,11.23,1.5,0,0,0,2+4+5+6+10,4+5,2+3+4+5+6+7+8+10,2+5+7,3138,13156,0.11,0.29,806,1523,3.77,2.2,3.48,2.83,5,1,0.0,0.0,0.5,0.0,0.0
2925,CYCLE & CARRIAGE BINTANG BERHAD,Automotive,2020-12-01,10,1.0,-0.0,0.0,0.0,0.0,1.94,2.4,1.33,3.18,2.38,2442.0,0.0,0.0,0.0,0.0,0.04,-5.36,0.38,0.39,0.92,-18.17,7.89,-5.14,20.4,0.0,3.02,10.17,-4.31,-1.15,3.02,1.06,0.0,0.79,1.06,17.63,-8.6,-7.26,6.29,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+2+4+5+8+9,1+2+4,1+2+3+4+5+8+9+10,2+3+4+5+6+8+9,678,1084,0.26,-0.13,7,126,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0
