code,nYear,Revenue start,Revenue end,EPS start,EPS end,OCF start,OCF end,ROE,ROE2,D/E,D/E2,P/E mid,EPS,EPS GR min,EY level,DY level,neg Revenue count,neg EPS count,neg OCF count,Revenue Growth,EPS Growth,OCF Growth,ROE Health,D/E Health,3G2H,PE Value,EPS GR Value
4731,10,804,3517,0.06,0.25,111,715,16.27,16.3,0.13,0.14,53.48,0.29,11.22,3,5,0,0,0,1.0,1.0,1.0,1.0,1.0,5.0,15.51,3.25
5292,5,76,219,0.02,0.05,32,55,31.65,28.9,0.02,0.02,45.5,0.08,56.52,0,0,1,2,0,0.5,0.5,1.0,1.0,1.0,4.0,3.64,4.52
7087,10,444,1206,0.04,0.28,9,98,18.31,21.41,0.0,0.0,16.89,0.29,0.39,4,5,3,2,0,0.5,0.5,1.0,1.0,1.0,4.0,4.9,0.11
7153,10,1090,3638,0.03,0.42,46,1146,65.97,57.06,0.03,0.05,63.28,0.81,25.36,5,5,1,2,0,0.5,0.5,1.0,1.0,1.0,4.0,51.26,20.54
4707,10,4701,5412,1.82,2.36,582,909,73.09,90.46,0.35,0.47,43.8,2.31,3.51,0,2,3,2,0,0.5,0.5,1.0,1.0,1.0,4.0,101.18,8.11
5246,10,1387,1975,0.1,0.19,491,1025,25.21,24.29,0.43,0.42,22.12,0.21,0.14,2,4,2,2,0,0.5,0.5,1.0,1.0,1.0,4.0,4.65,0.03
0208,6,21,261,0.02,0.07,8,103,35.79,36.43,0.06,0.06,65.0,0.1,24.6,0,0,2,2,0,0.5,0.5,1.0,1.0,1.0,4.0,6.5,2.46
7803,9,377,417,0.03,0.16,32,141,45.55,45.02,0.01,0.01,13.66,0.25,32.54,5,0,3,5,0,0.5,0.0,1.0,1.0,1.0,3.5,3.42,8.14
1818,10,381,779,0.18,0.47,177,417,56.51,45.47,0.01,0.01,27.27,0.54,12.64,3,5,2,3,0,0.5,0.0,1.0,1.0,1.0,3.5,14.73,6.83
7089,10,285,932,0.06,0.42,11,38,15.97,19.27,0.02,0.02,8.23,0.38,2.25,4,5,1,5,0,0.5,0.0,1.0,1.0,1.0,3.5,3.13,0.86
7100,10,103,155,0.12,0.19,54,86,42.98,49.09,0.0,0.0,17.19,0.19,3.71,3,5,2,4,0,0.5,0.0,1.0,1.0,1.0,3.5,3.27,0.7
8621,10,663,1221,0.39,0.85,-12,257,17.12,16.64,0.02,0.02,18.94,0.86,0.96,3,5,2,1,2,0.5,0.5,0.5,1.0,1.0,3.5,16.29,0.83
0221,5,104,243,0.01,0.05,8,20,17.82,23.61,0.2,0.2,5.5,0.04,44.88,3,5,3,1,1,0.5,0.5,0.5,1.0,1.0,3.5,0.22,1.8
6645,10,319,504,0.2,0.49,253,361,17.42,26.14,0.32,0.54,13.08,0.39,5.48,4,5,4,2,0,0.0,0.5,1.0,1.0,1.0,3.5,5.1,2.14
0106,10,15,25,0.02,0.05,6,9,24.86,24.38,0.0,0.0,16.66,0.05,3.9,3,5,3,6,0,0.5,0.0,1.0,1.0,1.0,3.5,0.83,0.2
2836,10,1489,1785,0.54,0.53,155,212,74.88,102.53,0.06,0.02,32.32,0.51,1.98,0,2,2,3,0,0.5,0.0,1.0,1.0,1.0,3.5,16.48,1.01
5024,10,240,327,0.02,0.05,33,47,26.59,27.7,0.0,0.0,18.75,0.05,5.64,3,5,1,6,0,0.5,0.0,1.0,1.0,1.0,3.5,0.94,0.28
0097,10,79,470,0.05,0.22,10,98,19.18,20.09,0.05,0.06,46.66,0.24,8.26,0,0,3,3,0,0.5,0.0,1.0,1.0,1.0,3.5,11.2,1.98
0163,9,55,476,0.01,0.23,-2,149,63.77,68.29,0.02,0.02,7.5,0.44,71.62,5,1,0,6,2,1.0,0.0,0.5,1.0,1.0,3.5,3.3,31.51
0213,5,127,166,0.02,0.05,18,45,15.97,21.6,0.0,0.0,5.1,0.05,14.62,3,5,2,3,0,0.5,0.0,1.0,1.0,1.0,3.5,0.26,0.73
