code,nYear,Revenue start,Revenue end,EPS start,EPS end,OCF start,OCF end,ROE,ROE2,D/E,D/E2,P/E mid,EPS,EPS GR min,EY level,DY level,neg Revenue count,neg EPS count,neg OCF count,Revenue Growth,EPS Growth,OCF Growth,ROE Health,D/E Health,3G2H,PE Value,EPS GR Value
4707,10,4026,5518,1.67,2.87,509,726,90.78,102.01,0.26,0.27,39.2,2.44,1.84,0.0,2.0,2,1,0,0.5,0.5,1.0,1.0,1.0,4.0,95.65,4.49
5168,10,735,2924,0.07,0.13,185,656,20.44,21.42,0.07,0.09,78.46,0.16,10.05,0.0,0.0,0,4,0,1.0,0.0,1.0,1.0,1.0,4.0,12.55,1.61
5168,10,735,2924,0.07,0.13,185,656,20.44,18.08,0.06,0.08,78.46,0.16,10.05,0.0,0.0,0,4,0,1.0,0.0,1.0,1.0,1.0,4.0,12.55,1.61
4731,10,695,3246,0.14,0.67,78,557,15.67,16.73,0.15,0.12,17.52,0.74,7.94,3.0,3.0,1,1,0,0.5,0.5,1.0,1.0,1.0,4.0,12.96,5.88
6645,10,319,504,0.2,0.49,253,361,20.01,26.14,0.35,0.54,16.5,0.42,5.48,4.0,5.0,3,1,0,0.5,0.5,1.0,1.0,1.0,4.0,6.93,2.3
0208,5,21,216,0.05,0.11,8,104,28.95,39.4,0.08,0.1,10.91,0.11,32.52,0.0,0.0,2,2,0,0.5,0.5,1.0,1.0,1.0,4.0,1.2,3.58
7087,10,444,1206,0.04,0.28,9,98,18.76,21.41,0.0,0.0,19.98,0.27,0.39,4.0,5.0,2,1,0,0.5,0.5,1.0,1.0,1.0,4.0,5.39,0.11
7153,10,1047,2217,0.09,0.18,138,275,19.4,16.4,0.1,0.12,40.61,0.24,9.07,0.0,0.0,1,2,0,0.5,0.5,1.0,1.0,1.0,4.0,9.75,2.18
5246,10,943,1742,0.09,0.17,481,960,21.71,23.75,0.47,0.52,13.74,0.17,2.9,2.0,5.0,3,3,0,0.5,0.0,1.0,1.0,1.0,3.5,2.34,0.49
0216,5,36,61,0.02,0.04,4,12,9.25,16.13,0.09,0.09,3.25,0.01,34.24,2.0,3.0,1,2,0,0.5,0.5,1.0,0.5,1.0,3.5,0.03,0.34
1818,10,331,480,0.14,0.23,154,187,30.11,22.72,0.01,0.01,40.07,0.3,0.26,2.0,3.0,2,4,0,0.5,0.0,1.0,1.0,1.0,3.5,12.02,0.08
0128,10,147,340,0.01,0.07,21,115,17.7,19.71,0.03,0.03,19.86,0.07,20.52,0.0,0.0,3,5,0,0.5,0.0,1.0,1.0,1.0,3.5,1.39,1.44
5277,7,30,51,0.02,0.03,9,23,16.72,18.23,0.0,0.0,21.38,0.03,1.31,1.0,1.0,3,3,0,0.5,0.0,1.0,1.0,1.0,3.5,0.64,0.04
0040,10,27,103,0.0,0.04,10,13,17.55,18.29,0.18,0.21,12.75,0.04,13.04,2.0,2.0,2,2,1,0.5,0.5,0.5,1.0,1.0,3.5,0.51,0.52
0201,5,23,30,0.04,0.03,12,12,15.19,20.93,0.0,0.0,10.66,0.04,0.0,2.0,1.0,1,2,0,0.5,0.0,1.0,1.0,1.0,3.5,0.43,0.0
7277,10,1139,2386,0.03,0.1,201,334,15.24,14.7,0.35,0.35,62.78,0.11,16.35,1.0,1.0,4,1,0,0.0,0.5,1.0,1.0,1.0,3.5,6.91,1.8
7100,10,101,157,0.13,0.17,49,84,45.97,48.53,0.0,0.0,14.89,0.16,7.82,3.0,5.0,1,4,0,0.5,0.0,1.0,1.0,1.0,3.5,2.38,1.25
0090,10,11,34,0.01,0.03,2,14,7.31,15.49,0.0,0.0,42.84,0.01,26.08,0.0,5.0,1,2,0,0.5,0.5,1.0,0.5,1.0,3.5,0.43,0.26
0002,10,102,173,0.09,0.16,3,37,15.28,13.64,0.12,0.18,37.0,0.2,7.78,3.0,3.0,3,4,0,0.5,0.0,1.0,1.0,1.0,3.5,7.4,1.56
0163,8,55,365,0.01,-0.01,-2,48,23.25,-5.79,0.06,0.19,7.5,0.06,0.0,0.0,0.0,0,5,2,1.0,0.0,0.5,1.0,1.0,3.5,0.45,0.0
7089,10,261,837,0.1,0.44,6,132,18.17,22.48,0.02,0.03,12.24,0.4,2.48,4.0,0.0,1,4,0,0.5,0.0,1.0,1.0,1.0,3.5,4.9,0.99
7106,10,804,1538,0.06,0.05,226,235,16.37,11.53,0.09,0.05,120.16,0.19,0.17,0.0,0.0,3,6,0,0.5,0.0,1.0,1.0,1.0,3.5,22.83,0.03
0200,5,14,58,0.01,0.02,1,2,8.64,21.66,0.09,0.11,35.5,0.02,23.24,0.0,0.0,1,2,0,0.5,0.5,1.0,0.5,1.0,3.5,0.71,0.46
5105,10,449,2284,0.13,3.72,31,191,32.68,55.86,0.46,0.43,5.56,2.87,33.65,5.0,3.0,2,6,0,0.5,0.0,1.0,1.0,1.0,3.5,15.96,96.58
7084,10,1777,4156,0.09,0.15,131,528,11.19,12.11,0.38,0.39,41.18,0.15,5.39,0.0,0.0,0,4,0,1.0,0.0,1.0,0.0,1.0,3.0,6.18,0.81
8346,10,103,148,0.18,-0.83,40,60,259.45,-35.49,0.21,0.2,0.4,-0.57,0.0,0.0,0.0,3,5,2,0.5,0.0,0.5,1.0,1.0,3.0,-0.23,-0.0
3255,10,1285,2320,0.47,1.04,0,411,53.99,81.8,0.01,0.01,22.0,0.77,5.75,2.0,5.0,3,3,1,0.5,0.0,0.5,1.0,1.0,3.0,16.94,4.43
7252,10,168,546,0.05,0.2,21,101,11.67,20.13,0.19,0.2,53.22,0.12,4.32,4.0,5.0,3,6,0,0.5,0.0,1.0,0.5,1.0,3.0,6.39,0.52
