code,category,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE
0001,Industrial Products & Services,2.02,0.314,2.18,0.3356,66.0,0.03,1.49,0.02,0.74,9.15
0002,Health Care,3.3,1.6,4.45,1.31,16.0,0.2,6.06,0.07,2.24,15.28
0005,Technology,0.14,0.035,0.23,0.04,-5.0,-0.03,-21.43,0.0,0.0,-72.5
0006,Technology,0.33,0.18,0.39,0.47,-6.0,-0.06,-18.18,0.0,0.0,-12.23
0007,Telecommunications & Media,0.265,0.06,0.35,0.4092,-2.0,-0.12,-45.28,0.0,0.0,-30.08
0008,Technology,0.435,0.3,0.645,0.34,18.0,0.02,4.6,0.02,3.45,7.06
0010,Technology,0.32,0.06,0.45,0.0955,679.0,0.0,0.0,0.0,0.0,0.52
0011,Utilities,0.49,0.15,0.68,0.26,16.0,0.03,6.12,0.02,3.27,12.04
0012,Consumer Products & Services,0.805,0.53,0.88,0.737,13.0,0.06,7.45,0.02,2.48,8.6
0017,Telecommunications & Media,0.155,0.02,0.175,0.0309,-12.0,-0.01,-6.45,0.0,0.0,-41.42
0018,Technology,0.045,0.005,0.08,0.0612,-67.0,-0.0,-0.0,0.0,0.0,-1.14
0020,Technology,0.015,0.005,0.025,0.02,-7.0,-0.0,-0.0,0.0,0.0,-10.0
0021,Technology,2.05,1.04,2.15,0.6043,147.0,0.01,0.49,0.0,0.0,2.32
0022,Consumer Products & Services,0.425,0.025,0.46,0.03,-32.0,-0.01,-2.35,0.0,0.0,-45.0
0023,Technology,0.385,0.165,0.57,0.2,36.0,0.01,2.6,0.01,2.6,5.3
0024,Industrial Products & Services,0.195,0.1,0.4,0.0862,51.0,0.0,0.0,0.0,0.0,4.41
0025,Industrial Products & Services,0.17,0.075,0.25,0.25,43.0,0.0,0.0,0.0,0.0,1.6
0026,Technology,0.095,0.015,0.135,0.08,-25.0,-0.0,-0.0,0.0,0.0,-4.63
0028,Industrial Products & Services,0.195,0.065,0.22,0.1533,-5.0,-0.04,-20.51,0.0,0.0,-26.74
0029,Technology,0.09,0.015,0.21,0.08,-46.0,-0.0,-0.0,0.0,0.0,-2.5
0032,Telecommunications & Media,0.365,0.2,0.61,0.2075,42.0,0.01,2.74,0.02,4.93,4.14
0034,Technology,1.49,0.12,1.5,0.1384,-58.0,-0.03,-2.01,0.0,0.0,-18.5
0035,Telecommunications & Media,0.385,0.195,0.84,0.5061,-8.0,-0.05,-12.99,0.0,0.0,-9.5
0036,Technology,0.095,0.01,0.14,0.1118,-47.0,-0.0,-0.0,0.0,0.0,-1.79
0037,Consumer Products & Services,0.135,0.1,0.215,0.17,14.0,0.01,7.41,0.0,2.22,5.88
0038,Industrial Products & Services,0.165,0.05,0.245,0.1349,-18.0,-0.01,-6.06,0.0,0.0,-6.82
0039,Industrial Products & Services,0.19,0.06,0.385,0.25,149.0,0.0,0.0,0.0,0.89,0.52
0040,Technology,0.91,0.26,1.32,0.22,24.0,0.04,4.4,0.02,1.65,17.55
0041,Technology,1.01,0.04,1.88,0.1925,-66.0,-0.02,-1.98,0.0,0.0,-7.95
0043,Industrial Products & Services,0.065,0.015,0.08,0.07,-5.0,-0.01,-15.38,0.0,0.0,-20.0
0045,Technology,0.07,0.03,0.095,-0.0219,-10.0,-0.01,-14.29,0.0,0.0,33.33
0048,Transportation & Logistics,0.43,0.03,0.7,0.05,-565.0,-0.0,-0.0,0.0,0.0,-1.6
0049,Consumer Products & Services,0.81,0.29,1.52,0.4035,36.0,0.02,2.47,0.01,1.23,5.55
0050,Technology,0.235,0.06,0.355,0.1521,-100.0,-0.0,-0.0,0.0,0.85,-1.58
0051,Technology,0.12,0.045,0.22,0.086,-5.0,-0.02,-16.67,0.0,0.0,-26.4
0053,Financial Services,0.405,0.3,0.58,0.89,-57.0,-0.01,-2.47,0.0,0.0,-0.8
0054,Industrial Products & Services,0.22,0.085,0.355,0.22,20.0,0.01,4.55,0.0,2.05,5.0
0055,Industrial Products & Services,0.2,0.05,0.325,0.07,-76.0,-0.0,-0.0,0.0,0.0,-3.71
0056,Technology,0.245,0.16,0.37,0.1892,-43.0,-0.01,-4.08,0.0,0.0,-2.96
0058,Industrial Products & Services,1.38,1.15,1.56,2.4,24.0,0.06,4.35,0.04,2.9,2.4
0059,Telecommunications & Media,0.165,0.075,0.25,0.3314,-18.0,-0.01,-6.06,0.0,0.0,-2.84
0060,Technology,0.08,0.02,0.27,0.1771,-10.0,-0.01,-12.5,0.0,0.0,-4.69
0064,Industrial Products & Services,0.205,0.05,0.295,0.18,-26.0,-0.01,-4.88,0.0,0.0,-4.39
0065,Technology,0.485,0.23,0.705,0.17,40.0,0.01,2.06,0.01,2.06,7.18
0066,Technology,0.05,0.01,0.14,0.033,-22.0,-0.0,-0.0,0.0,0.0,-6.67
0068,Technology,0.22,0.06,0.265,0.039,-6.0,-0.04,-18.18,0.0,0.0,-93.85
0069,Technology,0.045,0.015,0.06,0.08,47.0,0.0,0.0,0.0,0.0,1.25
0070,Technology,0.155,0.01,0.305,0.06,-9.0,-0.02,-12.9,0.0,0.0,-28.33
0072,Industrial Products & Services,0.085,0.015,0.195,0.0536,-12.0,-0.01,-11.76,0.0,0.0,-13.62
0074,Consumer Products & Services,0.27,0.08,0.575,0.0385,-9.0,-0.03,-11.11,0.0,0.0,-77.4
0075,Technology,0.38,0.12,0.68,0.05,-13.0,-0.03,-7.89,0.0,0.0,-59.8
0078,Transportation & Logistics,0.355,0.115,0.445,0.09,106.0,0.0,0.0,0.0,0.7,3.67
0079,Technology,0.09,0.03,0.17,0.1382,-18.0,-0.01,-11.11,0.0,0.0,-3.69
0080,Transportation & Logistics,0.165,0.13,0.26,0.1724,20.0,0.01,6.06,0.0,0.0,4.7
0081,Industrial Products & Services,0.165,0.035,0.23,0.23,-4.0,-0.04,-24.24,0.0,0.0,-16.39
0082,Telecommunications & Media,0.54,0.395,1.65,0.22,-9.0,-0.06,-11.11,0.0,0.0,-27.27
0083,Technology,1.17,0.273,2.34,0.8172,51.0,0.02,1.71,0.0,0.0,2.8
0084,Industrial Products & Services,0.36,0.19,0.575,0.128,21.0,0.02,5.56,0.01,2.78,13.13
0085,Technology,0.04,0.01,0.08,0.064,-2.0,-0.02,-50.0,0.0,0.0,-35.0
0086,Technology,0.155,0.09,0.2,4.72,-5.0,-0.03,-19.35,0.0,0.0,-0.67
0089,Industrial Products & Services,0.43,0.14,0.555,0.4187,54.0,0.01,2.33,0.01,1.4,1.91
0090,Technology,0.655,0.385,1.08,0.16,56.0,0.01,1.53,0.03,4.58,7.31
0091,Energy,0.01,0.005,0.025,-0.1003,-1.0,-0.02,-200.0,0.0,0.0,17.25
0092,Telecommunications & Media,0.08,0.055,0.205,0.0955,-2.0,-0.03,-37.5,0.0,0.0,-35.81
0093,Technology,0.62,0.045,0.87,0.1215,-222.0,-0.0,-0.0,0.0,0.0,-2.3
0094,Technology,0.29,0.015,0.89,0.0776,-76.0,-0.0,-0.0,0.0,0.0,-4.9
0095,Consumer Products & Services,0.25,0.155,0.325,0.8,-2.0,-0.15,-60.0,0.0,0.0,-18.96
0096,Telecommunications & Media,0.045,0.005,0.08,0.0719,-5.0,-0.01,-22.22,0.0,0.0,-13.21
0097,Technology,12.84,6.09,12.98,1.0909,80.0,0.16,1.25,0.04,0.33,14.69
0098,Consumer Products & Services,0.55,0.225,0.845,0.0997,-4.0,-0.14,-25.45,0.0,0.0,-144.73
0099,Industrial Products & Services,0.87,0.48,1.3,0.29,14.0,0.06,6.9,0.05,5.75,21.38
0100,Industrial Products & Services,1.15,0.13,2.07,0.26,103.0,0.01,0.87,0.01,0.52,4.31
0101,Health Care,0.48,0.365,0.72,0.44,63.0,0.01,2.08,0.0,0.35,1.73
0102,Industrial Products & Services,0.125,0.045,0.39,0.07,-11.0,-0.01,-8.0,0.0,0.0,-16.0
0103,Telecommunications & Media,0.05,0.01,0.125,0.0703,-14.0,-0.0,-0.0,0.0,0.0,-4.98
0104,Technology,1.58,1.03,1.72,1.72,-53.0,-0.03,-1.9,0.05,3.16,-1.72
