code,name,category,Annual,nYear,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE,ROE2,D/E,D/E2,NPM avg,P/E min,P/E max,P/E mid,P/E avg,EPS GR min,EY avg,EY std,EY 3Y avg,EY 5Y avg,EY 10Y avg,DY avg,DY 3Y avg,DY 5Y avg,DY 10Y avg,DPayout avg,Revenue GR 3Y avg,Revenue GR 5Y avg,Revenue GR 10Y avg,NP GR 3Y avg,NP GR 5Y avg,NP GR 10Y avg,EPS GR 3Y avg,EPS GR 5Y avg,EPS GR 10Y avg,check NP,check EPS GR,check OCF,neg Revenue GR,neg NP,neg EPS GR,neg OCF,Revenue start,Revenue end,EPS start,EPS end,OCF start,OCF end
0001,SUPERCOMNET TECHNOLOGIES BERHAD,Industrial Products & Services,2019-12-01,9,2.02,0.314,2.18,0.3356,66.0,0.03,1.49,0.02,0.74,9.15,9.65,0.0,0.0,8.11,6.0,40.0,23.0,19.67,45.86,5.53,4.88,3.4,5.19,0.0,0.95,0.46,0.28,0.0,16.41,59.31,29.68,18.92,90.31,0.0,0.0,45.86,56.56,0.0,1,0,0,4+7,+,4+7+8+9,3+4+5+6+8,35,123,0.02,0.03,4,24
0002,KOTRA INDUSTRIES BERHAD,Health Care,2019-06-01,10,3.3,1.6,4.45,1.31,16.0,0.2,6.06,0.07,2.24,15.28,13.64,0.12,0.18,6.17,-30.0,104.0,37.0,37.81,7.78,4.31,5.47,5.57,4.11,4.31,0.54,1.81,1.09,0.54,10.81,2.5,3.21,6.73,31.43,9.3,0.0,40.72,30.55,7.78,0,0,1,1+5+10,9,5+8+9+10,+,102,173,0.09,0.16,3,37
0005,UCREST BERHAD,Technology,2019-05-01,10,0.14,0.035,0.23,0.04,-5.0,-0.03,-21.43,0.0,0.0,-72.5,18.35,0.0,0.0,-102.82,-5.0,8.0,1.5,6.56,23.36,-11.98,20.71,10.67,-4.97,-11.98,0.0,0.0,0.0,0.0,0.0,108.73,35.51,12.33,0.0,26.64,0.0,0.0,0.0,23.36,0,0,0,1+4+5+6+8+9+10,3+4+5+6+7+8+9+10,1+2+3+4+5+6+7+8+9+10,3+4+5+7+9+10,4,29,-0.02,0.02,0,2
0006,PINEAPPLE RESOURCES BERHAD,Technology,2018-12-01,5,0.33,0.18,0.39,0.47,-6.0,-0.06,-18.18,0.0,0.0,-12.23,0.09,0.02,0.0,0.5,-38.5,31.0,-3.75,30.0,0.0,0.17,2.81,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,7.08,1.91,5.81,-49.88,-26.19,0.0,0.0,-49.87,-26.18,0,0,0,4+5,1,1+2+3+4+5,2+3+4,49,58,0.01,0.0,4,3
0008,WILLOWGLEN MSC BERHAD,Technology,2019-12-01,10,0.435,0.3,0.645,0.34,18.0,0.02,4.6,0.02,3.45,7.06,9.33,0.02,0.02,14.1,11.33,28.25,19.79,18.95,1.84,5.59,1.38,4.42,4.84,5.59,1.91,1.59,1.5,1.91,34.19,1.43,4.65,8.31,-3.11,1.66,0.0,-6.59,-3.06,1.84,1,0,1,2+9+10,+,2+6+9+10,+,54,138,0.02,0.03,15,20
0010,IRIS CORPORATION BERHAD,Technology,2020-03-01,10,0.32,0.06,0.45,0.0955,679.0,0.0,0.0,0.0,0.0,0.52,4.91,0.06,0.07,-5.37,-31.0,51.5,10.25,20.1,0.0,-7.85,28.2,-6.55,-21.26,-7.85,0.0,0.0,0.0,0.0,6.02,-19.35,-16.47,-3.53,0.0,-1.24,0.0,0.0,0.0,-8.21,0,0,0,2+3+4+5+6,3+4+6,1+2+3+4+5+6+8,1+5+6+7+10,366,230,0.02,0.0,-36,-17
0011,BRITE-TECH BERHAD,Utilities,2019-12-01,10,0.49,0.15,0.68,0.26,16.0,0.03,6.12,0.02,3.27,12.04,9.77,0.38,0.34,16.19,11.0,17.0,14.0,13.61,2.61,6.78,2.5,8.17,7.71,6.78,4.16,8.17,6.3,4.16,79.94,-3.36,3.2,4.77,2.58,18.64,0.0,6.14,2.61,18.64,1,0,1,3+6+10,+,3+5+8,+,16,28,0.0,0.02,3,7
0012,THREE-A RESOURCES BERHAD,Consumer Products & Services,2019-12-01,10,0.805,0.53,0.88,0.737,13.0,0.06,7.45,0.02,2.48,8.6,8.69,0.03,0.04,6.74,11.11,42.0,26.56,25.74,2.78,4.91,2.38,8.08,6.83,4.91,1.3,2.19,1.65,1.3,26.99,3.99,6.97,9.34,10.06,5.01,0.0,-8.84,10.27,2.78,1,0,0,1+7,+,1+2+7+9+10,2+10,249,436,0.04,0.06,-13,62
0018,LAMBO GROUP BERHAD,Technology,2018-12-01,10,0.045,0.005,0.08,0.0612,-67.0,-0.0,-0.0,0.0,0.0,-1.14,15.59,0.0,0.0,-97.72,-18.0,6.0,-6.0,4.25,0.0,5.11,12.84,18.89,11.33,5.11,0.0,0.0,0.0,0.0,0.0,210.22,130.32,23.78,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,7+8+9+10,3+4+5+6+7+8+9+10,2+3+4+5+6+7+8+9+10,3+4+5+6+7+8+9+10,9,92,0.0,0.01,-2,20
0020,NETX HOLDINGS BERHAD,Technology,2018-06-01,9,0.015,0.005,0.025,0.02,-7.0,-0.0,-0.0,0.0,0.0,-10.0,-14.98,0.02,0.02,-133.69,-5.5,-1.42,-3.46,,0.0,-37.64,24.18,-33.33,-42.0,0.0,0.0,0.0,0.0,0.0,0.0,69.92,-10.52,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+5+6+8+9,1+3+4+5+6+7+8,1+2+3+4+5+6+7+8+9,1+2+3+4+5+9,10,18,-0.06,-0.01,-1,-4
