code,category,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE,ROE2,D/E,D/E2
0001,Industrial Products & Services,2.02,0.314,2.18,0.3356,66.0,0.03,1.49,0.02,0.74,9.15,9.65,0.0,0.0
0002,Health Care,3.3,1.6,4.45,1.31,16.0,0.2,6.06,0.07,2.24,15.28,13.64,0.12,0.18
0005,Technology,0.14,0.035,0.23,0.04,-5.0,-0.03,-21.43,0.0,0.0,-72.5,18.35,0.0,0.0
0006,Technology,0.33,0.18,0.39,0.47,-6.0,-0.06,-18.18,0.0,0.0,-12.23,0.09,0.02,0.0
0008,Technology,0.435,0.3,0.645,0.34,18.0,0.02,4.6,0.02,3.45,7.06,9.33,0.02,0.02
0010,Technology,0.32,0.06,0.45,0.0955,679.0,0.0,0.0,0.0,0.0,0.52,4.91,0.06,0.07
0011,Utilities,0.49,0.15,0.68,0.26,16.0,0.03,6.12,0.02,3.27,12.04,9.77,0.38,0.34
0012,Consumer Products & Services,0.805,0.53,0.88,0.737,13.0,0.06,7.45,0.02,2.48,8.6,8.69,0.03,0.04
0018,Technology,0.045,0.005,0.08,0.0612,-67.0,-0.0,-0.0,0.0,0.0,-1.14,15.59,0.0,0.0
0020,Technology,0.015,0.005,0.025,0.02,-7.0,-0.0,-0.0,0.0,0.0,-10.0,-14.98,0.02,0.02
0021,Technology,2.05,1.04,2.15,0.6043,147.0,0.01,0.49,0.0,0.0,2.32,6.77,0.05,0.06
0022,Consumer Products & Services,0.425,0.025,0.46,0.03,-32.0,-0.01,-2.35,0.0,0.0,-45.0,-8.63,0.2,0.16
0023,Technology,0.385,0.165,0.57,0.2,36.0,0.01,2.6,0.01,2.6,5.3,4.98,0.0,0.0
0024,Industrial Products & Services,0.195,0.1,0.4,0.0862,51.0,0.0,0.0,0.0,0.0,4.41,-7.78,0.13,0.14
0025,Industrial Products & Services,0.17,0.075,0.25,0.25,43.0,0.0,0.0,0.0,0.0,1.6,1.05,0.04,0.04
0026,Technology,0.095,0.015,0.135,0.08,-25.0,-0.0,-0.0,0.0,0.0,-4.63,-6.27,0.01,0.02
0028,Industrial Products & Services,0.195,0.065,0.22,0.1533,-5.0,-0.04,-20.51,0.0,0.0,-26.74,-4.29,0.04,0.04
0029,Technology,0.09,0.015,0.21,0.08,-46.0,-0.0,-0.0,0.0,0.0,-2.5,-4.59,4.17,4.25
0034,Technology,1.49,0.12,1.5,0.1384,-58.0,-0.03,-2.01,0.0,0.0,-18.5,-29.9,0.12,0.19
0036,Technology,0.095,0.01,0.14,0.1118,-47.0,-0.0,-0.0,0.0,0.0,-1.79,-24.04,0.2,0.24
0037,Consumer Products & Services,0.135,0.1,0.215,0.17,14.0,0.01,7.41,0.0,2.22,5.88,16.0,0.09,0.09
0038,Industrial Products & Services,0.165,0.05,0.245,0.1349,-18.0,-0.01,-6.06,0.0,0.0,-6.82,-7.47,0.01,0.01
0039,Industrial Products & Services,0.19,0.06,0.385,0.25,149.0,0.0,0.0,0.0,0.89,0.52,6.16,2.69,3.11
0040,Technology,0.91,0.26,1.32,0.22,24.0,0.04,4.4,0.02,1.65,17.55,18.29,0.18,0.21
0041,Technology,1.01,0.04,1.88,0.1925,-66.0,-0.02,-1.98,0.0,0.0,-7.95,-18.99,0.03,0.01
0043,Industrial Products & Services,0.065,0.015,0.08,0.07,-5.0,-0.01,-15.38,0.0,0.0,-20.0,-17.9,0.0,0.0
0045,Technology,0.07,0.03,0.095,-0.0219,-10.0,-0.01,-14.29,0.0,0.0,33.33,0.0,0.0,0.0
0048,Transportation & Logistics,0.43,0.03,0.7,0.05,-565.0,-0.0,-0.0,0.0,0.0,-1.6,-1.45,0.33,0.2
0049,Consumer Products & Services,0.81,0.29,1.52,0.4035,36.0,0.02,2.47,0.01,1.23,5.55,8.18,0.05,0.01
0050,Technology,0.235,0.06,0.355,0.1521,-100.0,-0.0,-0.0,0.0,0.85,-1.58,1.58,0.11,0.11
