code,nYear,Revenue start,Revenue end,EPS start,EPS end,OCF start,OCF end,ROE,ROE2,D/E,D/E2,P/E mid,EPS,EPS GR min,EY level,DY level,neg Revenue count,neg EPS count,neg OCF count,Revenue Growth,EPS Growth,OCF Growth,ROE Health,D/E Health,3G2H,PE Value,EPS GR Value
4731,10,695,3246,0.14,0.67,78,557,15.19,16.73,0.15,0.12,24.81,0.75,7.94,3,2,1,1,0,0.5,0.5,1.0,1.0,1.0,4.0,18.61,5.96
6645,10,319,504,0.2,0.49,253,361,20.0,26.14,0.35,0.54,16.5,0.42,5.48,4,5,3,1,0,0.5,0.5,1.0,1.0,1.0,4.0,6.93,2.3
2836,10,1368,2257,0.44,0.95,223,379,117.0,183.26,0.03,0.04,22.66,0.73,6.58,2,5,1,2,0,0.5,0.5,1.0,1.0,1.0,4.0,16.54,4.8
0208,5,21,216,0.05,0.11,8,104,28.95,39.4,0.08,0.1,10.91,0.11,32.52,0,0,2,2,0,0.5,0.5,1.0,1.0,1.0,4.0,1.2,3.58
7087,10,444,1206,0.04,0.28,9,98,18.77,21.41,0.0,0.0,19.98,0.27,0.39,4,5,2,1,0,0.5,0.5,1.0,1.0,1.0,4.0,5.39,0.11
7277,10,1208,2303,0.03,0.11,168,847,15.24,15.91,0.36,0.36,60.21,0.11,15.14,1,0,4,0,0,0.0,1.0,1.0,1.0,1.0,4.0,6.62,1.67
0099,10,141,181,0.04,0.06,19,26,21.38,21.85,0.02,0.02,15.56,0.06,10.08,3,5,3,2,0,0.5,0.5,1.0,1.0,1.0,4.0,0.93,0.6
4707,10,4026,5518,1.67,2.87,509,726,90.78,102.01,0.26,0.27,39.2,2.44,1.84,0,2,2,1,0,0.5,0.5,1.0,1.0,1.0,4.0,95.65,4.49
5168,10,735,2924,0.07,0.13,185,656,29.52,18.08,0.09,0.08,78.46,0.29,10.05,0,0,0,4,0,1.0,0.0,1.0,1.0,1.0,4.0,22.75,2.91
7153,10,1047,2217,0.04,0.09,138,275,15.71,16.4,0.07,0.12,81.24,0.24,9.07,2,0,1,2,0,0.5,0.5,1.0,1.0,1.0,4.0,19.5,2.18
0213,5,127,166,0.02,0.05,18,45,17.04,21.6,0.0,0.0,5.1,0.04,14.62,3,5,2,3,0,0.5,0.0,1.0,1.0,1.0,3.5,0.2,0.58
5024,10,219,310,0.03,0.05,31,51,26.95,26.79,0.0,0.0,72.25,0.05,1.7,3,5,1,5,0,0.5,0.0,1.0,1.0,1.0,3.5,3.61,0.08
7100,10,101,157,0.13,0.17,49,84,45.94,48.53,0.0,0.0,14.89,0.16,7.82,3,5,1,4,0,0.5,0.0,1.0,1.0,1.0,3.5,2.38,1.25
0090,10,11,34,0.01,0.03,2,14,7.31,15.49,0.0,0.0,42.84,0.01,26.08,0,5,1,2,0,0.5,0.5,1.0,0.5,1.0,3.5,0.43,0.26
5277,7,30,51,0.02,0.03,9,23,16.72,18.23,0.0,0.0,21.38,0.03,1.31,1,1,3,3,0,0.5,0.0,1.0,1.0,1.0,3.5,0.64,0.04
5246,10,943,1742,0.09,0.17,481,960,21.71,23.75,0.47,0.52,13.74,0.17,2.9,2,5,3,3,0,0.5,0.0,1.0,1.0,1.0,3.5,2.34,0.49
0002,10,113,172,-0.02,0.2,15,50,15.25,16.33,0.1,0.1,44.5,0.2,7.87,3,4,3,3,0,0.5,0.0,1.0,1.0,1.0,3.5,8.9,1.57
1818,10,331,480,0.14,0.23,154,187,40.16,22.72,0.01,0.01,40.07,0.39,0.26,2,3,2,4,0,0.5,0.0,1.0,1.0,1.0,3.5,15.63,0.1
0106,10,15,25,0.02,0.05,6,9,23.95,24.38,0.0,0.0,14.98,0.05,3.9,3,5,3,6,0,0.5,0.0,1.0,1.0,1.0,3.5,0.75,0.2
0163,8,55,365,0.01,-0.01,-2,48,42.56,-5.79,0.04,0.19,7.5,0.15,0.0,2,0,0,5,2,1.0,0.0,0.5,1.0,1.0,3.5,1.12,0.0
7106,10,977,2132,0.06,0.2,62,1304,57.84,39.57,0.04,0.07,68.71,0.47,12.28,3,0,2,5,0,0.5,0.0,1.0,1.0,1.0,3.5,32.29,5.77
0097,10,88,340,0.05,0.17,21,86,16.78,17.78,0.07,0.09,31.4,0.19,6.92,0,0,3,3,0,0.5,0.0,1.0,1.0,1.0,3.5,5.97,1.31
0128,10,147,340,0.01,0.07,21,115,18.25,19.71,0.03,0.03,19.86,0.07,20.52,0,0,3,5,0,0.5,0.0,1.0,1.0,1.0,3.5,1.39,1.44
7089,10,261,837,0.1,0.44,6,132,18.17,22.48,0.02,0.03,12.24,0.4,2.48,3,0,1,4,0,0.5,0.0,1.0,1.0,1.0,3.5,4.9,0.99
5105,10,449,2284,0.13,3.72,31,191,32.68,55.86,0.46,0.43,5.56,2.87,33.65,5,3,2,6,0,0.5,0.0,1.0,1.0,1.0,3.5,15.96,96.58
0216,5,36,61,0.02,0.04,4,12,9.25,16.13,0.09,0.09,3.25,0.01,34.24,2,2,1,2,0,0.5,0.5,1.0,0.5,1.0,3.5,0.03,0.34
5275,5,218,517,0.03,0.04,8,83,-0.3,10.12,0.26,0.2,30.25,-0.0,7.19,0,2,1,1,0,0.5,0.5,1.0,0.0,1.0,3.0,-0.0,-0.0
6633,5,4701,6043,0.03,0.04,301,671,6.54,10.23,0.49,0.6,11.0,0.03,0.0,2,0,1,2,0,0.5,0.5,1.0,0.0,1.0,3.0,0.33,0.0
7090,10,314,689,0.07,0.11,27,68,12.44,13.01,0.05,0.06,47.68,0.12,6.56,2,1,0,3,0,1.0,0.0,1.0,0.0,1.0,3.0,5.72,0.79
5141,10,255,1046,0.09,0.23,70,317,13.04,18.06,0.46,0.48,14.76,0.18,2.09,5,0,3,4,0,0.5,0.0,1.0,0.5,1.0,3.0,2.66,0.38
7252,10,168,546,0.05,0.2,21,101,11.67,20.13,0.19,0.2,53.22,0.12,4.32,5,5,3,6,0,0.5,0.0,1.0,0.5,1.0,3.0,6.39,0.52
7084,10,1777,4156,0.06,0.1,131,528,7.46,12.11,0.38,0.39,61.36,0.1,5.39,0,0,0,4,0,1.0,0.0,1.0,0.0,1.0,3.0,6.14,0.54
7237,10,153,386,0.03,0.12,0,89,19.08,21.8,0.0,0.0,43.16,0.12,1.94,3,5,2,5,1,0.5,0.0,0.5,1.0,1.0,3.0,5.18,0.23
0138,10,49,371,0.0,0.06,13,85,30.21,42.26,0.16,0.21,161.16,0.07,37.1,2,2,4,3,0,0.0,0.0,1.0,1.0,1.0,3.0,11.28,2.6
8346,10,103,148,0.18,-0.83,40,60,259.45,-35.49,0.41,0.39,0.4,-0.57,0.0,0,0,3,5,2,0.5,0.0,0.5,1.0,1.0,3.0,-0.23,-0.0
7178,10,138,296,0.12,0.17,11,33,8.72,7.16,0.09,0.11,12.54,0.21,1.42,3,5,0,5,0,1.0,0.0,1.0,0.0,1.0,3.0,2.63,0.3
0078,10,93,364,0.0,0.0,8,55,3.67,3.85,0.15,0.15,90.25,0.0,8.6,0,0,0,3,0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0
6139,10,214,2773,0.05,0.44,0,-113,25.64,33.07,0.0,0.0,38.46,0.44,20.67,3,5,3,2,2,0.5,0.5,0.0,1.0,1.0,3.0,16.92,9.09
3255,10,1285,2320,0.47,1.04,0,411,53.99,81.8,0.01,0.01,22.0,0.77,5.75,2,5,3,3,1,0.5,0.0,0.5,1.0,1.0,3.0,16.94,4.43
5238,8,1967,4233,0.1,-0.16,-37,462,123.74,-182.78,0.0,39.19,8.05,-0.28,0.0,0,0,2,8,3,0.5,0.0,0.5,1.0,1.0,3.0,-2.25,-0.0
7216,10,92,214,0.06,0.03,18,42,6.84,3.78,0.02,0.03,30.42,0.06,0.0,0,1,0,5,0,1.0,0.0,1.0,0.0,1.0,3.0,1.83,0.0
5209,10,1807,6886,0.23,0.15,369,119,19.41,18.39,0.15,0.18,15.0,0.15,2.9,3,5,0,6,1,1.0,0.0,0.0,1.0,1.0,3.0,2.25,0.44
0187,7,35,104,0.0,0.01,3,8,5.08,10.56,0.08,0.09,8.0,0.01,0.0,2,0,0,2,1,1.0,0.5,0.5,0.0,1.0,3.0,0.08,0.0
7113,10,2079,4801,0.03,0.05,213,526,37.36,14.84,0.21,0.54,302.38,0.23,7.1,1,2,4,6,0,0.0,0.0,1.0,1.0,1.0,3.0,69.55,1.63
3689,10,3638,4076,1.94,1.12,511,578,15.24,16.95,0.0,0.04,25.68,1.12,2.12,2,2,4,6,0,0.0,0.0,1.0,1.0,1.0,3.0,28.76,2.37
7022,10,279,215,0.05,0.07,63,111,16.45,14.96,0.0,0.0,55.9,0.07,9.93,0,4,4,3,0,0.0,0.0,1.0,1.0,1.0,3.0,3.91,0.7
8621,10,583,1222,0.35,0.81,381,52,18.67,15.62,0.03,0.02,26.28,0.82,2.57,3,5,1,1,2,0.5,0.5,0.0,1.0,1.0,3.0,21.55,2.11
0040,10,27,103,0.0,0.02,10,13,11.68,18.29,0.18,0.21,23.0,0.03,13.04,2,0,2,2,1,0.5,0.5,0.5,0.5,1.0,3.0,0.69,0.39
7233,10,128,249,0.02,0.09,13,29,21.13,22.95,0.04,0.06,1.0,0.1,11.62,1,1,4,7,0,0.0,0.0,1.0,1.0,1.0,3.0,0.1,1.16
0200,6,14,78,0.01,0.02,1,22,8.64,12.7,0.09,0.09,29.5,0.02,9.12,0,0,1,2,0,0.5,0.5,1.0,0.0,1.0,3.0,0.59,0.18
