code,category,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE
0039,Industrial Products & Services,0.17,0.06,0.355,0.25,133.0,0.0,0.0,0.0,1.0,0.52
0068,Technology,0.175,0.06,0.265,0.039,-5.0,-0.04,-22.86,0.0,0.0,-93.85
0136,Consumer Products & Services,0.16,0.07,0.245,0.17,23.0,0.01,6.25,0.0,1.25,4.06
0177,Industrial Products & Services,0.075,0.01,0.19,0.08,-6.0,-0.01,-13.33,0.0,0.0,-16.0
0188,Industrial Products & Services,1.45,0.1,3.33,0.12,112.0,0.01,0.69,0.0,0.0,10.83
1902,Plantation,0.415,0.14,0.545,1.43,1.0,0.64,154.22,0.0,0.0,44.87
2658,Consumer Products & Services,15.16,9.96,17.26,8.4,15.0,1.01,6.66,0.49,3.25,11.98
4286,Property,0.35,0.12,0.42,1.28,5.0,0.07,20.0,0.0,0.0,5.17
5665,Industrial Products & Services,0.44,0.33,0.88,1.13,-1.0,-0.78,-177.27,0.0,0.0,-69.31
7014,Industrial Products & Services,0.245,0.15,0.3,1.16,-4.0,-0.06,-24.49,0.0,0.0,-5.33
7218,Transportation & Logistics,0.465,0.42,0.555,0.87,-3.0,-0.14,-30.11,0.0,0.0,-15.86
8079,Consumer Products & Services,0.595,0.325,0.69,0.33,17.0,0.03,5.04,0.02,4.2,10.45
8877,Construction,0.5,0.285,0.95,0.93,29.0,0.02,4.0,0.0,1.0,1.87
9679,Construction,0.4,0.243,0.901,2.26,-7.0,-0.06,-15.0,0.0,0.0,-2.6
