code,name,category,Annual,nYear,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE,ROE2,D/E,D/E2,NPM avg,P/E min,P/E max,P/E mid,P/E avg,EPS GR min,EY avg,EY std,EY 3Y avg,EY 5Y avg,EY 10Y avg,DY avg,DY 3Y avg,DY 5Y avg,DY 10Y avg,DPayout avg,Revenue GR 3Y avg,Revenue GR 5Y avg,Revenue GR 10Y avg,NP GR 3Y avg,NP GR 5Y avg,NP GR 10Y avg,EPS GR 3Y avg,EPS GR 5Y avg,EPS GR 10Y avg,check NP,check EPS GR,check OCF,neg Revenue GR,neg NP,neg EPS GR,neg OCF,Revenue start,Revenue end,EPS start,EPS end,OCF start,OCF end
0001,SUPERCOMNET TECHNOLOGIES BERHAD,Industrial Products & Services,2019-12-01,9,2.26,0.314,2.38,0.3356,77.0,0.03,1.33,0.02,0.66,8.73,9.65,0.0,0.0,8.11,6.0,40.0,23.0,19.67,45.86,5.53,4.88,3.4,5.19,0.0,0.95,0.46,0.28,0.0,16.41,59.31,29.68,18.92,90.31,0.0,0.0,45.86,56.56,0.0,1,0,0,4+7,+,4+7+8+9,3+4+5+6+8,35,123,0.02,0.03,4,24
0002,KOTRA INDUSTRIES BERHAD,Health Care,2020-06-01,10,3.23,1.6,4.45,1.31,16.0,0.2,6.19,0.09,2.79,15.25,16.33,0.1,0.1,6.8,-24.0,113.0,44.5,34.76,7.87,3.78,3.53,7.33,6.42,3.78,0.93,2.79,1.86,0.93,15.4,1.06,3.42,5.31,94.57,9.69,0.0,31.86,92.71,7.87,0,0,1,1+2+6,10,6+9+10,+,113,172,-0.02,0.2,15,50
0005,UCREST BERHAD,Technology,2020-05-01,10,0.165,0.035,0.23,0.04,-7.0,-0.02,-12.12,0.0,0.0,-62.25,-72.17,0.0,0.01,-123.7,-7.0,10.25,1.62,7.75,0.0,-9.84,18.02,1.27,-3.94,-9.84,0.0,0.0,0.0,0.0,0.0,29.04,20.91,11.09,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+2+5+6+7+9+10,1+4+5+6+7+8+9+10,1+2+3+4+5+6+7+8+9+10,1+4+5+6+8+10,4,12,0.0,-0.04,0,-1
0006,PINEAPPLE RESOURCES BERHAD,Technology,2018-12-01,5,0.34,0.18,0.385,0.47,-6.0,-0.06,-17.65,0.0,0.0,-12.23,0.09,0.02,0.0,0.5,-38.5,31.0,-3.75,30.0,0.0,0.17,2.81,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,7.08,1.91,5.81,-49.88,-26.19,0.0,0.0,-49.87,-26.18,0,0,0,4+5,1,1+2+3+4+5,2+3+4,49,58,0.01,0.0,4,3
0010,IRIS CORPORATION BERHAD,Technology,2020-03-01,10,0.31,0.06,0.45,0.0955,675.0,0.0,0.0,0.0,0.0,0.52,4.91,0.06,0.07,-5.37,-31.0,51.5,10.25,20.1,0.0,-7.85,28.2,-6.55,-21.26,-7.85,0.0,0.0,0.0,0.0,6.02,-19.35,-16.47,-3.53,0.0,-1.24,0.0,0.0,0.0,-8.21,0,0,0,2+3+4+5+6,3+4+6,1+2+3+4+5+6+8,1+5+6+7+10,366,230,0.02,0.0,-36,-17
0011,BRITE-TECH BERHAD,Utilities,2019-12-01,10,0.455,0.15,0.68,0.26,15.0,0.03,6.59,0.02,3.52,12.04,9.77,0.38,0.34,16.19,11.0,17.0,14.0,13.61,2.61,6.78,2.5,8.17,7.71,6.78,4.16,8.17,6.3,4.16,79.94,-3.36,3.2,4.77,2.58,18.64,0.0,6.14,2.61,18.64,1,0,1,3+6+10,+,3+5+8,+,16,28,0.0,0.02,3,7
0012,THREE-A RESOURCES BERHAD,Consumer Products & Services,2019-12-01,10,0.84,0.53,0.895,0.7490000000000001,13.0,0.06,7.14,0.02,2.62,8.52,8.69,0.03,0.04,6.74,11.11,42.0,26.56,25.74,2.78,4.91,2.38,8.08,6.83,4.91,1.3,2.19,1.65,1.3,26.99,3.99,6.97,9.34,10.06,5.01,0.0,-8.84,10.27,2.78,1,0,0,1+7,+,1+2+7+9+10,2+10,249,436,0.04,0.06,-13,62
0018,LAMBO GROUP BERHAD,Technology,2018-12-01,10,0.04,0.005,0.08,0.0658,6.0,0.01,25.0,0.0,0.0,9.42,15.59,0.0,0.0,-97.72,-18.0,6.0,-6.0,4.25,0.0,5.11,12.84,18.89,11.33,5.11,0.0,0.0,0.0,0.0,0.0,210.22,130.32,23.78,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,7+8+9+10,3+4+5+6+7+8+9+10,2+3+4+5+6+7+8+9+10,3+4+5+6+7+8+9+10,9,92,0.0,0.01,-2,20
0021,GHL SYSTEMS BERHAD,Technology,2019-12-01,10,2.79,1.04,3.08,0.6043,200.0,0.01,0.36,0.0,0.0,2.32,6.77,0.05,0.06,-0.3,-7.0,72.0,32.5,42.04,11.56,-3.18,13.83,2.28,2.45,-3.18,0.0,0.0,0.0,0.0,0.0,12.24,16.09,19.79,34.49,0.0,0.0,11.56,26.96,0.0,0,0,0,8+9,9+10,6+8+9+10,6+7,64,348,-0.06,0.04,4,92
0022,PARLO BERHAD,Consumer Products & Services,2019-12-01,8,0.415,0.025,0.575,0.03,-31.0,-0.01,-2.41,0.0,0.0,-45.0,-8.63,0.2,0.16,-25.81,-2.83,12.5,4.84,5.93,0.0,-860.5,1552.31,-5.1,-675.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.19,41.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2+3+4+5+6,1+2+4+5+6+8,1+2+3+4+5+6+7+8,1+2+3+4+5+6+8,4,162,0.01,0.0,0,-2
