code,name,category,Annual,nYear,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE,ROE2,D/E,D/E2,NPM avg,P/E min,P/E max,P/E mid,P/E avg,EPS GR min,EPS GR 3Y avg,EPS GR 5Y avg,EPS GR 10Y avg,EY avg,EY std,EY 3Y avg,EY 5Y avg,EY 10Y avg,DY avg,DY 3Y avg,DY 5Y avg,DY 10Y avg,DPayout avg,check NP,check EPS GR,check OCF,neg Revenue GR,neg NP,neg EPS GR,neg OCF,Revenue start,Revenue end,EPS start,EPS end,OCF start,OCF end
4596,SAPURA RESOURCES BERHAD,Property,2019-01-01,10,0.495,0.345,0.72,3.05,-3.0,-0.17,-34.34,0.0,0.0,-5.58,-1.32,0.08,0.0,133.03,-13.5,46.5,16.5,12.65,0.0,0.0,0.0,0.0,32.55,46.73,30.4,21.17,32.55,0.67,1.16,1.34,0.67,12.19,0,0,0,1+2+9+10,1,1+2+3+4+6+7+10,1+2+4+5+6+7+8,271,49,0.04,-0.04,41,-8
4634,POS MALAYSIA BERHAD,Transportation & Logistics,2019-03-01,10,1.19,0.52,2.0,1.85,-3.0,-0.46,-38.66,0.04,3.36,-24.63,-9.06,0.34,0.12,6.04,-7.05,32.62,12.78,19.89,0.0,0.0,0.0,0.0,3.69,6.29,-0.4,1.44,3.69,4.31,5.95,4.61,4.31,56.42,0,0,1,1+7+10,1,1+2+4+5+9+10,+,903,2355,0.14,-0.21,107,103
4677,YTL CORPORATION BERHAD,Utilities,2019-06-01,10,0.86,0.6,1.17,1.24,78.0,0.01,1.16,0.04,4.65,0.89,1.77,2.98,2.32,5.26,10.8,56.0,33.4,21.61,0.0,-35.64,-31.0,-13.55,5.82,2.11,3.31,4.35,5.82,3.19,4.72,5.07,3.19,69.97,1,0,1,3+4+5+6+7,+,1+2+3+4+5+10,+,16505,17378,0.09,0.02,3448,2770
4707,NESTLE (MALAYSIA) BERHAD,Consumer Products & Services,2019-12-01,10,139.0,120.0,149.9,3.66,52.0,2.66,1.91,2.8,2.01,72.7,102.01,0.2,0.27,11.49,25.95,52.46,39.2,34.26,1.84,1.84,4.08,6.7,3.09,0.65,2.17,2.69,3.09,2.97,2.13,2.75,2.97,93.76,1,0,1,1+8,+,6,+,4026,5518,1.67,2.87,509,726
4723,JAKS RESOURCES BERHAD,Construction,2018-12-01,10,0.875,0.62,1.57,1.52,5.0,0.17,19.43,0.0,0.0,10.97,2.02,0.33,0.39,4.51,-7.0,60.0,26.5,30.68,10.99,-32.73,10.99,15.43,7.72,17.35,23.12,16.12,7.72,0.0,0.0,0.0,0.0,0.0,1,0,1,1+4+5+9+10,+,1+2+3+7+9+10,+,278,658,0.02,0.03,36,34
4731,SCIENTEX BERHAD,Industrial Products & Services,2019-07-01,10,8.22,5.96,9.87,4.57,11.0,0.75,9.12,0.2,2.43,16.32,16.73,0.16,0.12,9.78,11.07,23.96,17.52,16.07,7.94,7.94,14.75,22.59,6.6,1.53,7.22,6.15,6.6,2.01,2.25,1.87,2.01,29.1,1,1,1,+,+,+,+,695,3246,0.14,0.67,78,557
4847,KONSORTIUM TRANSNASIONAL BERHAD,Consumer Products & Services,2018-12-01,10,0.04,0.025,0.12,0.04,0.0,-0.08,-200.0,0.0,0.0,-212.5,-58.0,0.99,0.64,-6.78,-2.8,23.5,10.35,14.87,0.0,0.0,0.0,0.0,-40.14,43.66,-84.33,-49.75,-40.14,0.0,0.0,0.0,0.0,0.0,0,0,0,1+3+4+5+7+8+9+10,1+2+3+8+9+10,1+2+3+4+5+7+8+9+10,4,282,157,-0.05,-0.1,63,20
4863,TELEKOM MALAYSIA BERHAD,Telecommunications & Media,2019-12-01,10,4.25,2.71,4.68,1.896,34.0,0.13,3.06,0.1,2.35,6.68,8.5,1.31,1.27,8.32,10.32,66.5,38.41,27.5,0.0,-6.76,-6.12,-0.86,4.63,2.21,3.25,3.15,4.63,4.16,2.79,3.06,4.16,83.6,1,0,0,1+2,+,2+5+6+7+9,1+2+3+4+5+6+7+8+9+10,8791,11434,0.34,0.17,0,0
4898,TA ENTERPRISE BERHAD,Financial Services,2018-12-01,10,0.49,0.335,0.69,1.48,6.0,0.09,18.37,0.01,2.04,5.78,3.11,0.27,0.28,13.96,4.85,14.9,9.88,10.12,0.0,0.0,-11.08,-3.57,11.32,4.4,14.08,14.25,11.32,4.86,3.3,3.65,4.86,3.74,1,0,0,3+9+10,+,1+3+4+6+8+9+10,8,568,2078,0.06,0.04,309,1246
4936,MALPAC HOLDINGS BERHAD,Plantation,2019-06-01,10,0.55,0.42,0.86,2.22,960.0,0.0,0.0,0.0,0.0,0.03,-3.16,0.0,0.0,60.34,-32.0,163.0,65.5,78.42,0.0,0.0,0.0,0.0,-0.6,5.77,-5.55,-4.62,-0.6,1.27,4.22,2.53,1.27,0.0,0,0,0,1+2+3+4+5+6+7+8+10,1+2+3+4+5+7,1+2+3+4+5+6+7+8+10,1+2+3+4+5+6+7,10,0,0.11,-0.07,5,-3
4944,NYLEX (MALAYSIA) BERHAD,Industrial Products & Services,2019-05-01,10,0.79,0.33,0.91,1.84,-35.0,-0.02,-2.53,0.02,2.53,-1.23,-0.99,0.14,0.12,1.0,-64.0,18.5,-22.75,10.36,0.0,0.0,0.0,0.0,10.5,6.83,8.26,8.26,10.5,3.14,3.32,3.81,3.14,51.16,0,0,0,4+5+6+10,1,1+2+5+7+9,1+3+7+9+10,1222,1560,0.18,-0.01,-15,-2
4952,AMANAH HARTA TANAH PNB,Real Estate Investment Trusts,2019-12-01,10,0.71,0.58,0.83,1.2674,12.0,0.06,8.45,0.06,8.1,4.57,4.53,0.45,0.44,60.12,8.33,97.5,52.92,22.05,8.35,91.29,8.35,-2.39,7.57,3.17,8.37,7.63,7.57,6.21,5.15,5.93,6.21,105.24,1,0,0,1+2+5+6+8,+,2+4+6+7+9,5,10,39,0.1,0.06,8,16
4995,VERSATILE CREATIVE BERHAD,Industrial Products & Services,2019-03-01,8,0.275,0.18,0.4,0.3,-7.0,-0.04,-14.55,0.0,0.0,-13.87,-35.47,0.01,0.01,-8.6,-34.5,12.5,-11.0,12.5,0.0,0.0,0.0,0.0,-9.8,12.5,-15.38,-13.54,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4+5+8,1+2+3+4+5+7,1+2+3+4+5+6+7+8,1+2+4,55,56,-0.06,-0.13,5,0
5000,HUME INDUSTRIES BERHAD,Industrial Products & Services,2019-06-01,6,1.28,0.655,1.86,0.83,-11.0,-0.12,-9.38,0.0,0.0,-13.9,-23.75,0.21,0.52,-2.19,-13.39,57.0,21.8,37.76,0.0,0.0,0.0,0.0,-4.6,8.35,-9.1,-4.02,0.0,0.44,0.29,0.53,0.0,13.22,0,0,0,1+2+6,1+2+6,1+2+3+4+5+6,1+6,41,637,-0.18,-0.2,-3,-46
5001,MIECO CHIPBOARD BERHAD,Industrial Products & Services,2018-12-01,10,0.235,0.18,0.36,0.65,75.0,0.0,0.0,0.0,0.0,0.48,-16.34,0.29,0.35,0.69,-33.0,44.0,5.5,24.39,0.0,0.0,0.0,0.0,-1.78,21.32,4.85,4.05,-1.78,1.95,6.5,3.9,1.95,2.59,0,0,0,3+6+9+10,1+6+7+10,1+2+5+6+7+9+10,2,186,420,-0.03,-0.12,25,59
5005,UNISEM (M) BERHAD,Technology,2019-12-01,10,2.02,1.53,2.93,1.8880000000000001,-80.0,-0.03,-1.49,0.06,2.97,-1.33,-0.69,0.12,0.08,4.96,-216.0,36.33,-89.84,18.0,0.0,0.0,0.0,0.0,2.64,7.88,3.18,5.62,2.64,3.05,2.63,3.35,3.05,35.43,0,0,1,1+2+7+8+9,1+7+8,1+2+3+6+7+8+9,+,1395,1251,0.27,-0.01,267,161
5008,HARRISONS HOLDINGS (MALAYSIA) BERHAD,Consumer Products & Services,2018-12-01,10,3.65,2.89,3.95,4.61,10.0,0.37,10.14,0.2,5.48,7.95,7.11,0.13,0.0,1.72,-20.64,15.24,-2.7,9.48,14.36,14.36,-3.69,-1.26,10.14,6.18,8.4,5.39,10.14,5.12,5.41,5.22,5.12,39.42,0,0,0,10,5,4+5+6+7+8+10,2+5+7,1057,1651,0.44,0.32,24,3
5009,WHITE HORSE BERHAD,Industrial Products & Services,2019-12-01,10,0.7,0.645,1.19,2.82,-3.0,-0.27,-38.57,0.0,0.0,-9.44,-9.5,0.05,0.05,3.83,-13.91,97.0,41.54,21.46,0.0,0.0,0.0,0.0,4.13,12.42,-11.29,-4.46,4.13,4.15,1.3,2.65,4.15,42.01,0,0,1,1+2+3+4+5+9,1+2,1+2+3+4+5+8+9,+,530,527,0.28,-0.28,47,62
5010,TONG HERR RESOURCES BERHAD,Industrial Products & Services,2018-12-01,10,1.91,1.23,3.24,3.06,15.0,0.13,6.81,0.1,5.24,4.1,13.76,0.05,0.01,5.25,-102.0,37.14,-32.43,13.07,10.61,0.0,23.14,10.61,9.0,5.3,12.0,9.38,9.0,5.91,9.03,7.09,5.91,60.55,0,0,0,3+7+10,4,3+4+7+10,5+9,212,798,0.07,0.39,50,55
5012,TA ANN HOLDINGS BERHAD,Plantation,2018-12-01,10,2.4,1.81,3.56,3.21,20.0,0.12,5.0,0.1,4.17,3.79,5.54,0.22,0.24,11.54,8.33,32.08,20.2,17.77,6.52,-26.15,-3.93,6.52,6.67,2.79,7.01,7.45,6.67,2.36,3.01,3.34,2.36,34.51,1,0,1,1+6+7+10,+,1+2+3+7+10,+,667,967,0.17,0.17,72,152
5014,MALAYSIA AIRPORTS HOLDINGS BERHAD,Transportation & Logistics,2018-12-01,10,4.92,3.92,8.88,5.5394,22.0,0.22,4.47,0.15,3.05,3.99,7.38,0.42,0.54,11.4,-606.0,879.0,136.5,121.8,4.4,0.0,6.76,4.4,3.86,2.6,2.23,2.94,3.86,1.98,1.35,1.29,1.98,0.0,1,0,0,5+10,+,2+3+4+6+7+9+10,10,1637,4852,0.3,0.4,-306,2029
5016,WARISAN TC HOLDINGS BERHAD,Consumer Products & Services,2018-12-01,10,1.35,1.3,2.25,4.97,-13.0,-0.1,-7.41,0.03,2.22,-2.05,2.25,0.06,0.05,2.38,-25.0,265.0,120.0,65.89,84.87,84.87,85.33,-7.63,2.94,3.75,2.15,1.76,2.94,3.71,2.44,3.0,3.71,26.79,0,0,1,1+3+4+5+6+10,3,2+3+4+5+6+10,+,302,460,0.1,0.12,44,80
5020,GLOMAC BERHAD,Property,2019-04-01,10,0.28,0.24,0.395,1.42,7.0,0.04,14.29,0.01,2.86,2.75,1.35,0.22,0.23,13.07,5.04,19.0,12.02,9.65,0.0,-43.17,-32.69,-9.64,11.76,3.94,11.09,11.4,11.76,4.51,3.92,4.17,4.51,62.53,1,0,0,1+2+3+5+6+10,+,1+2+4+5+10,1+2+5+7+9,317,273,0.06,0.02,14,-2
5021,AYS VENTURES BERHAD,Industrial Products & Services,2019-03-01,10,0.175,0.115,0.33,0.69,-9.0,-0.02,-11.43,0.01,5.71,-2.75,5.88,0.06,0.0,7.04,0.41,14.25,7.33,8.23,5.92,25.99,5.92,-13.47,41.73,70.57,15.29,12.11,41.73,9.38,2.74,3.05,9.38,24.01,1,0,0,3+5+7+9+10,+,1+2+4+5+7+9+10,1+2+5+7+10,182,599,0.18,0.04,0,-97
5022,PAOS HOLDINGS BERHAD,Consumer Products & Services,2019-05-01,10,0.27,0.23,0.46,0.52,-48.0,-0.01,-3.7,0.02,5.93,-1.1,0.76,0.0,0.0,1.66,20.17,87.0,53.58,47.38,0.0,-40.09,-30.56,-22.67,2.13,1.59,0.6,1.24,2.13,3.26,3.95,3.57,3.26,153.07,1,0,0,5+6+10,+,1+2+3+5+6+8+10,2+3+4+5+10,144,323,0.01,0.0,-3,2
5024,HUP SENG INDUSTRIES BERHAD,Consumer Products & Services,2019-12-01,10,0.985,0.745,1.08,0.18,19.0,0.05,5.08,0.06,6.09,28.56,26.79,0.0,0.0,13.93,16.1,128.4,72.25,45.82,1.7,-5.65,1.7,11.94,3.81,2.12,5.44,5.38,3.81,3.14,6.16,5.0,3.14,79.75,1,0,1,4,+,1+2+3+4+9,+,219,310,0.03,0.05,31,51
5025,NWP HOLDINGS BERHAD,Industrial Products & Services,2019-08-01,10,0.135,0.065,0.23,0.0766,-9.0,-0.02,-14.81,0.0,0.0,-20.5,-18.27,0.0,0.0,-70.26,-35.0,-2.2,-18.6,,0.0,0.0,0.0,0.0,-15.14,11.94,-29.93,-20.2,-15.14,0.0,0.0,0.0,0.0,0.0,0,0,0,1+2+4+8+9,1+2+3+4+5+6+7+8+9+10,1+2+3+4+5+6+7+8+9+10,1+2+3+5+7+8,23,7,-0.02,-0.02,3,-4
5026,MHC PLANTATIONS BHD,Plantation,2018-12-01,10,0.48,0.27,0.77,1.26,38.0,0.01,2.08,0.0,0.0,1.02,1.31,0.25,0.26,35.6,6.75,45.75,26.25,19.35,13.08,13.08,-14.4,-14.85,7.54,4.09,6.06,5.41,7.54,2.43,1.77,1.95,2.43,41.49,1,0,1,1+4+7+10,+,1+4+6+7+9+10,+,23,343,0.1,0.02,7,31
5027,KIM LOONG RESOURCES BERHAD,Plantation,2019-01-01,10,1.17,0.895,1.64,0.77,27.0,0.04,3.42,0.06,5.13,5.66,7.69,0.0,0.01,9.41,12.5,52.25,32.38,36.04,0.0,-10.96,-3.28,-2.49,3.35,1.81,4.89,3.93,3.35,2.1,3.51,2.67,2.1,51.6,1,0,0,1+4+7+10,+,1+3+4+7+10,1+2+3+4+5+6+7+8+9+10,452,873,0.05,0.06,0,0
5028,HEITECH PADU BERHAD,Technology,2018-12-01,10,1.13,0.45,1.44,1.03,16.0,0.07,6.19,0.0,0.0,6.82,-21.05,0.17,0.04,-1.16,-6.5,56.5,25.0,21.47,0.0,0.0,0.0,0.0,-9.54,21.69,-14.96,-11.7,-9.54,4.35,3.92,3.06,4.35,70.55,0,0,0,1+3+4+8+10,1+2+5+6,1+2+4+5+6+8+9+10,6+8+9,422,379,0.1,-0.27,12,60
5029,FAR EAST HOLDINGS BERHAD,Plantation,2018-12-01,10,2.28,2.0,2.79,1.95,17.0,0.13,5.7,0.02,1.1,6.92,5.34,0.01,0.0,21.79,14.74,68.33,41.54,46.17,2.19,4.89,2.19,-5.07,2.75,1.68,4.69,3.53,2.75,1.08,1.66,1.32,1.08,39.89,1,0,1,1+4+5+6+7+10,+,1+4+6+7+10,+,352,379,0.12,0.14,64,72
5031,TIME DOTCOM BERHAD,Telecommunications & Media,2019-12-01,10,11.22,8.3,11.98,4.73,22.0,0.52,4.63,0.29,2.59,11.01,11.88,0.05,0.05,46.26,3.17,30.33,16.75,15.02,11.86,-8.84,11.86,23.29,9.29,7.69,5.03,6.95,9.29,0.41,0.79,0.81,0.41,6.37,1,0,0,9,+,3+4+6,1+2+3+4+5+6+7+8+9+10,321,1114,0.21,0.53,0,0
5032,BINTULU PORT HOLDINGS BERHAD,Transportation & Logistics,2019-12-01,10,4.15,3.27,5.06,2.9391,16.0,0.26,6.27,0.14,3.37,8.94,9.93,1.05,1.05,21.5,14.06,25.64,19.85,18.86,0.0,-4.79,-2.03,-1.35,5.46,0.91,6.37,5.65,5.46,3.84,3.56,3.51,3.84,75.29,1,0,1,1+2+3+6,+,1+2+5+6+7+8,+,455,703,0.38,0.28,158,375
5035,KNUSFORD BERHAD,Industrial Products & Services,2018-12-01,10,0.885,0.49,0.86,2.2728,5.0,0.17,19.21,0.0,0.0,7.38,-12.63,0.02,0.01,1.79,-7.14,52.0,22.43,15.7,0.0,0.0,0.0,0.0,1.94,20.8,-24.93,-10.57,1.94,1.66,0.72,2.11,1.66,13.46,0,0,0,3+4+7+8+10,1+2+3,1+2+3+4+7+10,3+6+7+9+10,205,209,0.07,-0.3,-7,8
5036,EDARAN BERHAD,Technology,2019-06-01,8,0.345,0.115,0.605,0.4352,-3.0,-0.1,-28.99,0.0,0.0,-24.08,-17.37,0.2,0.22,-6.15,-32.0,2.92,-14.54,2.92,0.0,0.0,0.0,0.0,-10.36,19.6,-0.32,-6.12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+4+6+7,1+3+4+5+6+7+8,1+2+3+4+5+6+7+8,1+4+6+7,50,54,-0.12,-0.09,1,-31
5037,COMPUGATES HOLDINGS BERHAD,Industrial Products & Services,2018-12-01,10,0.015,0.01,0.03,0.04,-5.0,-0.0,-0.0,0.0,0.0,-8.25,-5.48,0.0,0.0,-10.61,-9.0,2.75,-3.12,2.75,0.0,0.0,0.0,0.0,-8.03,24.53,0.0,-4.44,-8.03,0.0,0.0,0.0,0.0,0.0,0,0,0,1+2+3+4+5+6+7+8+9+10,1+2+3+5+6+7+8+9+10,1+2+3+4+5+6+7+8+9+10,2+3+4+5+6+7+9,733,19,-0.04,0.0,51,2
5038,KSL HOLDINGS BERHAD,Property,2018-12-01,10,0.625,0.405,0.915,3.01,3.0,0.24,38.4,0.0,0.0,7.92,8.3,0.03,0.05,39.66,3.23,14.0,8.62,7.44,5.51,-6.88,-0.42,5.51,19.1,10.08,29.7,29.03,19.1,1.78,0.0,2.38,1.78,13.63,1,0,0,4+9+10,+,2+4+8+10,4,186,710,0.13,0.22,110,341
5040,MERIDIAN BERHAD,Property,2018-12-01,10,0.07,0.04,0.25,0.23,-3.0,-0.03,-42.86,0.0,0.0,-10.91,-18.0,0.06,0.11,-29.16,-55.0,35.0,-10.0,19.95,0.0,0.0,0.0,0.0,-7.12,25.65,-28.61,-22.33,-7.12,0.51,0.0,0.36,0.51,9.49,0,0,0,1+2+3+4+5+10,1+2+3+4+5+10,1+2+3+4+5+6+8+9+10,1+3+5+10,48,13,0.06,-0.05,-3,-4
5041,PBA HOLDINGS BHD,Utilities,2018-12-01,10,0.885,0.725,1.19,2.05,12.0,0.08,9.04,0.04,3.95,3.7,-13.61,0.44,0.11,8.56,-3.61,22.25,9.32,12.51,0.0,0.0,0.0,0.0,5.72,11.7,-0.49,2.7,5.72,3.53,3.56,3.45,3.53,33.46,0,0,1,2+10,1,1+2+5+6+7+10,+,185,334,0.04,-0.31,80,81
5042,TSR CAPITAL BERHAD,Construction,2019-06-01,10,0.21,0.18,0.49,0.9,-1.0,-0.15,-71.43,0.0,0.0,-16.12,-15.52,0.36,0.4,-1.44,-3.08,81.0,38.96,30.82,0.0,0.0,0.0,0.0,-2.27,16.1,-5.26,-1.44,-2.27,1.29,0.67,0.8,1.29,0.0,0,0,0,1+6+7+9+10,1+7,1+4+6+7+8+9+10,2+3+4+6+9+10,280,194,0.11,-0.15,0,14
5047,NPC RESOURCES BERHAD,Plantation,2018-12-01,10,1.9,1.7,2.0,4.37,-19.0,-0.1,-5.26,0.0,0.0,-2.29,-14.41,0.02,0.0,4.7,-270.0,22.5,-123.75,11.5,0.0,0.0,0.0,0.0,5.3,11.51,3.27,1.98,5.3,1.09,0.53,0.56,1.09,9.16,0,0,1,1+2+3+4+7+10,1+4,1+2+3+4+7+8+10,+,315,228,0.27,-0.41,38,12
5048,YI-LAI BERHAD,Industrial Products & Services,2018-12-01,10,0.75,0.395,0.845,1.35,-19.0,-0.04,-5.33,0.0,0.0,-2.96,-1.53,0.0,0.0,6.02,-28.0,25.83,-1.09,13.68,0.0,0.0,0.0,0.0,5.62,4.94,-1.16,2.68,5.62,4.39,0.0,1.2,4.39,48.67,0,0,0,2+3+4+7+10,1+2,1+2+3+4+8+10,1,111,118,0.07,-0.02,15,-9
5049,COUNTRY VIEW BERHAD,Property,2019-11-01,10,1.05,0.92,1.5,4.06,4.0,0.25,23.81,0.03,2.86,6.16,6.24,0.38,0.38,16.29,-5.12,7.67,1.27,4.82,0.0,-1.37,-18.79,0.0,21.12,18.65,31.98,25.29,21.12,4.19,3.13,4.83,4.19,21.76,0,0,0,1+3+5+6+10,10,1+5+6+9+10,3+5+9+10,23,163,-0.08,0.25,-3,61
5053,OSK HOLDINGS BERHAD,Property,2019-12-01,10,0.85,0.64,1.05,2.41,4.0,0.2,23.53,0.05,5.88,8.16,8.6,0.28,0.28,101.85,2.18,43.5,22.84,13.05,6.93,18.55,6.93,8.48,15.17,12.12,18.84,16.93,15.17,3.55,5.46,4.32,3.55,98.15,1,0,0,3+6+7+9,+,2+4+7+8+9+10,5+7+8+10,873,1208,0.08,0.2,-437,175
5054,TRC SYNERGY BERHAD,Construction,2018-12-01,10,0.32,0.2,0.7,0.89,8.0,0.04,12.5,0.02,5.94,4.64,5.16,0.22,0.02,3.04,6.33,53.0,29.66,19.53,17.17,-11.71,17.17,-8.29,7.59,4.12,9.91,9.64,7.59,2.87,3.42,2.59,2.87,44.14,1,0,0,2+3+4+5+9+10,+,1+3+5+7+8+9+10,1+6+7+8,534,756,0.06,0.04,84,-17
5056,ENGTEX GROUP BERHAD,Industrial Products & Services,2019-12-01,10,0.6,0.46,0.865,1.58,-301.0,-0.0,-0.0,0.01,1.03,-0.13,-0.13,0.09,0.09,3.58,7.12,27.5,17.31,10.49,0.0,0.0,0.0,0.0,10.12,4.47,5.76,8.16,10.12,1.09,1.45,1.2,1.09,8.08,0,0,0,1+4+5,1,1+2+3+5+6+8+9,2+3+6+9,680,1117,0.12,0.0,16,110
5060,KINSTEEL BHD,Industrial Products & Services,2019-06-01,10,0.005,0.005,0.005,-0.72,0.0,-0.16,-3200.0,0.0,0.0,22.14,0.0,0.0,0.0,-44.87,-3.85,45.5,20.82,27.58,0.0,0.0,0.0,0.0,-777.1,1885.74,-2429.63,-1476.49,-777.1,0.53,0.0,0.0,0.53,0.0,0,0,0,1+2+3+4+5+6+9+10,1+2+3+4+6+7+8+9,1+2+3+4+5+6+7+8+10,2+4,1991,121,0.02,-0.01,15,4
5062,HUA YANG BERHAD,Property,2019-03-01,10,0.26,0.145,0.465,1.61,-4.0,-0.07,-26.92,0.0,0.0,-4.05,-3.86,0.36,0.55,12.27,-6.42,49.5,21.54,14.59,0.0,0.0,0.0,0.0,7.97,9.08,0.63,6.69,7.97,3.14,1.95,3.11,3.14,29.99,0,0,1,2+3+4+10,1,1+2+3+4+10,+,104,273,0.03,-0.06,41,96
5065,ORNAPAPER BERHAD,Industrial Products & Services,2018-12-01,10,1.06,0.7,1.42,2.36,6.0,0.18,16.98,0.03,2.83,7.44,5.89,0.04,0.04,3.08,4.24,13.4,8.82,8.47,3.29,10.16,3.29,13.97,12.77,4.05,14.52,13.39,12.77,1.41,2.83,2.34,1.41,8.54,1,0,1,4+10,+,1+4+9+10,+,156,350,0.06,0.13,16,34
5066,NTPM HOLDINGS BERHAD,Consumer Products & Services,2019-04-01,10,0.575,0.295,0.615,0.4,-245.0,-0.0,-0.0,0.02,2.78,-0.58,1.96,0.14,0.13,8.86,11.0,45.5,28.25,19.62,0.0,-46.17,-30.18,-15.12,5.98,2.07,4.14,4.36,5.98,3.66,3.47,2.85,3.66,61.41,1,0,1,10,+,1+2+3+5+8+9+10,+,383,728,0.05,0.01,67,25
5068,LUSTER INDUSTRIES BHD.,Industrial Products & Services,2018-12-01,10,0.075,0.05,0.105,0.09,17.0,0.0,0.0,0.0,0.0,4.89,7.77,0.0,0.01,-7.01,-10.5,9.0,-0.75,5.92,29.95,0.0,29.95,0.0,-89.88,238.6,0.53,-3.68,-89.88,0.0,0.0,0.0,0.0,0.0,0,0,0,3+5+8+10,3+4+8+9+10,2+3+4+5+6+7+8+9+10,2+3+4+5+8+9,36,174,-0.03,0.01,2,1
5069,BLD PLANTATION BHD.,Plantation,2017-12-01,10,5.2,5.0,6.78,5.99,-66.0,-0.08,-1.54,0.0,0.0,-1.32,4.88,0.19,0.09,3.79,-115.57,31.42,-42.08,18.61,6.69,6.69,-16.1,-0.2,6.47,4.75,1.86,2.92,6.47,0.97,0.45,0.51,0.97,0.0,0,0,0,3+4+5+9+10,3,2+3+4+5+6+9+10,1+3+5+9,518,2134,0.75,0.22,39,-9
5071,COASTAL CONTRACTS BHD,Energy,2019-06-01,10,0.665,0.53,1.51,2.2505,37.0,0.02,3.01,0.0,0.0,0.8,1.23,0.0,0.2,-19.03,-0.86,30.83,14.98,10.1,0.0,-55.54,-35.83,-17.34,1.61,40.1,-35.59,-14.8,1.61,1.84,0.86,1.54,1.84,10.47,0,0,1,1+2+3+6+10,2,1+2+3+4+7+8+10,+,466,156,0.34,0.03,31,172
5072,HIAP TECK VENTURE BERHAD,Industrial Products & Services,2019-07-01,10,0.17,0.09,0.255,0.63,24.0,0.01,5.88,0.0,2.94,1.11,2.98,0.02,0.02,0.05,-9.5,19.0,4.75,14.86,0.0,0.0,-23.7,-17.08,-1.06,13.37,-2.12,-9.32,-1.06,1.38,1.48,1.43,1.38,33.91,0,0,0,3+4+7+9+10,3+4+5,1+2+3+4+5+8+9,2+9,1065,1187,0.13,0.02,4,56
5073,NAIM HOLDINGS BERHAD,Property,2018-12-01,7,0.615,0.335,1.41,2.62,6.0,0.11,17.89,0.0,0.0,4.18,5.64,0.11,0.15,7.9,-0.58,13.57,6.5,6.56,23.7,23.7,-22.72,-1.93,-8.43,68.42,-49.27,-20.53,0.0,0.92,0.0,0.42,0.0,5.67,0,0,0,2+3+4+5,2,1+2+3+4+5,2+3+4+5+7,493,605,0.38,0.27,-5,109
5075,PLENITUDE BERHAD,Property,2019-06-01,10,1.09,0.735,1.46,4.08,13.0,0.08,7.34,0.04,4.13,2.01,2.69,0.08,0.09,29.7,3.4,13.31,8.36,9.34,0.0,-5.61,-19.32,-9.33,12.66,6.28,7.75,12.12,12.66,2.98,2.6,2.64,2.98,29.5,1,0,0,1+4+5+8+9,+,1+4+8+10,1+4,350,227,0.16,0.11,108,-16
5077,MALAYSIAN BULK CARRIERS BERHAD,Transportation & Logistics,2019-12-01,10,0.365,0.18,0.785,0.3645,7.0,0.05,13.7,0.0,0.0,14.02,-1.96,0.91,1.24,-51.52,-55.0,121.0,33.0,35.59,0.0,0.0,0.0,0.0,-16.53,51.17,9.14,-37.73,-16.53,1.95,0.0,0.25,1.95,29.69,0,0,0,2+4+5+7+8+9,1+3+4+5,1+2+3+4+5+6+7+8+9+10,4+5+6+8,404,258,0.24,-0.01,222,110
5078,MARINE & GENERAL BERHAD,Transportation & Logistics,2017-12-01,10,0.065,0.04,0.11,0.0854,-1.0,-0.07,-107.69,0.0,0.0,-87.59,108.95,14.82,4.94,32.26,-17.0,19.0,1.0,6.57,61.82,0.0,61.82,0.0,31.58,138.7,40.42,21.0,31.58,5.88,19.61,11.76,5.88,0.0,0,0,0,1+2+4+8+9+10,2+3+4+7+10,1+2+3+4+5+6+7+8+9+10,1+2+3+4+5+6+7+8+9+10,29,152,-0.46,0.21,0,0
5079,GETS GLOBAL BERHAD,Consumer Products & Services,2019-06-01,10,0.09,0.035,0.275,0.31,-2.0,-0.04,-44.44,0.0,0.0,-11.68,-25.86,0.0,0.0,-12.36,-19.0,17.75,-0.62,11.75,0.0,0.0,0.0,0.0,-17.05,19.72,-33.92,-20.28,-17.05,0.0,0.0,0.0,0.0,0.0,0,0,0,1+3+5+6+7+8+9+10,1+2+3+4+6+7+8+10,1+2+3+4+5+6+7+8+9+10,1+3+10,49,33,-0.06,-0.08,0,-11
5080,POH KONG HOLDINGS BERHAD,Consumer Products & Services,2019-07-01,10,0.465,0.3,0.72,1.38,6.0,0.08,17.2,0.01,2.58,6.12,4.71,0.1,0.08,3.45,3.69,16.67,10.18,8.74,13.71,31.97,13.71,-1.17,14.52,6.73,12.55,10.43,14.52,2.11,1.98,2.01,2.11,27.35,1,0,0,1+4+6,+,2+4+6+7,6+8,561,1001,0.08,0.06,29,35
