code,nYear,Revenue start,Revenue end,EPS start,EPS end,OCF start,OCF end,ROE,ROE2,D/E,D/E2,P/E mid,EPS,EPS GR min,EY level,DY level,neg Revenue count,neg EPS count,neg OCF count,Revenue Growth,EPS Growth,OCF Growth,ROE Health,D/E Health,3G2H,PE Value,EPS GR Value
4731,10,695,3246,0.14,0.67,78,557,16.32,16.73,0.16,0.12,17.52,0.75,7.94,3,3,0,0,0,1.0,1.0,1.0,1.0,1.0,5.0,13.14,5.96
7277,10,1139,2386,0.03,0.1,201,334,15.08,14.7,0.35,0.35,60.21,0.11,16.35,1,1,3,0,0,0.5,1.0,1.0,1.0,1.0,4.5,6.62,1.8
7153,10,1047,2217,0.09,0.18,138,275,15.55,16.4,0.11,0.12,40.61,0.18,9.07,0,0,1,2,0,0.5,0.5,1.0,1.0,1.0,4.0,7.31,1.63
0198,6,87,323,0.0,0.05,11,17,24.53,25.91,0.0,0.0,6.15,0.05,26.92,3,5,2,2,0,0.5,0.5,1.0,1.0,1.0,4.0,0.31,1.35
2836,10,1368,2257,0.44,0.95,223,379,186.65,183.26,0.04,0.04,22.66,0.95,6.58,2,5,1,2,0,0.5,0.5,1.0,1.0,1.0,4.0,21.53,6.25
7231,10,97,170,0.03,0.07,18,49,30.71,32.87,0.0,0.0,36.52,0.07,4.61,3,5,3,2,0,0.5,0.5,1.0,1.0,1.0,4.0,2.56,0.32
0138,10,49,371,0.0,0.06,13,85,34.43,42.26,0.18,0.21,161.16,0.07,37.1,3,1,3,2,0,0.5,0.5,1.0,1.0,1.0,4.0,11.28,2.6
4707,10,4026,5518,1.67,2.87,509,726,72.7,102.01,0.2,0.27,39.2,2.66,1.84,0,3,2,1,0,0.5,0.5,1.0,1.0,1.0,4.0,104.27,4.89
7087,10,377,1073,0.04,0.24,13,53,19.31,20.64,0.0,0.0,25.43,0.26,7.65,4,5,3,2,0,0.5,0.5,1.0,1.0,1.0,4.0,6.61,1.99
5277,6,30,45,0.02,0.02,9,10,16.9,15.64,0.0,0.0,21.38,0.03,2.54,2,1,3,3,0,0.5,0.0,1.0,1.0,1.0,3.5,0.64,0.08
0078,10,82,314,0.0,0.01,10,26,4.11,6.99,0.03,0.04,90.25,0.0,3.46,0,0,0,2,0,1.0,0.5,1.0,0.0,1.0,3.5,0.0,0.0
5253,7,386,663,0.02,0.01,27,30,15.57,6.67,0.01,0.02,36.0,0.05,0.0,3,0,2,2,0,0.5,0.0,1.0,1.0,1.0,3.5,1.8,0.0
5024,10,219,310,0.03,0.05,31,51,28.56,26.79,0.0,0.0,72.25,0.05,1.7,3,5,1,5,0,0.5,0.0,1.0,1.0,1.0,3.5,3.61,0.08
7100,10,101,157,0.13,0.17,49,84,42.13,48.53,0.0,0.0,14.89,0.17,7.82,3,5,1,4,0,0.5,0.0,1.0,1.0,1.0,3.5,2.53,1.33
5263,8,1448,1769,0.04,0.1,51,194,17.74,21.3,0.1,0.1,12.55,0.09,0.65,2,5,3,3,0,0.5,0.0,1.0,1.0,1.0,3.5,1.13,0.06
7089,10,219,801,0.09,0.32,32,67,20.93,18.6,0.03,0.01,17.25,0.44,26.39,5,5,2,5,0,0.5,0.0,1.0,1.0,1.0,3.5,7.59,11.61
5160,10,110,148,0.07,0.07,17,34,15.38,14.78,0.0,0.0,8.62,0.08,0.91,4,5,3,3,0,0.5,0.0,1.0,1.0,1.0,3.5,0.69,0.07
5236,6,456,1046,0.2,0.29,35,78,15.35,17.24,0.12,0.15,11.64,0.29,3.12,5,5,2,3,0,0.5,0.0,1.0,1.0,1.0,3.5,3.38,0.9
0002,10,102,173,0.09,0.16,3,37,15.52,13.64,0.12,0.18,44.5,0.19,7.78,3,4,2,3,0,0.5,0.0,1.0,1.0,1.0,3.5,8.46,1.48
3255,10,1285,2320,0.47,1.04,0,411,70.45,81.8,0.01,0.01,22.0,1.05,5.75,2,5,2,2,1,0.5,0.5,0.5,1.0,1.0,3.5,23.1,6.04
0090,10,6,78,0.0,0.06,2,48,12.93,36.09,0.0,0.0,42.42,0.02,14.12,1,5,1,2,0,0.5,0.5,1.0,0.5,1.0,3.5,0.85,0.28
1818,10,331,480,0.14,0.23,154,187,28.0,22.72,0.01,0.01,40.07,0.25,0.26,1,4,2,4,0,0.5,0.0,1.0,1.0,1.0,3.5,10.02,0.06
0097,10,88,340,0.05,0.17,21,86,16.51,17.78,0.09,0.09,31.4,0.17,6.92,0,0,3,3,0,0.5,0.0,1.0,1.0,1.0,3.5,5.34,1.18
0187,6,35,93,0.0,0.02,3,11,10.17,19.7,0.1,0.11,9.0,0.01,10.27,2,0,0,1,1,1.0,0.5,0.5,0.5,1.0,3.5,0.09,0.1
0201,5,23,30,0.04,0.03,12,12,16.65,20.93,0.0,0.0,7.34,0.04,0.0,3,2,1,2,0,0.5,0.0,1.0,1.0,1.0,3.5,0.29,0.0
0200,5,14,58,0.01,0.02,1,2,10.26,21.66,0.09,0.11,35.5,0.03,23.24,1,0,1,2,0,0.5,0.5,1.0,0.5,1.0,3.5,1.06,0.7
5168,10,572,2827,0.05,0.14,164,627,17.12,21.42,0.07,0.09,72.0,0.13,12.33,0,0,1,4,0,0.5,0.0,1.0,1.0,1.0,3.5,9.36,1.6
7237,10,138,338,0.03,0.07,0,42,16.11,13.1,0.0,0.0,43.55,0.11,0.0,2,5,3,6,1,0.5,0.0,0.5,1.0,1.0,3.0,4.79,0.0
3034,10,2464,6247,0.05,0.46,1161,-448,15.83,17.91,0.48,0.4,28.18,0.47,5.41,3,5,2,1,4,0.5,0.5,0.0,1.0,1.0,3.0,13.24,2.54
5197,9,120,203,0.14,0.27,18,23,-4.06,16.04,0.0,0.0,10.96,-0.07,13.32,0,0,2,5,0,0.5,0.0,1.0,0.5,1.0,3.0,-0.77,-0.93
3689,10,3638,4076,1.94,1.12,511,578,15.77,16.95,0.04,0.04,21.86,1.13,2.12,2,2,4,5,0,0.0,0.0,1.0,1.0,1.0,3.0,24.7,2.4
7233,10,128,249,0.04,0.18,13,29,22.75,22.95,0.05,0.06,-4.0,0.21,11.62,2,2,4,7,0,0.0,0.0,1.0,1.0,1.0,3.0,-0.84,2.44
0151,10,64,350,0.05,0.07,4,8,15.44,19.19,0.13,0.01,2.75,0.08,54.95,3,2,3,6,3,0.5,0.0,0.5,1.0,1.0,3.0,0.22,4.4
