code,name,Price,EPS,52w low,52w high,EPS GR 3Y avg,EPS GR 5Y avg,EPS GR 10Y avg,P/E mid,DPayout avg,intrinsic 3Y,intrinsic 5Y,intrinsic 10Y,Price A3,Price A5,Price A10,Price B
0001,SUPERCOMNET TECHNOLOGIES BERHAD,0.875,0.03,0.315,1.08,18.76,50.14,0.0,31.5,12.3,0.15,0.07,0.34,0.11,0.05,0.26,0.57
0002,KOTRA INDUSTRIES BERHAD,2.48,0.19,1.6,2.4,40.72,30.55,7.78,44.5,10.81,0.5,0.64,1.43,0.38,0.48,1.07,1.86
0005,UCREST BERHAD,0.17,-0.0,0.035,0.245,0.0,0.0,23.36,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
0006,PINEAPPLE RESOURCES BERHAD,0.28,-0.04,0.18,0.39,0.0,-49.87,-26.18,4.25,0.0,-0.4,-79.82,-2.91,-0.3,-59.86,-2.18,0.25
0008,WILLOWGLEN MSC BERHAD,0.51,0.03,0.3,0.645,-15.02,-10.52,3.44,20.43,30.9,1.12,0.76,0.33,0.84,0.57,0.25,0.41
0011,BRITE-TECH BERHAD,0.24,0.03,0.15,0.28,-2.94,5.15,11.72,17.5,69.68,0.62,0.38,0.29,0.46,0.29,0.22,0.19
0017,M3 TECHNOLOGIES (ASIA) BERHAD,0.055,-0.02,0.02,0.075,0.0,0.0,0.0,7.75,0.0,-0.2,-0.2,-0.2,-0.15,-0.15,-0.15,0.04
0018,LAMBO GROUP BERHAD,0.02,0.0,0.005,0.07,0.0,0.0,0.0,14.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
0022,PARLO BERHAD,0.105,-0.0,0.025,0.175,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07
0023,IFCA MSC BERHAD,0.375,0.01,0.165,0.57,-19.99,37.39,0.0,7.25,10.14,0.37,0.03,0.11,0.28,0.02,0.08,0.3
0028,SCOPE INDUSTRIES BERHAD,0.105,-0.01,0.065,0.22,0.0,0.0,0.0,-4.0,17.52,-0.12,-0.12,-0.12,-0.09,-0.09,-0.09,0.12
0032,REDTONE INTERNATIONAL BERHAD,0.43,0.03,0.2,0.61,-28.02,-32.26,0.0,14.5,0.0,2.68,3.93,0.3,2.01,2.95,0.22,0.34
0034,MMAG HOLDINGS BERHAD,0.32,-0.04,0.12,0.4,0.0,0.0,0.0,2.19,0.0,-0.4,-0.4,-0.4,-0.3,-0.3,-0.3,0.21
0035,OPCOM HOLDINGS BERHAD,0.47,-0.01,0.195,0.84,-60.66,-30.76,-22.94,20.78,41.22,-112.63,-1.18,-0.54,-84.47,-0.88,-0.4,0.41
0036,KEY ALLIANCE GROUP BERHAD,0.085,-0.02,0.01,0.14,0.0,0.0,0.0,-2.25,0.0,-0.2,-0.2,-0.2,-0.15,-0.15,-0.15,0.05
0037,RGB INTERNATIONAL BHD,0.14,0.03,0.1,0.225,16.76,35.4,0.0,11.75,10.45,0.16,0.09,0.33,0.12,0.07,0.25,0.14
0038,PLASTRADE TECHNOLOGY BERHAD,0.2,-0.01,0.05,0.245,0.0,0.0,0.0,10.5,0.0,-0.1,-0.1,-0.1,-0.08,-0.08,-0.08,0.11
0040,OPENSYS (M) BERHAD,0.365,0.04,0.26,0.455,11.2,16.93,15.8,12.5,47.27,0.34,0.27,0.29,0.26,0.2,0.22,0.32
0041,MSCM HOLDINGS BERHAD,0.11,-0.02,0.04,0.25,0.0,0.0,0.0,2.79,0.0,-0.2,-0.2,-0.2,-0.15,-0.15,-0.15,0.11
0048,ANCOM LOGISTICS BERHAD,0.075,0.0,0.03,0.09,0.0,0.0,0.0,2.75,138.12,0.0,0.0,0.0,0.0,0.0,0.0,0.05
0053,OSK VENTURES INTERNATIONAL BERHAD,0.385,-0.07,0.3,0.58,-9.65,0.0,0.0,-13.42,5.19,-1.32,-0.74,-0.74,-0.99,-0.55,-0.55,0.39
0055,SERSOL BERHAD,0.125,-0.0,0.05,0.155,0.0,0.0,0.0,-16.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08
0056,GRAND-FLO BERHAD,0.25,0.01,0.165,0.3,-23.76,-16.31,0.0,7.0,19.05,0.6,0.3,0.12,0.45,0.22,0.09,0.21
0059,ECOBUILT HOLDINGS BERHAD,0.135,0.01,0.075,0.235,-23.82,-22.47,4.75,-2.5,0.0,0.46,0.38,0.07,0.34,0.29,0.05,0.13
0060,VORTEX CONSOLIDATED BERHAD,0.075,-0.01,0.02,0.27,0.0,0.0,0.0,1.25,0.0,-0.1,-0.1,-0.1,-0.08,-0.08,-0.08,0.1
0064,EFFICIENT E-SOLUTIONS BERHAD,0.125,-0.01,0.05,0.205,0.0,0.0,0.0,1.5,8.25,-0.11,-0.11,-0.11,-0.08,-0.08,-0.08,0.1
0065,EXCEL FORCE MSC BERHAD,0.53,0.01,0.23,0.745,-16.3,-8.79,-6.65,86.84,73.12,0.41,0.35,0.34,0.31,0.26,0.26,0.4
0069,VIVOCOM INTL HOLDINGS BERHAD,0.025,0.0,0.015,0.025,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
0072,AT SYSTEMATIZATION BERHAD,0.055,-0.01,0.015,0.095,0.0,0.0,0.0,-0.5,0.0,-0.1,-0.1,-0.1,-0.08,-0.08,-0.08,0.04
0074,GREEN OCEAN CORPORATION BERHAD,0.11,-0.02,0.075,0.15,81.71,0.0,0.0,-5.25,0.0,-0.02,-0.2,-0.2,-0.02,-0.15,-0.15,0.1
0075,LYC HEALTHCARE BERHAD,0.43,-0.02,0.12,0.49,0.0,0.0,0.0,-5.25,0.0,-0.2,-0.2,-0.2,-0.15,-0.15,-0.15,0.24
0078,GD EXPRESS CARRIER BERHAD,0.445,0.0,0.115,0.39,-4.46,3.46,27.62,90.25,37.02,0.0,0.0,0.0,0.0,0.0,0.0,0.21
0079,ORION IXL BERHAD,0.065,-0.0,0.03,0.155,0.0,8.8,-9.61,-13.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07
0080,STRAITS INTER LOGISTICS BERHAD,0.185,0.01,0.13,0.26,262.76,0.0,0.0,5.25,0.0,0.0,0.1,0.1,0.0,0.08,0.08,0.17
0081,MEGA SUN CITY HOLDINGS BERHAD,0.1,-0.0,0.035,0.18,-39.59,-39.44,21.77,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08
0082,GREEN PACKET BERHAD,0.935,-0.05,0.31,1.65,0.0,0.0,0.0,-3.76,0.0,-0.5,-0.5,-0.5,-0.38,-0.38,-0.38,0.75
0083,NOTION VTEC BERHAD,0.77,0.05,0.273,0.92,2.33,0.0,-16.7,20.34,13.28,0.49,0.57,1.68,0.37,0.43,1.26,0.49
0084,TECHFAST HOLDINGS BERHAD,0.435,0.02,0.19,0.575,2.62,83.02,0.0,23.12,80.36,0.29,0.04,0.36,0.22,0.03,0.27,0.32
0085,MLABS SYSTEMS BERHAD,0.035,-0.01,0.01,0.075,0.0,0.0,0.0,-5.86,0.0,-0.1,-0.1,-0.1,-0.08,-0.08,-0.08,0.03
0086,YGL CONVERGENCE BERHAD,0.13,-0.01,0.09,0.2,0.0,0.0,0.0,-21.75,0.0,-0.1,-0.1,-0.1,-0.08,-0.08,-0.08,0.13
