code,name
0129,SILVER RIDGE HOLDINGS BHD
0131,DIVERSIFIED GATEWAY SOLUTIONS BERHAD
0132,TECHNODEX BHD
0133,SANICHI TECHNOLOGY BERHAD
0136,GREENYIELD BERHAD
0138,MY E.G. SERVICES BERHAD
0140,MACPIE BERHAD
0143,KEY ASIC BERHAD
0145,TFP SOLUTIONS BERHAD
0146,JF TECHNOLOGY BERHAD
0147,INNITY CORPORATION BERHAD
0148,SUNZEN BIOTECH BERHAD
0149,FIBON BERHAD
0150,FINTEC GLOBAL BERHAD
0151,KELINGTON GROUP BERHAD
0152,DGB ASIA BERHAD
0153,OVERSEA ENTERPRISE BERHAD
0154,EA HOLDINGS BERHAD
0155,MALAYSIAN GENOMICS RESOURCE CENTRE BERHAD
0156,MANAGEPAY SYSTEMS BERHAD
0157,FOCUS POINT HOLDINGS BERHAD
0158,SCC HOLDINGS BERHAD
0159,ASIA MEDIA GROUP BERHAD
0160,HIAP HUAT HOLDINGS BERHAD
0161,SCH GROUP BERHAD
0162,WIDAD GROUP BERHAD
0163,CAREPLUS GROUP BERHAD
0165,XOX BHD
0166,INARI AMERTRON BERHAD
0167,MCLEAN TECHNOLOGIES BERHAD
0168,BOILERMECH HOLDINGS BERHAD
0169,SMTRACK BERHAD
0170,KANGER INTERNATIONAL BERHAD
0171,PETERLABS HOLDINGS BERHAD
0172,OCK GROUP BERHAD
0173,CATCHA DIGITAL BERHAD
0174,iDIMENSION CONSOLIDATED BHD
0175,HENG HUAT RESOURCES GROUP BERHAD
0176,KRONOLOGI ASIA BERHAD
0177,PASUKHAS GROUP BERHAD
0178,SEDANIA INNOVATOR BERHAD
0179,BIOALPHA HOLDINGS BERHAD
0180,KIM TECK CHEONG CONSOLIDATED BERHAD
0181,AEMULUS HOLDINGS BERHAD
0182,LKL INTERNATIONAL BERHAD
0183,SALUTICA BERHAD
0185,HSS ENGINEERS BERHAD
0186,PERAK TRANSIT BERHAD
0187,BCM ALLIANCE BERHAD
0188,HLT GLOBAL BERHAD
0189,MATANG BERHAD
0190,EVERSAFE RUBBER BERHAD
0191,CABNET HOLDINGS BERHAD
0192,INTA BINA GROUP BERHAD
0193,KEJURUTERAAN ASASTERA BERHAD
0195,BINASAT COMMUNICATIONS BERHAD
0196,QES GROUP BERHAD
0197,WEGMANS HOLDINGS BERHAD
0198,GDB HOLDINGS BERHAD
0199,TRI-MODE SYSTEM (M) BERHAD
0200,REVENUE GROUP BERHAD
0201,NOVA WELLNESS GROUP BERHAD
0202,RADIANT GLOBALTECH BERHAD
0203,SECUREMETRIC BERHAD
0205,DPI HOLDINGS BERHAD
0206,GAGASAN NADI CERGAS BERHAD
0207,MESTRON HOLDINGS BERHAD
0208,GREATECH TECHNOLOGY BERHAD
0209,I-STONE GROUP BERHAD
0210,KIM HIN JOO (MALAYSIA) BERHAD
0211,TASHIN HOLDINGS BERHAD
0212,SDS GROUP BERHAD
0213,MTAG GROUP BERHAD
0215,SOLARVEST HOLDINGS BERHAD
0216,SPRING ART HOLDINGS BERHAD
0217,POWERWELL HOLDINGS BERHAD
0218,ACO GROUP BERHAD
0219,RESERVOIR LINK ENERGY BHD
0220,OCEAN VANTAGE HOLDINGS BERHAD
0221,TCS GROUP HOLDINGS BERHAD
0222,OPTIMAX HOLDINGS BERHAD
0223,SAMAIDEN GROUP BERHAD
0225,SOUTHERN CABLE GROUP BERHAD
0226,ANEKA JARINGAN HOLDINGS BERHAD
0227,ECONFRAME BERHAD
0228,HPP HOLDINGS BERHAD
0229,MOBILIA HOLDINGS BERHAD
0230,TELADAN SETIA GROUP BERHAD
0231,FLEXIDYNAMIC HOLDINGS BERHAD
0232,VOLCANO BERHAD
0233,PEKAT GROUP BERHAD
0235,NESTCON BERHAD
0236,RAMSSOL GROUP BERHAD
0237,HAILY GROUP BERHAD
0238,CEKD BERHAD
1007,AMCORP PROPERTIES BERHAD
1015,AMMB HOLDINGS BERHAD
1023,CIMB GROUP HOLDINGS BERHAD
1058,MANULIFE HOLDINGS BERHAD
1066,RHB BANK BERHAD
1082,HONG LEONG FINANCIAL GROUP BERHAD
1147,GLOBAL ORIENTAL BERHAD
1155,MALAYAN BANKING BERHAD
