code,category,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE,ROE2,D/E,D/E2
0081,Industrial Products & Services,0.18,0.035,0.23,0.22,-6.0,-0.03,-16.67,0.0,0.0,-13.14,1.63,0.01,0.02
0083,Technology,0.915,0.273,2.34,0.8355,75.0,0.01,1.09,0.0,0.0,1.46,1.5,0.11,0.11
0084,Industrial Products & Services,0.425,0.19,0.69,0.122,32.0,0.01,2.35,0.01,2.35,10.9,13.1,0.0,0.01
0085,Technology,0.06,0.046,0.371,0.045,-2.0,-0.03,-50.0,0.0,0.0,-74.89,-47.83,0.01,0.01
0086,Technology,0.22,0.09,0.21,4.64,-7.0,-0.03,-13.64,0.0,0.0,-0.64,-12.81,0.0,0.0
0089,Industrial Products & Services,0.43,0.14,0.555,0.4265,69.0,0.01,2.33,0.0,0.0,1.48,4.81,0.08,0.08
0090,Technology,0.925,0.385,1.04,0.16,80.0,0.01,1.08,0.03,3.24,7.25,15.49,0.0,0.0
0091,Energy,0.015,0.005,0.025,-0.1007,-1.0,-0.02,-133.33,0.0,0.0,19.66,0.0,0.0,0.0
0093,Technology,1.36,0.045,2.0,0.1244,-743.0,-0.0,-0.0,0.0,0.0,-1.45,-2.34,0.17,0.17
0094,Technology,0.32,0.015,0.89,0.0906,70.0,0.0,0.0,0.0,0.0,5.08,-50.51,0.0,0.0
0095,Consumer Products & Services,0.205,0.155,0.325,0.75,-2.0,-0.12,-58.54,0.0,0.0,-16.63,-23.36,0.09,0.1
0097,Technology,17.8,6.09,18.0,1.1547,92.0,0.19,1.07,0.04,0.24,16.78,17.78,0.07,0.09
0098,Consumer Products & Services,0.49,0.225,0.845,0.1022,-3.0,-0.14,-28.57,0.0,0.0,-140.8,-86.18,0.09,0.09
0099,Industrial Products & Services,1.09,0.48,1.19,0.3,17.0,0.06,5.5,0.05,4.59,21.0,21.85,0.02,0.02
0100,Industrial Products & Services,0.85,0.065,1.035,0.15,52.0,0.02,2.35,0.0,0.59,11.0,4.42,0.01,0.01
0101,Health Care,0.725,0.365,0.785,0.45,108.0,0.01,1.38,0.0,0.23,1.49,2.78,0.15,0.0
0102,Industrial Products & Services,0.26,0.045,0.39,0.07,-45.0,-0.01,-3.85,0.0,0.0,-8.29,-36.27,0.08,0.29
0104,Technology,6.03,1.03,6.55,1.79,-43.0,-0.14,-2.32,0.0,0.0,-7.91,-0.22,0.11,0.12
0105,Industrial Products & Services,0.32,0.03,0.6,0.19,41.0,0.01,3.12,0.0,0.0,4.16,-5.65,0.15,0.0
0106,Technology,1.08,0.355,1.23,0.23,20.0,0.05,4.63,0.04,3.7,22.96,24.38,0.0,0.0
0107,Technology,0.02,0.015,0.07,0.027000000000000003,-1.0,-0.03,-150.0,0.0,0.0,-126.67,-102.73,0.38,0.73
0108,Technology,0.78,0.34299999999999997,0.995,0.48,21.0,0.04,5.13,0.02,3.21,7.67,6.21,0.03,0.06
0111,Technology,0.35,0.09,0.705,0.1486,-296.0,-0.0,-0.0,0.0,0.0,-0.81,5.95,0.0,0.0
0112,Technology,0.25,0.13,0.27,0.16699999999999998,37.0,0.01,4.0,0.0,0.2,4.01,4.01,0.08,0.09
0113,Technology,1.16,0.325,1.44,0.3,65.0,0.02,1.72,0.02,1.72,5.93,12.73,0.0,0.0
0116,Consumer Products & Services,0.64,0.165,0.905,0.0228,908.0,0.0,0.0,0.0,0.0,3.07,-4.49,0.08,0.09
0117,Technology,0.14,0.015,0.21,0.2497,-2.0,-0.07,-50.0,0.0,0.0,-28.59,-29.86,2.41,1.94
0118,Technology,0.17,0.075,0.452,0.02,-37.0,-0.0,-0.0,0.0,0.0,-23.0,-6.61,0.67,0.66
0119,Technology,0.665,0.1,0.91,0.0796,-551.0,-0.0,-0.0,0.0,0.0,-1.51,-0.98,0.0,0.0
0120,Technology,1.58,0.21,1.74,0.27,111.0,0.01,0.63,0.01,0.63,5.26,11.93,0.0,0.0
0122,Industrial Products & Services,0.295,0.125,0.38,0.0751,-21.0,-0.01,-3.39,0.0,0.0,-18.38,-18.65,0.09,0.08
0126,Technology,2.52,0.565,2.71,0.25,46.0,0.06,2.38,0.01,0.4,22.04,36.16,0.06,0.1
0127,Technology,2.4,0.5,2.67,0.38,63.0,0.04,1.67,0.02,0.83,9.95,15.89,0.16,0.18
0128,Technology,4.91,0.985,5.14,0.4,67.0,0.07,1.43,0.02,0.51,18.25,19.71,0.03,0.03
0131,Technology,0.16,0.043,0.255,5.71,-19.0,-0.01,-6.25,0.0,2.5,-0.15,-11.28,0.01,0.01
0132,Technology,0.24,0.02,0.335,0.04,-18.0,-0.01,-4.17,0.0,0.0,-32.75,-30.82,0.25,0.29
0133,Industrial Products & Services,0.035,0.03,0.125,0.19,-8.0,-0.0,-0.0,0.0,0.0,-2.16,-8.25,0.16,0.15
0136,Consumer Products & Services,0.21,0.07,0.245,0.174,18.0,0.01,4.76,0.0,0.95,6.78,0.0,0.21,0.0
0138,Technology,2.14,0.765,2.25,0.2474,30.0,0.07,3.27,0.02,1.17,28.82,42.26,0.14,0.21
0140,Consumer Products & Services,0.32,0.03,0.73,0.11,-12.0,-0.03,-9.38,0.0,0.0,-24.45,-18.19,0.01,0.01
0141,Technology,0.035,0.035,0.035,0.0001,3.0,0.01,28.57,0.0,0.0,10300.0,0.0,0.0,0.0
0143,Technology,0.145,0.02,0.135,0.0225,-9.0,-0.02,-13.79,0.0,0.0,-69.78,-68.64,0.0,0.03
0145,Technology,0.19,0.025,0.265,0.0369,-25.0,-0.01,-5.26,0.0,0.0,-20.6,-39.92,0.0,0.02
0146,Technology,1.62,0.228,2.41,0.4957,117.0,0.01,0.62,0.0,0.31,2.8,23.05,0.02,0.03
0148,Consumer Products & Services,0.195,0.03,0.255,0.16,-6.0,-0.03,-15.38,0.0,0.0,-20.31,-16.39,0.17,0.17
0149,Industrial Products & Services,0.47,0.2,0.48,0.52,27.0,0.02,4.26,0.01,1.15,3.29,4.34,0.0,0.0
0150,Financial Services,0.075,0.018000000000000002,0.16699999999999998,0.9176,0.0,0.32,426.67,0.0,0.0,34.87,98.15,0.01,0.03
0151,Industrial Products & Services,2.45,0.59,2.7,0.5018,46.0,0.05,2.04,0.02,0.82,10.72,17.99,0.2,0.17
0153,Consumer Products & Services,0.525,0.09,0.93,0.21,-28.0,-0.02,-3.81,0.0,0.0,-9.0,-10.66,0.03,0.03
0154,Technology,0.045,0.005,0.05,0.02,-5.0,-0.01,-22.22,0.0,0.0,-50.0,-29.85,0.01,0.01
0155,Health Care,1.25,0.14,1.25,0.076,-14.0,-0.09,-7.2,0.22,17.6,-120.53,0.0,0.07,0.0
0156,Technology,0.24,0.04,0.235,0.11,-16.0,-0.02,-8.33,0.0,0.0,-13.82,-6.55,0.0,0.0
0157,Consumer Products & Services,0.835,0.213,0.98,0.3303,28.0,0.03,3.59,0.01,1.59,9.11,16.57,0.76,0.92
0158,Consumer Products & Services,0.38,0.3,0.49,0.3011,25.0,0.02,5.26,0.0,0.0,5.11,12.7,0.01,0.01
0160,Industrial Products & Services,0.115,0.04,0.13,0.19,-17.0,-0.01,-8.7,0.0,0.0,-3.47,3.01,0.21,0.22
0161,Industrial Products & Services,0.095,0.035,0.135,0.1415,-7.0,-0.01,-10.53,0.0,0.0,-9.47,-9.75,0.57,0.22
0163,Health Care,2.04,0.15,5.83,0.3459,14.0,0.15,7.35,0.0,0.25,42.56,-5.79,0.04,0.19
0166,Technology,3.4,0.9,3.63,0.3844,63.0,0.05,1.47,0.04,1.29,13.97,13.41,0.0,0.0
0167,Industrial Products & Services,0.53,0.055,0.515,0.14,119.0,0.0,0.0,0.0,0.0,3.14,-9.79,0.16,0.16
0168,Industrial Products & Services,1.04,0.3,1.13,0.42,27.0,0.04,3.85,0.02,1.68,9.31,11.16,0.04,0.02
0169,Technology,0.195,0.04,0.58,0.10400000000000001,-43.0,-0.0,-0.0,0.0,0.0,-4.42,-5.72,0.0,0.0
0170,Consumer Products & Services,0.105,0.06,0.33,0.1078,-40.0,-0.0,-0.0,0.0,0.0,-2.41,5.08,0.21,0.32
0171,Consumer Products & Services,0.235,0.12,0.32,0.2429,15.0,0.02,8.51,0.01,4.26,6.26,8.49,0.02,0.02
0174,Technology,0.075,0.015,0.13,0.05,-7.0,-0.01,-13.33,0.0,0.0,-20.8,-18.72,0.22,0.22
0175,Industrial Products & Services,0.47,0.13,0.61,0.08800000000000001,-1.0,-0.44,-93.62,0.0,0.0,-502.5,-4.42,0.42,0.22
0176,Technology,0.89,0.315,0.925,0.46,-226.0,-0.0,-0.0,0.0,0.0,-0.85,9.62,0.03,0.03
0177,Industrial Products & Services,0.05,0.01,0.19,0.09,-6.0,-0.01,-20.0,0.0,0.0,-9.44,-15.85,0.22,0.26
0179,Consumer Products & Services,0.26,0.065,0.395,0.1573,-14.0,-0.02,-7.69,0.0,0.0,-11.51,5.15,0.05,0.06
0180,Consumer Products & Services,0.16,0.11,0.245,0.18,25.0,0.01,6.25,0.0,0.0,3.5,3.39,0.18,0.19
0181,Technology,0.945,0.075,1.04,0.19,-5250.0,-0.0,-0.0,0.0,0.0,-0.11,-4.11,0.13,0.13
0182,Health Care,0.76,0.085,2.02,0.14,94.0,0.01,1.32,0.0,0.0,5.79,7.37,0.07,0.08
0183,Consumer Products & Services,0.63,0.255,0.895,0.3572,-26.0,-0.02,-3.17,0.02,2.86,-6.8,-5.41,0.01,0.01
0185,Industrial Products & Services,0.51,0.25,0.84,0.45,24.0,0.02,3.92,0.0,0.0,4.67,0.55,0.22,0.25
0186,Consumer Products & Services,0.87,0.37200000000000005,0.981,0.3114,14.0,0.06,6.9,0.03,3.44,20.13,12.97,0.57,0.86
0187,Industrial Products & Services,0.25,0.06,0.455,0.13,38.0,0.01,4.0,0.0,0.4,5.0,10.56,0.08,0.09
0188,Industrial Products & Services,1.07,0.1,3.33,0.14,87.0,0.01,0.93,0.0,0.0,8.86,9.61,0.01,0.03
0190,Industrial Products & Services,0.275,0.1,0.355,0.275,15.0,0.02,7.27,0.01,3.64,6.87,2.66,0.11,0.14
0191,Technology,0.265,0.11,0.36,0.2633,-78.0,-0.0,-0.0,0.0,0.0,-1.29,5.1,0.11,0.11
0193,Industrial Products & Services,1.72,0.523,1.8,0.08,249.0,0.01,0.58,0.0,0.23,8.63,17.45,0.08,0.09
0196,Industrial Products & Services,0.59,0.08,0.665,0.13,59.0,0.01,1.69,0.0,0.0,7.69,3.74,0.04,0.05
0197,Consumer Products & Services,0.335,0.1,0.395,0.16,33.0,0.01,2.99,0.0,1.49,6.25,10.49,0.28,0.23
0199,Transportation & Logistics,0.55,0.17,0.64,0.46,18.0,0.03,5.45,0.01,1.18,6.57,3.59,0.24,0.28
0200,Technology,2.1,0.67,2.07,0.2,126.0,0.02,0.95,0.0,0.0,8.35,12.7,0.08,0.09
0201,Health Care,0.9,0.34,1.32,0.29,20.0,0.05,5.56,0.02,2.0,15.59,15.92,0.0,0.0
0202,Technology,0.37,0.18,0.44,0.1206,118.0,0.0,0.0,0.0,0.0,2.57,9.15,0.01,0.02
0203,Technology,0.175,0.035,0.21,0.0782,-70.0,-0.0,-0.0,0.0,0.0,-3.2,5.29,0.0,0.01
0205,Consumer Products & Services,0.32,0.084,0.342,0.16,18.0,0.02,6.25,0.01,2.03,11.0,8.39,0.0,0.0
0207,Industrial Products & Services,0.235,0.05,0.245,0.08,44.0,0.01,4.26,0.0,0.64,6.63,3.71,0.13,0.15
0208,Technology,6.22,0.67,6.75,0.4581,85.0,0.07,1.13,0.0,0.0,15.89,39.4,0.07,0.1
0209,Technology,0.27,0.095,0.325,0.06,61.0,0.0,0.0,0.0,0.93,7.33,13.43,0.01,0.02
0210,Consumer Products & Services,0.265,0.115,0.28,0.2015,14.0,0.02,7.55,0.02,5.66,9.48,13.12,0.2,0.24
0211,Industrial Products & Services,0.4,0.095,0.48,0.55,204.0,0.0,0.0,0.0,0.0,0.36,0.21,0.0,0.0
0212,Consumer Products & Services,0.285,0.095,0.335,0.17,23.0,0.01,3.51,0.0,0.0,7.35,6.43,0.57,0.67
0213,Industrial Products & Services,0.855,0.2,1.22,0.28,17.0,0.05,5.85,0.03,3.51,18.07,21.6,0.0,0.0
0215,Industrial Products & Services,2.73,0.51,3.31,0.22,92.0,0.03,1.1,0.01,0.37,13.55,21.3,0.07,0.08
0216,Consumer Products & Services,0.415,0.115,0.49,0.17,28.0,0.01,2.41,0.0,0.0,8.65,16.13,0.08,0.09
0217,Industrial Products & Services,0.255,0.155,0.435,0.13,-56.0,-0.0,-0.0,0.0,0.0,-3.46,25.24,0.02,0.0
0218,Industrial Products & Services,0.325,0.135,0.715,0.21,30.0,0.01,3.08,0.0,0.92,5.1,21.77,0.11,0.26
0219,Energy,0.575,0.3,0.79,0.2,29.0,0.02,3.48,0.01,1.3,9.9,25.66,0.2,0.18
0220,Energy,0.395,0.355,0.78,0.12,25.0,0.02,5.06,0.0,0.0,13.08,23.19,0.03,0.04
0222,Health Care,1.33,0.61,1.5,0.17,76.0,0.02,1.5,0.0,0.0,10.35,25.06,0.57,0.47
0223,Industrial Products & Services,1.79,0.555,2.1,0.1055,92.0,0.02,1.12,0.0,0.0,18.39,29.18,0.0,0.02
0225,Industrial Products & Services,0.555,0.25,0.6,0.33,15.0,0.04,7.21,0.0,0.0,11.12,17.65,0.07,0.11
0227,Industrial Products & Services,0.58,0.34,0.67,0.1547,49.0,0.01,1.72,0.0,0.0,7.69,34.26,0.01,0.02
0228,Industrial Products & Services,0.665,0.51,0.92,0.25,16.0,0.04,6.02,0.0,0.0,16.44,10.39,0.27,0.18
1015,Financial Services,3.23,2.8,3.93,6.42,8.0,0.41,12.69,0.13,4.12,6.37,7.39,0.3,0.34
1023,Financial Services,4.25,2.9,5.0,5.5499,23.0,0.18,4.24,0.26,6.12,3.32,8.44,0.79,0.87
1058,Financial Services,2.07,1.65,2.44,4.25,15.0,0.14,6.76,0.07,3.38,3.3,3.15,0.0,0.0
1066,Financial Services,5.42,4.17,5.98,6.81,10.0,0.55,10.15,0.31,5.72,8.11,10.1,0.26,0.29
1082,Financial Services,16.34,9.75,18.7,19.01,10.0,1.7,10.4,0.38,2.33,8.96,9.29,0.18,0.2
