code,category,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE
0001,Health Care,1.97,0.314,2.38,0.3398,68.0,0.03,1.52,0.02,0.76,8.59
0002,Health Care,2.85,1.6,4.45,1.31,16.0,0.18,6.32,0.09,3.16,13.88
0005,Technology,0.175,0.035,0.23,0.06,-11.0,-0.02,-11.43,0.0,0.0,-25.5
0006,Technology,0.805,0.18,0.795,0.46,0.0,0.0,0.0,0.0,0.0,0.0
0007,Telecommunications & Media,0.125,0.06,0.32,0.3291,0.0,0.0,0.0,0.0,0.0,0.0
0008,Technology,0.455,0.3,0.555,0.34,0.0,0.0,0.0,0.02,3.3,0.0
0010,Technology,0.385,0.06,0.455,0.0947,0.0,0.0,0.0,0.0,0.0,0.0
0011,Utilities,0.5,0.15,0.68,0.24,0.0,0.0,0.0,0.02,3.2,0.0
0012,Consumer Products & Services,0.8,0.53,1.03,0.749,0.0,0.0,0.0,0.02,2.75,0.0
0017,Telecommunications & Media,0.06,0.02,0.175,0.0289,0.0,0.0,0.0,0.0,0.0,0.0
0018,Technology,0.025,0.005,0.08,0.0543,0.0,0.0,0.0,0.0,0.0,0.0
0020,Technology,0.13,0.095,0.486,0.03,0.0,0.0,0.0,0.0,0.0,0.0
0021,Technology,1.93,0.693,2.17,0.6261,143.0,0.01,0.52,0.0,0.0,2.16
0022,Consumer Products & Services,0.335,0.025,0.655,0.03,-21.0,-0.02,-5.97,0.0,0.0,-53.0
0023,Technology,0.42,0.165,0.52,0.19,30.0,0.01,2.38,0.01,2.38,7.42
0024,Industrial Products & Services,0.31,0.1,0.4,0.3502,19.0,0.02,6.45,0.0,0.0,4.57
0025,Industrial Products & Services,0.405,0.075,0.45,0.25,-328.0,-0.0,-0.0,0.0,0.0,-0.48
0026,Technology,0.11,0.015,0.135,0.0733,-25.0,-0.0,-0.0,0.0,0.0,-5.87
0028,Industrial Products & Services,0.31,0.065,0.34,0.1544,-9.0,-0.03,-9.68,0.0,0.0,-22.54
0029,Technology,0.1,0.015,0.21,0.07,-32.0,-0.0,-0.0,0.0,0.0,-4.57
0032,Telecommunications & Media,0.42,0.2,0.53,0.197,75.0,0.01,2.38,0.02,4.29,2.84
0034,Technology,0.455,0.12,1.97,0.1429,-33.0,-0.01,-2.2,0.0,0.0,-9.8
0035,Telecommunications & Media,0.685,0.195,0.83,0.5041,-17.0,-0.04,-5.84,0.0,0.0,-7.88
0036,Technology,0.055,0.009,0.12,0.1277,5.0,0.01,18.18,0.0,0.0,9.24
0037,Consumer Products & Services,0.145,0.1,0.21,0.15,-29.0,-0.0,-0.0,0.0,2.07,-3.27
0038,Industrial Products & Services,0.81,0.05,0.82,0.1187,-37.0,-0.02,-2.47,0.0,0.0,-18.45
0039,Industrial Products & Services,0.185,0.06,0.25,0.24,47.0,0.0,0.0,0.0,0.92,1.67
0040,Technology,0.57,0.173,0.88,0.15,21.0,0.03,5.26,0.01,1.61,18.47
0041,Technology,1.61,0.04,1.88,0.2142,-114.0,-0.01,-0.62,0.0,0.0,-6.63
0043,Industrial Products & Services,0.09,0.015,0.2,0.08,-8.0,-0.01,-11.11,0.0,0.0,-13.5
0045,Technology,0.015,0.015,0.095,-0.0237,-2.0,-0.01,-66.67,0.0,0.0,35.86
0048,Transportation & Logistics,0.41,0.03,0.7,0.05,-732.0,-0.0,-0.0,0.0,0.0,-1.2
0049,Consumer Products & Services,0.525,0.29,1.52,0.4025,32.0,0.02,3.81,0.01,1.52,4.05
0050,Technology,0.29,0.06,0.355,0.1464,-48.0,-0.01,-3.45,0.0,0.69,-4.17
0051,Technology,0.255,0.045,0.3,0.084,-12.0,-0.02,-7.84,0.0,0.0,-25.36
0053,Financial Services,0.46,0.3,0.55,0.9,10.0,0.05,10.87,0.0,0.0,5.26
0054,Industrial Products & Services,0.23,0.085,0.355,0.22,29.0,0.01,4.35,0.01,4.35,3.59
0055,Industrial Products & Services,0.23,0.05,0.325,0.07,-76.0,-0.0,-0.0,0.0,0.0,-4.29
0056,Technology,0.335,0.16,0.37,0.2017,-132.0,-0.0,-0.0,0.0,0.0,-1.24
0058,Industrial Products & Services,1.3,1.15,1.48,2.35,30.0,0.04,3.08,0.04,3.08,1.83
0059,Telecommunications & Media,0.22,0.075,0.29,0.3485,-31.0,-0.01,-4.55,0.0,0.0,-2.04
0060,Technology,0.17,0.08,0.44,0.1539,-11.0,-0.02,-11.76,0.0,0.0,-10.27
0064,Industrial Products & Services,0.2,0.05,0.295,0.18,-26.0,-0.01,-5.0,0.0,0.0,-4.22
0065,Technology,0.475,0.23,0.67,0.17,34.0,0.01,2.11,0.01,2.11,8.24
0066,Technology,0.035,0.01,0.14,0.0324,-8.0,-0.0,-0.0,0.0,0.0,-12.96
0068,Technology,0.67,0.06,0.845,0.0329,-18.0,-0.04,-5.97,0.0,0.0,-111.25
0069,Technology,0.935,0.15,2.05,0.08,144.0,0.01,1.07,0.0,0.0,8.13
0070,Technology,0.12,0.01,0.305,0.05,-7.0,-0.02,-16.67,0.0,0.0,-33.0
0072,Industrial Products & Services,0.14,0.015,0.3,0.0581,-40.0,-0.0,-0.0,0.0,0.0,-6.02
0074,Consumer Products & Services,0.075,0.06,0.431,0.0535,-13.0,-0.01,-13.33,0.0,0.0,-11.03
0075,Health Care,0.295,0.12,0.68,0.05,-9.0,-0.03,-10.17,0.0,0.0,-62.8
0078,Transportation & Logistics,0.395,0.115,0.545,0.09,105.0,0.0,0.0,0.0,0.51,4.22
0079,Technology,0.08,0.03,0.17,0.1317,-15.0,-0.01,-12.5,0.0,0.0,-4.1
0080,Transportation & Logistics,0.185,0.13,0.24,0.1737,27.0,0.01,5.41,0.0,0.0,3.97
0081,Industrial Products & Services,0.18,0.035,0.23,0.22,-6.0,-0.03,-16.67,0.0,0.0,-13.14
0082,Telecommunications & Media,0.435,0.365,1.65,0.36,-6.0,-0.07,-16.09,0.0,0.0,-18.83
0083,Technology,0.915,0.273,2.34,0.8355,75.0,0.01,1.09,0.0,0.0,1.46
0084,Industrial Products & Services,0.425,0.19,0.69,0.122,32.0,0.01,2.35,0.01,2.35,10.9
0085,Technology,0.06,0.046,0.371,0.045,-2.0,-0.03,-50.0,0.0,0.0,-74.89
0086,Technology,0.22,0.09,0.21,4.64,-7.0,-0.03,-13.64,0.0,0.0,-0.64
0089,Industrial Products & Services,0.43,0.14,0.555,0.4265,69.0,0.01,2.33,0.0,0.0,1.48
0090,Technology,0.925,0.385,1.04,0.16,80.0,0.01,1.08,0.03,3.24,7.25
0091,Energy,0.015,0.005,0.025,-0.1007,-1.0,-0.02,-133.33,0.0,0.0,19.66
0092,Telecommunications & Media,0.05,0.04,0.205,0.0751,-2.0,-0.02,-40.0,0.0,0.0,-30.36
0093,Technology,1.36,0.045,2.0,0.1244,-743.0,-0.0,-0.0,0.0,0.0,-1.45
0094,Technology,0.32,0.015,0.89,0.0906,70.0,0.0,0.0,0.0,0.0,5.08
0095,Consumer Products & Services,0.205,0.155,0.325,0.75,-2.0,-0.12,-58.54,0.0,0.0,-16.63
0096,Telecommunications & Media,0.04,0.005,0.08,0.0488,-2.0,-0.02,-50.0,0.0,0.0,-48.16
0097,Technology,17.8,6.09,18.0,1.1547,92.0,0.19,1.07,0.04,0.24,16.78
0098,Consumer Products & Services,0.49,0.225,0.845,0.1022,-3.0,-0.14,-28.57,0.0,0.0,-140.8
0099,Industrial Products & Services,1.09,0.48,1.19,0.3,17.0,0.06,5.5,0.05,4.59,21.0
0100,Industrial Products & Services,0.85,0.065,1.035,0.15,52.0,0.02,2.35,0.0,0.59,11.0
0101,Health Care,0.725,0.365,0.785,0.45,108.0,0.01,1.38,0.0,0.23,1.49
0102,Industrial Products & Services,0.26,0.045,0.39,0.07,-45.0,-0.01,-3.85,0.0,0.0,-8.29
0103,Telecommunications & Media,0.055,0.01,0.09,0.06,-16.0,-0.0,-0.0,0.0,0.0,-5.83
0104,Technology,6.03,1.03,6.55,1.79,-43.0,-0.14,-2.32,0.0,0.0,-7.91
0105,Industrial Products & Services,0.32,0.03,0.6,0.19,41.0,0.01,3.12,0.0,0.0,4.16
0106,Technology,1.08,0.355,1.23,0.23,20.0,0.05,4.63,0.04,3.7,22.96
0107,Technology,0.02,0.015,0.07,0.027,-1.0,-0.03,-150.0,0.0,0.0,-126.67
0108,Technology,0.78,0.343,0.995,0.48,21.0,0.04,5.13,0.02,3.21,7.67
