code,name,Price,EPS,52w low,52w high,EPS GR 3Y avg,EPS GR 5Y avg,EPS GR 10Y avg,P/E mid,DPayout avg,intrinsic 3Y,intrinsic 5Y,intrinsic 10Y,Price A3,Price A5,Price A10,Price B
0026,NOVA MSC BERHAD,0.05,-0.0,0.015,0.115,115.05,45.38,16.01,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
0026,NOVA MSC BERHAD,0.05,-0.0,0.015,0.115,115.05,45.38,16.01,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
0028,SCOPE INDUSTRIES BERHAD,0.11,-0.01,0.065,0.22,0.0,0.0,0.0,-4.0,17.52,-0.12,-0.12,-0.12,-0.09,-0.09,-0.09,0.12
0029,DIGISTAR CORPORATION BERHAD,0.055,-0.0,0.015,0.07,0.0,0.0,0.0,2.0,4.23,0.0,0.0,0.0,0.0,0.0,0.0,0.03
0029,DIGISTAR CORPORATION BERHAD,0.055,-0.0,0.015,0.07,0.0,0.0,0.0,2.0,4.23,0.0,0.0,0.0,0.0,0.0,0.0,0.03
0029,DIGISTAR CORPORATION BERHAD,0.055,-0.0,0.015,0.07,0.0,0.0,0.0,2.0,4.23,0.0,0.0,0.0,0.0,0.0,0.0,0.03
0029,DIGISTAR CORPORATION BERHAD,0.055,-0.0,0.015,0.07,0.0,0.0,0.0,2.0,4.23,0.0,0.0,0.0,0.0,0.0,0.0,0.03
0032,REDTONE INTERNATIONAL BERHAD,0.41,0.03,0.2,0.61,-28.02,-32.26,0.0,14.5,0.0,2.68,3.93,0.3,2.01,2.95,0.22,0.34
0034,MMAG HOLDINGS BERHAD,0.31,-0.03,0.12,0.4,0.0,0.0,0.0,2.19,0.0,-0.3,-0.3,-0.3,-0.22,-0.22,-0.22,0.21
0035,OPCOM HOLDINGS BERHAD,0.49,-0.01,0.195,0.84,-60.66,-30.76,-22.94,20.78,41.22,-112.63,-1.18,-0.54,-84.47,-0.88,-0.4,0.41
