code,name,category,Annual,nYear,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE,ROE2,D/E,D/E2,NPM avg,P/E min,P/E max,P/E mid,P/E avg,EPS GR min,EY avg,EY std,EY 3Y avg,EY 5Y avg,EY 10Y avg,DY avg,DY 3Y avg,DY 5Y avg,DY 10Y avg,DPayout avg,Revenue GR 3Y avg,Revenue GR 5Y avg,Revenue GR 10Y avg,NP GR 3Y avg,NP GR 5Y avg,NP GR 10Y avg,EPS GR 3Y avg,EPS GR 5Y avg,EPS GR 10Y avg,check NP,check EPS GR,check OCF,neg Revenue GR,neg NP,neg EPS GR,neg OCF,Revenue start,Revenue end,EPS start,EPS end,OCF start,OCF end
0001,SUPERCOMNET TECHNOLOGIES BERHAD,Health Care,2019-12-01,9,1.94,0.314,2.38,0.3398,66.0,0.03,1.55,0.02,0.77,8.59,9.65,0.0,0.0,8.07,6.0,40.0,23.0,19.67,45.86,5.53,4.88,3.4,5.19,0.0,0.95,0.46,0.28,0.0,16.41,59.31,29.68,18.92,90.31,0.0,0.0,45.86,56.56,0.0,1,0,0,4+7,+,4+7+8+9,3+4+5+6+8,35,123,0.02,0.03,4,24
0002,KOTRA INDUSTRIES BERHAD,Health Care,2020-06-01,10,2.82,1.6,4.45,1.31,16.0,0.18,6.38,0.09,3.19,13.88,16.33,0.08,0.1,6.7,-24.0,113.0,44.5,34.76,7.87,3.78,3.53,7.33,6.42,3.78,0.93,2.79,1.86,0.93,15.4,1.06,3.42,5.31,94.57,9.69,0.0,31.86,92.71,7.87,0,0,1,1+2+6,10,6+9+10,+,113,172,-0.02,0.2,15,50
0005,UCREST BERHAD,Technology,2020-05-01,10,0.145,0.035,0.23,0.06,-9.0,-0.02,-13.79,0.0,0.0,-25.5,-72.17,0.0,0.01,-117.05,-7.0,10.25,1.62,7.75,0.0,-9.84,18.02,1.27,-3.94,-9.84,0.0,0.0,0.0,0.0,0.0,29.04,20.91,11.09,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+2+5+6+7+9+10,1+4+5+6+7+8+9+10,1+2+3+4+5+6+7+8+9+10,1+4+5+6+8+10,4,12,0.0,-0.04,0,-1
0006,PINEAPPLE RESOURCES BERHAD,Technology,2018-12-01,5,0.72,0.18,0.795,0.46,-17.0,-0.04,-5.56,0.0,0.0,-9.11,0.09,0.12,0.0,0.5,-38.5,31.0,-3.75,30.0,0.0,0.17,2.81,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,7.08,1.91,5.81,-49.88,-26.19,0.0,0.0,-49.87,-26.18,0,0,0,4+5,1,1+2+3+4+5,2+3+4,49,58,0.01,0.0,4,3
0008,WILLOWGLEN MSC BERHAD,Technology,2019-12-01,10,0.425,0.3,0.585,0.34,19.0,0.02,4.71,0.02,3.53,6.76,9.33,0.02,0.02,14.06,11.33,28.25,19.79,18.95,1.84,5.59,1.38,4.42,4.84,5.59,1.91,1.59,1.5,1.91,28.89,1.43,4.65,8.31,-3.11,1.66,0.0,-6.59,-3.06,1.84,1,0,1,2+9+10,+,2+6+9+10,+,54,138,0.02,0.03,15,20
0011,BRITE-TECH BERHAD,Utilities,2019-12-01,10,0.49,0.15,0.68,0.24,15.0,0.03,6.12,0.02,3.27,14.04,9.77,0.42,0.34,16.46,11.0,17.0,14.0,13.61,2.61,6.78,2.5,8.17,7.71,6.78,4.16,8.17,6.3,4.16,68.63,-3.36,3.2,4.77,2.58,18.64,0.0,6.14,2.61,18.64,1,0,1,3+6+10,+,3+5+8+10,+,16,28,0.0,0.02,3,7
0012,THREE-A RESOURCES BERHAD,Consumer Products & Services,2019-12-01,10,0.815,0.53,1.03,0.749,13.0,0.06,7.36,0.02,2.7,8.52,8.69,0.03,0.04,6.74,11.11,42.0,26.56,25.74,2.78,4.91,2.38,8.08,6.83,4.91,1.3,2.19,1.65,1.3,24.27,3.99,6.97,9.34,10.06,5.01,0.0,-8.84,10.27,2.78,1,0,0,1+7+10,+,1+2+7+9+10,2+10,249,436,0.04,0.06,-13,62
0018,LAMBO GROUP BERHAD,Technology,2018-12-01,10,0.025,0.005,0.08,0.0543,-5.0,-0.01,-40.0,0.0,0.0,-9.58,15.59,0.0,0.0,-97.72,-18.0,6.0,-6.0,4.25,0.0,5.11,12.84,18.89,11.33,5.11,0.0,0.0,0.0,0.0,0.0,210.22,130.32,23.78,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,7+8+9+10,3+4+5+6+7+8+9+10,2+3+4+5+6+7+8+9+10,3+4+5+6+7+8+9+10,9,92,0.0,0.01,-2,20
0020,NETX HOLDINGS BERHAD,Technology,2018-06-01,9,0.12,0.095,0.486,0.03,-6.0,-0.02,-16.67,0.0,0.0,-63.0,-14.98,0.02,0.02,-133.69,-1.45,5.0,1.78,3.0,0.0,-1016.42,919.02,-545.21,-1227.13,0.0,0.0,0.0,0.0,0.0,0.0,69.92,-10.52,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+5+6+7+8+9,1+3+4+5+6+7+8,1+2+3+4+5+6+7+8+9,1+2+3+4+5+9,10,18,-1.19,-0.1,-1,-4
0021,GHL SYSTEMS BERHAD,Technology,2019-12-01,10,1.77,0.693,2.17,0.6261,131.0,0.01,0.56,0.0,0.0,2.16,6.77,0.04,0.06,-0.18,-10.5,96.5,43.0,63.94,11.56,-2.25,9.13,1.6,1.61,-2.25,0.0,0.0,0.0,0.0,0.0,12.24,16.09,19.79,34.49,0.0,0.0,11.56,26.96,0.0,0,0,0,8+9+10,9+10,6+8+9+10,6+7,64,348,-0.04,0.03,4,92
