code,category,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE,ROE2,D/E,D/E2
0001,Health Care,1.94,0.314,2.38,0.3398,66.0,0.03,1.55,0.02,0.77,8.59,9.65,0.0,0.0
0002,Health Care,2.82,1.6,4.45,1.31,16.0,0.18,6.38,0.09,3.19,13.88,16.33,0.08,0.1
0005,Technology,0.145,0.035,0.23,0.06,-9.0,-0.02,-13.79,0.0,0.0,-25.5,-72.17,0.0,0.01
0006,Technology,0.72,0.18,0.795,0.46,-17.0,-0.04,-5.56,0.0,0.0,-9.11,0.09,0.12,0.0
0008,Technology,0.425,0.3,0.585,0.34,19.0,0.02,4.71,0.02,3.53,6.76,9.33,0.02,0.02
0010,Technology,0.365,0.06,0.455,0.0947,-102.0,-0.0,-0.0,0.0,0.0,-3.8,4.91,0.04,0.07
0011,Utilities,0.49,0.15,0.68,0.24,15.0,0.03,6.12,0.02,3.27,14.04,9.77,0.42,0.34
0012,Consumer Products & Services,0.815,0.53,1.03,0.749,13.0,0.06,7.36,0.02,2.7,8.52,8.69,0.03,0.04
0018,Technology,0.025,0.005,0.08,0.0543,-5.0,-0.01,-40.0,0.0,0.0,-9.58,15.59,0.0,0.0
0020,Technology,0.12,0.095,0.486,0.03,-6.0,-0.02,-16.67,0.0,0.0,-63.0,-14.98,0.02,0.02
0021,Technology,1.77,0.693,2.17,0.6261,131.0,0.01,0.56,0.0,0.0,2.16,6.77,0.04,0.06
0022,Consumer Products & Services,0.32,0.025,0.655,0.03,-20.0,-0.02,-6.25,0.0,0.0,-53.0,-8.63,0.2,0.16
0023,Technology,0.385,0.165,0.52,0.19,27.0,0.01,2.6,0.01,2.6,7.42,4.98,0.0,0.0
0024,Industrial Products & Services,0.25,0.1,0.4,0.3502,16.0,0.02,8.0,0.0,0.0,4.57,-7.78,0.12,0.14
0025,Industrial Products & Services,0.295,0.075,0.31,0.25,-239.0,-0.0,-0.0,0.0,0.0,-0.48,1.05,0.08,0.04
0026,Technology,0.085,0.015,0.135,0.0733,-20.0,-0.0,-0.0,0.0,0.0,-5.87,-6.27,0.01,0.02
0028,Industrial Products & Services,0.29,0.065,0.34,0.1544,-8.0,-0.03,-10.34,0.0,0.0,-22.54,-27.68,0.03,0.04
0029,Technology,0.075,0.015,0.21,0.07,-24.0,-0.0,-0.0,0.0,0.0,-4.57,-4.54,3.58,3.58
0034,Technology,0.4,0.12,1.97,0.1429,-28.0,-0.01,-2.5,0.0,0.0,-9.94,-29.9,0.13,0.19
0036,Technology,0.04,0.009,0.12,0.1277,3.0,0.01,25.0,0.0,0.0,9.24,-24.04,0.11,0.24
0037,Consumer Products & Services,0.13,0.1,0.215,0.15,-26.0,-0.0,-0.0,0.0,2.31,-3.27,16.0,0.09,0.09
0038,Industrial Products & Services,0.72,0.05,0.725,0.1187,-33.0,-0.02,-2.78,0.0,0.0,-18.45,-7.47,0.01,0.01
0039,Industrial Products & Services,0.165,0.06,0.25,0.24,41.0,0.0,0.0,0.0,1.03,1.67,6.16,2.61,3.11
0040,Technology,0.55,0.173,0.88,0.15,20.0,0.03,5.45,0.01,1.67,18.47,18.29,0.17,0.21
0041,Technology,1.35,0.04,1.88,0.2142,-95.0,-0.01,-0.74,0.0,0.0,-6.63,-18.99,0.01,0.01
0043,Industrial Products & Services,0.08,0.015,0.2,0.08,-7.0,-0.01,-12.5,0.0,0.0,-13.5,-19.72,0.0,0.0
0048,Transportation & Logistics,0.38,0.03,0.7,0.05,-679.0,-0.0,-0.0,0.0,0.0,-1.2,-1.55,0.23,0.25
