code,category,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE
5250,Consumer Products & Services,1.3,1.21,1.56,0.0893,30.0,0.04,0.03,0.02,1.77,49.05
7214,Industrial Products & Services,0.415,0.27,0.565,0.8,6.0,0.07,0.17,0.02,6.02,8.26
7086,Industrial Products & Services,0.075,0.04,0.095,0.17,-29.0,-0.0,-0.0,0.0,0.0,-1.53
5198,Industrial Products & Services,0.38,0.255,0.71,0.89,37.0,0.01,0.03,0.0,0.0,1.16
7131,Property,0.225,0.165,0.335,0.34,8.0,0.03,0.13,0.0,0.0,8.24
7120,Consumer Products & Services,0.395,0.22,0.42,0.52,-48.0,-0.01,-0.03,0.0,0.0,-1.58
1481,Consumer Products & Services,0.115,0.07,0.24,0.51,1.0,0.08,0.7,0.0,2.17,15.94
5281,Construction,0.385,0.21,0.455,0.48,14.0,0.03,0.08,0.01,1.56,5.58
9148,Industrial Products & Services,1.9,1.68,2.4,1.53,-272.0,-0.01,-0.01,0.06,3.16,-0.46
7191,Health Care,1.08,0.28,1.43,0.44,7.0,0.16,0.15,0.07,6.48,36.27
7146,Industrial Products & Services,0.115,0.04,0.13,0.2,-45.0,-0.0,-0.0,0.0,0.0,-1.3
6599,Consumer Products & Services,1.08,0.91,1.83,1.19,18.0,0.06,0.06,0.04,3.7,5.03
5139,Financial Services,9.05,7.7,17.0,6.14,8.0,1.15,0.13,0.36,4.01,18.75
5185,Financial Services,1.55,1.25,2.18,4.7,6.0,0.25,0.16,0.0,0.0,5.23
7145,Construction,0.165,0.05,0.2,0.51,9.0,0.02,0.12,0.0,0.0,3.63
7315,Consumer Products & Services,0.08,0.04,0.165,0.167,-3.0,-0.03,-0.38,0.0,0.0,-16.11
7078,Construction,0.22,0.115,0.465,0.7139,-4.0,-0.05,-0.23,0.0,0.0,-7.19
5099,Consumer Products & Services,0.75,0.5,2.15,1.33,-8.0,-0.1,-0.13,0.0,0.0,-7.24
5238,Consumer Products & Services,0.1,0.04,0.25,0.05,-1.0,-0.12,-1.2,0.0,0.0,-236.0
2658,Consumer Products & Services,14.12,9.96,17.88,7.91,15.0,0.92,0.07,0.47,3.33,11.61
7609,Industrial Products & Services,0.365,0.2,0.53,1.19,15.0,0.03,0.08,0.0,0.0,2.11
5116,Real Estate Investment Trusts,1.36,1.19,1.65,1.3024,13.0,0.1,0.07,0.08,5.7,7.95
5269,Real Estate Investment Trusts,0.75,0.595,0.94,1.076,12.0,0.06,0.08,0.05,7.13,5.79
5115,Energy,0.085,0.03,0.2,0.37,-1.0,-0.06,-0.71,0.0,0.0,-16.49
2674,Industrial Products & Services,0.425,0.18,0.6,0.91,-324.0,-0.0,-0.0,0.0,0.0,-0.14
2488,Financial Services,2.09,1.48,3.9,3.82,7.0,0.28,0.13,0.17,7.99,7.41
1163,Financial Services,13.9,11.4,16.87,20.77,5.0,2.78,0.2,0.65,4.68,13.4
2682,Industrial Products & Services,0.19,0.16,0.33,0.9812,-10.0,-0.02,-0.11,0.0,0.0,-1.94
4952,Real Estate Investment Trusts,0.71,0.58,0.83,1.2674,12.0,0.06,0.08,0.06,8.1,4.57
5127,Real Estate Investment Trusts,0.665,0.5,0.86,1.3378,11.0,0.06,0.09,0.06,9.32,4.63
1007,Property,0.335,0.26,0.58,1.45,11.0,0.03,0.09,0.03,8.96,2.01
5293,Construction,1.74,1.01,2.05,1.45,11.0,0.15,0.09,0.0,0.0,10.54
5120,Real Estate Investment Trusts,0.45,0.32,0.515,1.2249,13.0,0.03,0.07,0.03,7.44,2.81
1015,Financial Services,3.0,2.82,4.55,6.08,6.0,0.52,0.17,0.2,6.67,8.47
7031,Telecommunications & Media,0.5,0.47,0.68,0.9411,5.0,0.1,0.2,0.0,0.0,10.31
6351,Consumer Products & Services,4.9,4.5,6.16,1.35,16.0,0.31,0.06,0.28,5.61,23.05
7083,Industrial Products & Services,1.04,0.815,1.16,2.48,24.0,0.04,0.04,0.02,1.92,1.75
4758,Industrial Products & Services,0.74,0.38,0.805,1.38,14.0,0.05,0.07,0.0,0.0,3.74
6556,Industrial Products & Services,0.71,0.415,1.65,2.23,-4.0,-0.16,-0.23,0.12,16.9,-7.2
9342,Industrial Products & Services,0.03,0.01,0.045,0.161,-8.0,-0.0,-0.0,0.0,0.0,-2.24
5568,Industrial Products & Services,0.39,0.355,0.6,1.39,-15.0,-0.03,-0.08,0.0,0.0,-1.89
5088,Financial Services,0.795,0.615,1.02,1.5,26.0,0.03,0.04,0.02,2.52,2.01
7090,Health Care,2.75,1.77,2.97,0.93,23.0,0.12,0.04,0.02,0.62,12.67
5194,Consumer Products & Services,0.005,0.005,0.02,0.0,0.0,0.04,8.0,0.0,0.0,0.0
5015,Industrial Products & Services,1.69,1.5,3.0,6.51,13.0,0.14,0.08,0.12,7.1,2.08
6432,Consumer Products & Services,3.28,2.45,4.09,2.99,18.0,0.18,0.05,0.2,6.1,5.93
7181,Industrial Products & Services,0.36,0.095,0.51,0.4,3.0,0.12,0.33,0.0,0.0,30.08
7007,Property,0.16,0.115,0.33,0.27,-6.0,-0.03,-0.19,0.0,0.0,-10.56
7722,Consumer Products & Services,0.445,0.35,0.58,0.86,9.0,0.05,0.11,0.0,0.0,5.55
7129,Consumer Products & Services,1.84,1.3,2.51,3.152,9.0,0.21,0.11,0.14,7.61,6.77
0159,Telecommunications & Media,0.06,0.03,0.09,-1.69,-5.0,-0.01,-0.17,0.0,0.0,0.78
4057,Property,0.095,0.055,0.14,1.029,2.0,0.06,0.63,0.0,0.0,5.79
7162,Industrial Products & Services,0.54,0.37,0.76,1.44,6.0,0.09,0.17,0.01,1.85,6.32
7054,Plantation,0.12,0.05,0.235,0.2834,-8.0,-0.01,-0.08,0.0,0.0,-5.12
6399,Telecommunications & Media,0.985,0.705,1.61,0.1641,8.0,0.13,0.13,0.08,7.61,76.6
8176,Industrial Products & Services,0.99,0.665,1.85,0.55,12.0,0.08,0.08,0.03,3.32,14.64
7048,Consumer Products & Services,3.73,3.68,4.48,2.03,38.0,0.1,0.03,0.2,5.36,4.82
