code,category,current_price,52w low,52w high,market cap,NTA
5250,Consumer Products & Services,1.3,1.21,1.56,"1,603.4M",0.0893
7214,Industrial Products & Services,0.35,0.28,0.565,59.5M,0.81
7086,Industrial Products & Services,0.06,0.04,0.095,15.8M,0.17
5198,Industrial Products & Services,0.34,0.3,0.71,61.2M,0.89
7131,Property,0.185,0.176,0.335,46.0M,0.34
7120,Consumer Products & Services,0.295,0.22,0.44,57.4M,0.52
1481,Consumer Products & Services,0.09,0.07,0.24,83.6M,0.518
5281,Construction,0.275,0.21,0.485,111.1M,0.48
9148,Industrial Products & Services,1.9,1.74,2.4,39.0M,1.53
7191,Health Care,0.315,0.295,0.97,48.1M,0.23
7146,Industrial Products & Services,0.055,0.04,0.13,18.1M,0.2
6599,Consumer Products & Services,1.0,0.91,1.83,"1,404.0M",1.21
5139,Financial Services,8.58,7.7,17.36,"2,176.1M",6.04
5185,Financial Services,1.37,1.25,2.25,"2,720.8M",4.7
7145,Construction,0.065,0.05,0.17,32.6M,0.51
7315,Consumer Products & Services,0.05,0.04,0.185,8.8M,0.167
7078,Construction,0.145,0.115,0.575,86.7M,0.7139
5099,Consumer Products & Services,0.68,0.5,3.05,"2,272.5M",1.33
5238,Consumer Products & Services,0.05,0.04,0.255,207.4M,0.05
2658,Consumer Products & Services,11.4,9.96,18.14,693.1M,7.91
7609,Industrial Products & Services,0.265,0.2,0.575,80.7M,1.18
5116,Real Estate Investment Trusts,1.34,1.19,1.65,986.2M,1.3024
5269,Real Estate Investment Trusts,0.6,0.595,0.94,348.0M,1.076
5115,Energy,0.045,0.03,0.2,50.9M,0.37
2674,Industrial Products & Services,0.34,0.18,0.575,45.7M,0.91
2488,Financial Services,1.68,1.48,4.2,"2,600.8M",3.82
1163,Financial Services,12.02,11.5,17.02,"2,126.2M",20.77
2682,Industrial Products & Services,0.2,0.16,0.33,28.9M,0.9812
4952,Real Estate Investment Trusts,0.64,0.58,0.83,140.8M,1.2824
5127,Real Estate Investment Trusts,0.54,0.5,0.865,309.5M,1.3378
1007,Property,0.28,0.26,0.58,205.3M,1.45
5293,Construction,1.14,1.01,2.05,486.9M,1.45
5120,Real Estate Investment Trusts,0.355,0.32,0.55,243.7M,1.219
1015,Financial Services,3.03,2.82,4.59,"9,133.0M",6.08
7031,Telecommunications & Media,0.54,0.47,0.68,29.3M,0.9262
5959,Property,1.2,0.99,1.28,438.1M,1.97
6351,Consumer Products & Services,4.6,4.5,6.25,756.2M,1.35
7083,Industrial Products & Services,1.0,0.92,1.18,120.0M,2.49
4758,Industrial Products & Services,0.49,0.38,0.77,118.0M,1.38
6556,Industrial Products & Services,0.455,0.415,1.88,254.8M,2.23
9342,Industrial Products & Services,0.015,0.01,0.05,13.2M,0.161
5568,Industrial Products & Services,0.45,0.355,0.665,50.8M,1.39
5088,Financial Services,0.75,0.66,1.06,160.2M,1.49
7090,Health Care,1.87,1.77,9.4,883.3M,0.9
5194,Consumer Products & Services,0.005,0.005,0.025,6.7M,-0.01
5015,Industrial Products & Services,1.55,1.5,3.05,312.5M,6.51
6432,Consumer Products & Services,2.7,2.5,4.09,216.0M,3.14
7181,Industrial Products & Services,0.125,0.095,0.605,36.7M,0.38
7007,Property,0.175,0.115,0.4,11.1M,0.27
7722,Consumer Products & Services,0.44,0.42,0.58,102.4M,0.86
7129,Consumer Products & Services,1.35,1.3,2.6,262.9M,3.152
0159,Telecommunications & Media,0.04,0.04,0.17,9.6M,-1.69
4057,Property,0.065,0.055,0.17,67.4M,1.029
7162,Industrial Products & Services,0.435,0.37,0.76,119.2M,1.44
7054,Plantation,0.075,0.05,0.235,49.5M,0.2834
6399,Telecommunications & Media,0.73,0.705,1.61,"3,806.6M",0.1595
8176,Industrial Products & Services,0.735,0.67,1.85,885.2M,0.55
7048,Consumer Products & Services,4.0,3.8,4.51,"1,014.6M",2.03
5130,Real Estate Investment Trusts,0.88,0.805,1.27,180.1M,1.2786
7099,Industrial Products & Services,0.445,0.375,0.63,94.9M,1.64
8885,Consumer Products & Services,0.04,0.02,0.21,37.8M,0.2338
7579,Industrial Products & Services,0.245,0.195,0.795,73.2M,0.688
6888,Telecommunications & Media,3.2,3.01,5.28,"29,325.3M",1.77
5106,Real Estate Investment Trusts,1.79,1.66,2.01,"2,581.8M",1.4484
2305,Property,5.2,3.8,6.21,389.2M,6.99
5021,Industrial Products & Services,0.14,0.115,0.35,53.3M,0.69
7005,Industrial Products & Services,0.185,0.175,0.47,9.8M,0.56
7251,Energy,0.015,0.01,0.11,12.5M,-22.1
1899,Plantation,11.6,11.0,17.68,"5,146.5M",14.32
