code,name,Price,EPS,52w low,52w high,EPS GR 3Y avg,EPS GR 5Y avg,EPS GR 10Y avg,P/E mid,DPayout avg,intrinsic 3Y,intrinsic 5Y,intrinsic 10Y,Price A3,Price A5,Price A10,Price B
0001,SUPERCOMNET TECHNOLOGIES BERHAD,1.86,0.03,0.688,2.38,45.86,56.56,0.0,37.58,16.41,0.07,0.06,0.35,0.05,0.04,0.26,1.25
0002,KOTRA INDUSTRIES BERHAD,2.51,0.14,1.9,4.45,31.86,92.71,7.87,17.06,15.4,0.48,0.17,1.09,0.36,0.13,0.82,2.74
0005,UCREST BERHAD,0.35,-0.01,0.075,0.32,0.0,0.0,0.0,3.0,0.0,-0.1,-0.1,-0.1,-0.08,-0.08,-0.08,0.16
0006,PINEAPPLE RESOURCES BERHAD,0.65,-0.03,0.23,1.18,0.0,-49.87,-26.18,-3.75,0.0,-0.3,-59.87,-2.08,-0.22,-44.9,-1.56,0.54
0008,WILLOWGLEN MSC BERHAD,0.505,0.04,0.41,0.57,-6.59,-3.06,1.84,20.43,28.89,0.73,0.61,0.46,0.55,0.46,0.34,0.46
0010,IRIS CORPORATION BERHAD,0.33,-0.0,0.095,0.455,0.0,0.0,-8.21,10.25,5.51,0.0,0.0,0.0,0.0,0.0,0.0,0.21
0011,BRITE-TECH BERHAD,0.525,0.05,0.21,0.68,6.14,2.61,18.64,18.25,68.63,0.62,0.73,0.37,0.46,0.55,0.28,0.37
0012,THREE-A RESOURCES BERHAD,0.78,0.06,0.69,1.03,-8.84,10.27,2.78,20.29,24.27,1.29,0.46,0.65,0.97,0.34,0.49,0.8
0018,LAMBO GROUP BERHAD,0.02,-0.0,0.01,0.08,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
0020,NETX HOLDINGS BERHAD,0.11,-0.02,0.095,0.486,0.0,0.0,0.0,0.28,0.0,-0.2,-0.2,-0.2,-0.15,-0.15,-0.15,0.22
0021,GHL SYSTEMS BERHAD,1.8,0.01,1.127,2.17,11.56,26.96,0.0,76.66,0.0,0.06,0.03,0.1,0.04,0.02,0.08,1.47
0022,PARLO BERHAD,0.315,-0.02,0.05,0.655,0.0,0.0,0.0,1.84,0.0,-0.2,-0.2,-0.2,-0.15,-0.15,-0.15,0.25
0023,IFCA MSC BERHAD,0.38,0.01,0.27,0.52,121.65,-23.62,0.0,23.06,16.02,0.01,0.44,0.12,0.01,0.33,0.09,0.35
0024,JAG BERHAD,0.43,0.02,0.14,0.45,0.0,0.0,0.0,0.5,10.21,0.22,0.22,0.22,0.16,0.16,0.16,0.24
