code,category,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE,ROE2,D/E,D/E2
0001,Health Care,1.86,0.688,2.38,0.3557,56.0,0.03,1.61,0.02,0.81,9.28,9.65,0.0,0.0
0002,Health Care,2.51,1.9,4.45,1.29,17.0,0.14,5.58,0.09,3.59,11.12,16.33,0.06,0.1
0005,Technology,0.35,0.075,0.32,0.06,-25.0,-0.01,-2.86,0.0,0.0,-23.67,-72.17,0.0,0.01
0006,Technology,0.65,0.23,1.18,0.46,-19.0,-0.03,-4.62,0.0,0.0,-7.39,0.09,0.21,0.0
0008,Technology,0.505,0.41,0.57,0.36,14.0,0.04,7.92,0.02,2.97,10.0,9.33,0.02,0.02
0010,Technology,0.33,0.095,0.455,0.0984,-86.0,-0.0,-0.0,0.0,0.0,-3.86,4.91,0.03,0.07
0011,Utilities,0.525,0.21,0.68,0.28,11.0,0.05,9.52,0.02,3.05,17.43,9.77,0.42,0.34
0012,Consumer Products & Services,0.78,0.69,1.03,0.7449,13.0,0.06,7.69,0.02,2.82,8.23,8.69,0.03,0.04
0018,Technology,0.02,0.01,0.08,0.0543,-4.0,-0.0,-0.0,0.0,0.0,-8.84,15.59,0.0,0.0
0020,Technology,0.11,0.095,0.486,0.03,-6.0,-0.02,-18.18,0.0,0.0,-63.0,-12.94,0.01,0.01
0021,Technology,1.8,1.127,2.17,0.4218,152.0,0.01,0.56,0.0,0.0,2.8,6.77,0.04,0.06
0022,Consumer Products & Services,0.315,0.05,0.655,0.02,-14.0,-0.02,-6.35,0.0,0.0,-114.5,-8.63,0.2,0.16
0023,Technology,0.38,0.27,0.52,0.2,28.0,0.01,2.63,0.01,2.63,6.85,4.98,0.0,0.0
0024,Industrial Products & Services,0.43,0.14,0.45,0.3847,26.0,0.02,4.65,0.0,0.0,4.37,-7.78,0.12,0.14
0025,Industrial Products & Services,0.405,0.1,0.47,0.25,164.0,0.0,0.0,0.0,0.0,1.0,1.05,0.07,0.04
0026,Technology,0.1,0.04,0.135,0.0623,-9.0,-0.01,-10.0,0.0,0.0,-17.82,-6.27,0.01,0.02
0028,Industrial Products & Services,0.265,0.095,0.365,0.1584,-9.0,-0.03,-11.32,0.0,0.0,-19.63,-27.68,0.02,0.04
0029,Technology,0.07,0.03,0.21,0.07,-8.0,-0.01,-14.29,0.0,0.0,-13.14,-4.54,3.87,3.58
0034,Technology,0.3,0.195,1.97,0.1518,-19.0,-0.02,-6.67,0.0,0.0,-10.41,-29.9,0.12,0.19
0036,Technology,0.035,0.021,0.12,0.0835,4.0,0.01,28.57,0.0,0.0,11.14,-24.04,0.08,0.24
0037,Consumer Products & Services,0.13,0.11,0.185,0.15,-7.0,-0.02,-15.38,0.0,2.31,-12.4,16.0,0.09,0.09
0038,Industrial Products & Services,0.5,0.12,1.08,0.0998,-12.0,-0.04,-8.0,0.0,0.0,-40.98,-7.47,0.01,0.01
0039,Industrial Products & Services,0.32,0.13,0.5,0.23,20.0,0.02,6.25,0.0,0.53,7.0,6.16,2.61,3.11
0040,Technology,0.525,0.217,0.88,0.24,21.0,0.02,3.81,0.01,1.75,10.33,18.29,0.17,0.21
0041,Technology,1.55,0.075,1.88,0.1848,-453.0,-0.0,-0.0,0.0,0.0,-1.84,-18.99,0.01,0.01
0043,Industrial Products & Services,0.06,0.02,0.2,0.07,-9.0,-0.01,-16.67,0.0,0.0,-10.0,-19.72,0.0,0.0
0045,Technology,0.015,0.015,0.095,-0.0245,-2.0,-0.01,-66.67,0.0,0.0,37.55,0.0,0.0,0.0
0048,Transportation & Logistics,0.355,0.045,0.7,0.05,-634.0,-0.0,-0.0,0.0,0.0,-1.2,-1.55,0.23,0.25
0049,Consumer Products & Services,0.57,0.4,1.52,0.4367,34.0,0.02,3.51,0.01,1.4,3.78,8.18,0.04,0.01
0050,Technology,0.21,0.11,0.355,0.1464,-35.0,-0.01,-4.76,0.0,0.95,-4.17,1.58,0.11,0.11
0051,Technology,0.28,0.08,0.345,0.081,-13.0,-0.02,-7.14,0.0,0.0,-27.04,-37.32,0.03,0.0
0053,Financial Services,0.5,0.335,0.55,0.94,25.0,0.02,4.0,0.0,0.0,2.13,2.16,0.0,0.0
0054,Industrial Products & Services,0.22,0.135,0.355,0.21,31.0,0.01,4.55,0.01,4.55,3.38,6.72,0.07,0.07
0055,Industrial Products & Services,0.255,0.07,0.325,0.07,234.0,0.0,0.0,0.0,0.0,1.57,-4.14,0.0,0.0
0056,Technology,0.61,0.218,0.73,0.2107,65.0,0.01,1.64,0.0,0.0,4.41,5.33,0.0,0.0
0058,Industrial Products & Services,1.3,1.16,1.48,2.41,27.0,0.05,3.85,0.04,3.08,1.96,3.15,0.0,0.0
0060,Technology,0.135,0.135,0.428,0.1534,-22.0,-0.01,-7.41,0.0,0.0,-3.98,-15.41,0.02,0.06
0064,Industrial Products & Services,0.195,0.08,0.295,0.18,-32.0,-0.01,-5.13,0.0,0.0,-3.39,-6.19,0.0,0.0
0065,Technology,0.48,0.34,0.67,0.17,27.0,0.02,4.17,0.01,2.08,10.35,9.01,0.0,0.0
0066,Technology,0.03,0.021,0.14,0.0326,-4.0,-0.01,-33.33,0.0,0.0,-23.01,-27.0,0.0,0.01
0068,Technology,0.45,0.065,0.845,0.0283,-14.0,-0.03,-6.67,0.0,0.0,-117.67,-132.16,0.18,0.15
0069,Technology,0.645,0.15,2.05,0.08,129.0,0.0,0.0,0.0,0.0,6.25,-15.02,0.01,0.02
0070,Technology,0.095,0.015,0.305,0.05,-9.0,-0.01,-10.53,0.0,0.0,-22.2,-12.58,0.0,0.0
0072,Industrial Products & Services,0.095,0.03,0.3,0.0874,-13.0,-0.01,-10.53,0.0,0.0,-8.47,-27.85,0.01,0.25
0074,Consumer Products & Services,0.045,0.045,0.431,0.067,-12.0,-0.0,-0.0,0.0,0.0,-5.52,9.16,0.0,0.0
0075,Health Care,0.275,0.24,0.68,0.06,-8.0,-0.04,-14.55,0.0,0.0,-59.83,-43.73,6.03,1.22
0078,Transportation & Logistics,0.375,0.2,0.545,0.09,95.0,0.0,0.0,0.0,0.53,4.44,3.85,0.13,0.15
0079,Technology,0.07,0.045,0.17,0.1229,-8.0,-0.01,-14.29,0.0,0.0,-6.92,-3.86,0.01,0.01
0080,Transportation & Logistics,0.22,0.15,0.285,0.1745,55.0,0.0,0.0,0.0,0.0,2.29,7.23,0.03,0.03
0081,Industrial Products & Services,0.155,0.07,0.23,0.21,-8.0,-0.02,-12.9,0.0,0.0,-9.05,1.63,0.01,0.02
0083,Technology,0.805,0.55,2.34,0.8443,-86.0,-0.01,-1.24,0.0,0.0,-1.11,1.5,0.1,0.11
0084,Industrial Products & Services,0.33,0.285,0.69,0.164,56.0,0.01,3.03,0.01,3.03,3.6,13.1,0.0,0.01
0085,Technology,0.04,0.035,0.371,0.136,-1.0,-0.03,-75.0,0.0,0.0,-19.85,-47.83,0.0,0.01
0086,Technology,0.195,0.095,0.24,0.0511,-9.0,-0.02,-10.26,0.0,0.0,-41.49,-12.81,0.0,0.0
0089,Industrial Products & Services,0.415,0.23,0.555,0.4322,31.0,0.01,2.41,0.0,0.0,3.1,4.81,0.08,0.08
0090,Technology,0.72,0.56,1.04,0.15,698.0,0.0,0.0,0.03,4.17,0.67,15.49,0.0,0.0
0091,Energy,0.025,0.005,0.025,-0.1039,-1.0,-0.02,-80.0,0.0,0.0,18.0,0.0,0.0,0.0
0093,Technology,1.14,0.065,2.0,0.1939,-480.0,-0.0,-0.0,0.0,0.0,-1.24,-2.34,0.17,0.17
0094,Technology,0.165,0.025,0.89,0.0906,36.0,0.0,0.0,0.0,0.0,5.08,-50.51,0.0,0.0
0095,Consumer Products & Services,0.19,0.175,0.325,0.73,17.0,0.01,5.26,0.0,0.0,1.52,-23.36,0.09,0.1
0097,Technology,15.82,7.86,18.16,1.2054,71.0,0.22,1.39,0.04,0.27,18.56,17.78,0.07,0.09
0098,Consumer Products & Services,0.5,0.29,0.845,8.44,-3.0,-0.16,-32.0,0.0,0.0,-1.86,-86.18,0.11,0.09
0099,Industrial Products & Services,1.22,0.72,1.39,0.3,19.0,0.07,5.74,0.05,4.1,21.73,21.85,0.01,0.02
0100,Industrial Products & Services,0.84,0.122,1.035,0.1651,26.0,0.03,3.57,0.0,0.6,19.44,4.42,0.01,0.01
0101,Health Care,0.74,0.47,0.82,0.45,110.0,0.01,1.35,0.0,0.23,1.49,2.78,0.15,0.0
0102,Industrial Products & Services,0.2,0.075,0.39,0.07,-43.0,-0.0,-0.0,0.0,0.0,-6.71,-36.27,0.08,0.29
0104,Technology,4.46,1.12,6.55,1.79,-32.0,-0.14,-3.14,0.0,0.0,-7.81,-0.22,0.11,0.12
0105,Industrial Products & Services,0.395,0.045,0.6,0.18,20.0,0.02,5.06,0.0,0.0,11.0,-5.65,0.15,0.0
0106,Technology,0.965,0.505,1.23,0.21,18.0,0.05,5.18,0.04,4.15,25.81,24.38,0.0,0.0
0107,Technology,0.02,0.015,0.07,0.027,-1.0,-0.03,-150.0,0.0,0.0,-111.11,-102.73,0.38,0.73
0108,Technology,0.73,0.515,0.995,0.47,16.0,0.05,6.85,0.02,3.42,9.64,6.21,0.03,0.06
0111,Technology,0.28,0.18,0.705,0.1405,-26.0,-0.01,-3.57,0.0,0.0,-7.69,5.95,0.0,0.0
0112,Technology,0.255,0.155,0.275,0.1701,40.0,0.01,3.92,0.0,0.2,3.76,4.01,0.08,0.09
0113,Technology,0.92,0.51,1.44,0.3,103.0,0.01,1.09,0.02,2.17,3.0,12.73,0.0,0.0
0116,Consumer Products & Services,0.15,0.173,0.905,0.0281,56.0,0.0,0.0,0.0,0.0,9.61,-4.49,0.08,0.09
0117,Technology,0.165,0.045,0.21,0.2609,-7.0,-0.02,-12.12,0.0,0.0,-8.51,-29.86,2.41,1.94
0118,Technology,0.085,0.075,0.452,0.02,-14.0,-0.01,-11.76,0.0,0.0,-29.5,-6.61,0.75,0.66
0119,Technology,0.615,0.155,0.91,0.0807,330.0,0.0,0.0,0.0,0.0,2.35,-0.98,0.0,0.0
0120,Technology,1.43,0.39,1.74,0.28,37.0,0.04,2.8,0.01,0.7,13.71,5.43,0.0,0.0
0122,Industrial Products & Services,0.275,0.125,0.38,0.0809,-19.0,-0.01,-3.64,0.0,0.0,-17.68,-18.65,0.09,0.08
0126,Technology,2.59,0.685,2.71,0.53,39.0,0.07,2.7,0.01,0.39,12.62,36.16,0.03,0.1
0127,Technology,1.99,0.785,2.67,0.39,52.0,0.04,2.01,0.02,1.01,9.85,15.89,0.16,0.18
0128,Technology,5.32,2.03,5.95,0.42,68.0,0.08,1.5,0.04,0.75,18.52,19.71,0.03,0.03
0131,Technology,0.15,0.057,0.255,5.51,-13.0,-0.01,-6.67,0.0,2.67,-0.21,-11.28,0.01,0.01
0132,Technology,0.19,0.035,0.335,0.04,-20.0,-0.01,-5.26,0.0,0.0,-23.25,-30.82,0.19,0.29
0133,Industrial Products & Services,0.16,0.155,1.25,0.14,-4.0,-0.04,-25.0,0.0,0.0,-27.43,-8.25,0.16,0.15
0136,Consumer Products & Services,0.215,0.095,0.285,0.178,13.0,0.02,9.3,0.0,0.93,9.1,0.0,0.21,0.0
0138,Technology,1.98,1.09,2.27,0.3128,27.0,0.07,3.54,0.02,1.26,23.34,42.26,0.14,0.21
0140,Consumer Products & Services,0.09,0.032,0.85,0.11,-11.0,-0.01,-11.11,0.0,0.0,-7.55,-18.19,0.01,0.01
0143,Technology,0.15,0.035,0.175,0.0225,-10.0,-0.02,-13.33,0.0,0.0,-69.33,-68.64,0.0,0.03
0145,Technology,0.18,0.039,0.265,0.0348,-24.0,-0.01,-5.56,0.0,0.0,-21.26,-39.92,0.0,0.02
0146,Technology,1.23,0.355,2.41,0.4957,89.0,0.01,0.81,0.0,0.41,2.8,23.05,0.02,0.03
0148,Consumer Products & Services,0.215,0.07,0.255,0.17,-9.0,-0.02,-9.3,0.0,0.0,-14.47,-16.39,0.17,0.17
0149,Industrial Products & Services,0.44,0.245,0.5,0.52,26.0,0.02,4.55,0.01,1.23,3.29,4.34,0.0,0.0
0150,Financial Services,0.05,0.031,0.167,0.4658,0.0,0.25,500.0,0.0,0.0,53.82,98.15,0.01,0.03
0151,Industrial Products & Services,2.34,0.95,2.7,0.5212,44.0,0.05,2.14,0.02,0.85,10.17,17.99,0.2,0.17
0152,Technology,0.065,0.06,0.54,0.387,-6.0,-0.01,-15.38,0.0,0.0,-2.87,-23.05,0.46,0.0
0153,Consumer Products & Services,0.13,0.04,0.31,0.19,-15.0,-0.01,-7.69,0.0,0.0,-4.63,-10.66,0.04,0.03
0154,Technology,0.03,0.01,0.05,0.02,-3.0,-0.01,-33.33,0.0,0.0,-50.0,-29.85,0.01,0.01
0155,Health Care,1.26,0.185,1.33,0.076,-16.0,-0.08,-6.35,0.22,17.46,-105.26,0.0,0.07,0.0
0156,Technology,0.19,0.07,0.32,0.08,-4.0,-0.05,-26.32,0.0,0.0,-62.5,-6.55,0.0,0.0
