code,nYear,Revenue start,Revenue end,EPS start,EPS end,OCF start,OCF end,ROE,ROE2,D/E,D/E2,P/E mid,EPS,EPS GR min,EY level,DY level,neg Revenue count,neg EPS count,neg OCF count,Revenue Growth,EPS Growth,OCF Growth,ROE Health,D/E Health,3G2H,PE Value,EPS GR Value
0055,9,30,18,-0.02,0.0,-1,0,1.57,-4.14,0.0,0.0,-16.75,0.0,0.0,0,0,7,9,7,0.0,0.0,0.0,0.0,1.0,1.0,-0.0,0.0
0056,10,75,77,0.03,0.01,6,-24,4.41,5.33,0.0,0.0,11.75,0.01,0.0,0,0,5,6,4,0.0,0.0,0.0,0.0,1.0,1.0,0.12,0.0
0058,10,117,9,0.32,0.08,43,-3,1.96,3.15,0.0,0.0,19.52,0.05,0.0,2,5,4,5,5,0.0,0.0,0.0,0.0,1.0,1.0,0.98,0.0
8885,10,504,66,0.0,-0.02,73,0,-12.58,-10.36,0.29,0.25,-9.12,-0.03,0.0,0,0,9,7,2,0.0,0.0,0.0,0.0,1.0,1.0,0.27,-0.0
8869,10,1699,8805,0.02,0.06,108,1459,11.21,13.73,1.06,0.88,98.98,0.11,14.15,0,0,2,6,2,0.5,0.0,0.5,0.0,0.0,1.0,10.89,1.56
0043,10,60,19,-0.01,-0.01,0,-3,-10.0,-19.72,0.0,0.0,0.5,-0.01,0.0,0,0,7,9,7,0.0,0.0,0.0,0.0,1.0,1.0,-0.0,-0.0
0041,10,46,4,0.07,-0.03,0,-2,-1.84,-18.99,0.01,0.01,1.54,-0.0,0.0,0,0,7,9,4,0.0,0.0,0.0,0.0,1.0,1.0,-0.0,-0.0
7315,10,25,10,0.02,-0.04,0,-2,-25.22,-23.68,0.16,0.16,7.0,-0.03,0.0,0,0,7,9,5,0.0,0.0,0.0,0.0,1.0,1.0,-0.21,-0.0
0026,9,32,39,-0.01,0.0,6,1,-17.82,-6.27,0.01,0.02,2.25,-0.01,0.0,0,0,6,8,5,0.0,0.0,0.0,0.0,1.0,1.0,-0.02,-0.0
1198,10,341,136,0.09,-0.11,116,69,7.47,-6.13,0.02,0.03,1.63,0.15,0.0,5,0,4,7,3,0.0,0.0,0.0,0.0,1.0,1.0,0.24,0.0
0005,10,4,12,0.0,-0.04,0,-1,-23.67,-72.17,0.0,0.01,3.0,-0.01,0.0,0,0,7,10,6,0.0,0.0,0.0,0.0,1.0,1.0,-0.03,-0.0
9954,10,8,77,-0.05,0.01,2,13,10.95,7.81,0.12,0.05,6.75,0.02,0.0,2,0,4,10,5,0.0,0.0,0.0,0.0,1.0,1.0,0.14,0.0
9938,10,49,51,0.03,-0.01,11,5,-1.93,-1.06,0.0,0.0,1.0,-0.01,0.0,0,0,4,6,2,0.0,0.0,0.0,0.0,1.0,1.0,-0.01,-0.0
0010,10,366,230,0.02,0.0,-36,-17,-3.86,4.91,0.03,0.07,10.25,-0.0,0.0,0,0,6,9,5,0.0,0.0,0.0,0.0,1.0,1.0,-0.0,-0.0
0020,9,20,15,-0.52,0.0,0,-23,-63.0,-12.94,0.01,0.01,0.28,-0.02,0.0,0,0,6,9,7,0.0,0.0,0.0,0.0,1.0,1.0,-0.01,-0.0
0022,8,4,162,0.01,0.0,0,-2,-114.5,-8.63,0.2,0.16,1.84,-0.02,0.0,0,0,5,8,7,0.0,0.0,0.0,0.0,1.0,1.0,-0.04,-0.0
