code,name,category,Annual,nYear,3G2H,PE Value,EPS GR Value,Price A5,Price A10,Price B,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE,ROE2,D/E,D/E2,NPM avg,P/E min,P/E max,P/E mid,P/E avg,EPS GR min,EY avg,EY std,EY 3Y avg,EY 5Y avg,EY 10Y avg,DY avg,DY 3Y avg,DY 5Y avg,DY 10Y avg,DPayout avg,Revenue GR 3Y avg,Revenue GR 5Y avg,Revenue GR 10Y avg,NP GR 3Y avg,NP GR 5Y avg,NP GR 10Y avg,EPS GR 3Y avg,EPS GR 5Y avg,EPS GR 10Y avg,check NP,check EPS GR,check OCF,neg Revenue GR,neg NP,neg EPS GR,neg OCF,Revenue start,Revenue end,EPS start,EPS end,OCF start,OCF end,intrinsic 3Y,intrinsic 5Y,intrinsic 10Y,Price A3,EY level,DY level,Revenue Growth,EPS Growth,OCF Growth,ROE Health,D/E Health
0012,THREE-A RESOURCES BERHAD,Consumer Products & Services,2019-12-01,10,2.0,1.22,0.17,0.34,0.49,0.8,0.78,0.69,1.03,0.7449,13.0,0.06,7.69,0.02,2.82,8.23,8.69,0.03,0.04,6.74,7.83,32.75,20.29,16.37,2.78,5.37,3.12,8.89,7.54,5.37,1.34,2.17,1.65,1.34,24.27,3.99,6.97,9.34,10.06,5.01,0.0,-8.84,10.27,2.78,1,0,0,1+7+10,+,1+2+7+9+10,2+10,249,436,0.04,0.06,-13,62,1.29,0.46,0.65,0.97,3,4,0.5,0.0,0.5,0.0,1.0
0022,PARLO BERHAD,Consumer Products & Services,2019-12-01,8,1.0,-0.04,-0.0,-0.15,-0.15,0.25,0.315,0.05,0.655,0.02,-14.0,-0.02,-6.35,0.0,0.0,-114.5,-8.63,0.2,0.16,-26.34,-4.83,8.5,1.84,4.87,0.0,-306.53,812.65,-2.98,-385.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.19,41.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2+3+4+5+6,1+2+4+5+6+8,1+2+3+4+5+6+7+8,1+2+3+4+5+6+8,4,162,0.01,0.0,0,-2,-0.2,-0.2,-0.2,-0.15,0,0,0.0,0.0,0.0,0.0,1.0
0037,RGB INTERNATIONAL BHD,Consumer Products & Services,2019-12-01,10,2.5,-0.33,-0.27,-0.09,-0.17,0.13,0.13,0.11,0.185,0.15,-7.0,-0.02,-15.38,0.0,2.31,-12.4,16.0,0.09,0.09,-4.62,4.67,28.0,16.34,12.98,13.58,-0.35,19.67,14.46,10.82,-0.35,1.81,6.04,3.62,1.81,13.72,11.47,10.34,7.51,16.51,0.0,0.0,17.02,13.58,0.0,0,0,1,1+3+7+9+10,9+10,7+8+9+10,+,159,351,-0.04,0.03,3,79,-0.1,-0.12,-0.23,-0.08,0,3,0.0,0.0,1.0,0.5,1.0
0049,OCEANCASH PACIFIC BERHAD,Consumer Products & Services,2019-12-01,10,2.5,0.28,0.15,0.12,0.12,0.77,0.57,0.4,1.52,0.4367,34.0,0.02,3.51,0.01,1.4,3.78,8.18,0.04,0.01,7.46,9.88,18.17,14.03,14.76,7.71,7.71,2.17,6.54,7.1,7.71,1.22,1.98,1.98,1.22,19.42,2.2,4.18,5.03,7.65,8.07,0.0,-11.29,7.71,8.06,1,0,1,2+10,+,2+3+6+10,+,56,89,0.01,0.03,5,10,0.53,0.16,0.16,0.4,2,1,0.5,0.0,1.0,0.0,1.0
0074,GREEN OCEAN CORPORATION BERHAD,Consumer Products & Services,2019-03-01,8,1.0,0.0,-0.0,0.0,0.0,0.17,0.045,0.045,0.431,0.067,-12.0,-0.0,-0.0,0.0,0.0,-5.52,9.16,0.0,0.0,-5.16,-14.0,-4.5,-9.25,,81.71,-5.94,8.61,-7.41,-4.44,0.0,0.0,0.0,0.0,0.0,0.0,23.08,88.5,17.44,0.0,0.0,0.0,81.71,0.0,0.0,0,0,0,2+6+7+8,2+3+4+5+6+7+8,1+2+3+4+5+6+7+8,1+2+3+4+5+6+7,144,361,-0.01,0.0,1,-11,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0
0095,MAG HOLDINGS BERHAD,Consumer Products & Services,2019-12-01,10,1.0,-0.01,0.0,0.08,0.08,0.22,0.19,0.175,0.325,0.73,17.0,0.01,5.26,0.0,0.0,1.52,-23.36,0.09,0.1,-37.64,-2.25,0.38,-0.94,0.62,0.0,-190.09,445.14,-119.78,70.7,-190.09,3.08,0.0,6.15,3.08,0.0,-87.17,0.0,-32.49,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+2+3+4+5+6+7+8+9+10,1+2+3+6+7+9+10,1+2+3+4+5+6+7+8+9+10,2+4+5+6+7+8+9+10,152,2,-0.23,-0.27,0,13,0.1,0.1,0.1,0.08,3,0,0.0,0.0,0.0,0.0,1.0
0098,BAHVEST RESOURCES BERHAD,Consumer Products & Services,2020-03-01,9,1.0,0.64,-0.0,-1.2,-1.2,0.47,0.5,0.29,0.845,8.44,-3.0,-0.16,-32.0,0.0,0.0,-1.86,-86.18,0.11,0.09,-37.83,-110.0,102.0,-4.0,92.0,0.0,-5.84,16.56,-17.22,-10.09,0.0,0.0,0.0,0.0,0.0,0.0,45.18,40.77,10.36,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3+6+7+8,1+4+5+6+7+8,1+2+3+4+5+6+7+8,3+4+5+6+7,32,95,0.0,-0.15,7,17,-1.6,-1.6,-1.6,-1.2,0,0,0.0,0.0,0.0,0.0,1.0
0116,FOCUS DYNAMICS GROUP BERHAD,Consumer Products & Services,2019-12-01,10,1.0,0.0,0.0,0.0,0.0,0.41,0.15,0.173,0.905,0.0281,56.0,0.0,0.0,0.0,0.0,9.61,-4.49,0.08,0.09,-43.26,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.01,26.19,7.18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2+5+8+9+10,1+2+4+5+6+7+8+9+10,1+2+3+4+5+6+7+8+9+10,2+3+4+5+6+7+8+9+10,19,39,0.0,0.0,0,18,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0
0136,GREENYIELD BERHAD,Consumer Products & Services,2018-12-01,7,1.0,0.32,0.0,0.17,0.17,0.16,0.215,0.095,0.285,0.178,13.0,0.02,9.3,0.0,0.93,9.1,0.0,0.21,0.0,9.06,11.25,21.0,16.12,15.25,0.0,3.96,3.63,0.0,2.2,0.0,4.01,2.9,3.94,0.0,15.3,5.57,-4.33,4.65,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1+3+4+5+7,+,1+2+3+4+5+7,+,48,43,0.02,0.0,10,2,0.23,0.23,0.23,0.17,3,0,0.0,0.0,0.0,0.0,1.0
0140,MACPIE BERHAD,Consumer Products & Services,2020-06-01,6,1.0,0.13,-0.0,-0.08,-0.08,0.3,0.09,0.032,0.85,0.11,-11.0,-0.01,-11.11,0.0,0.0,-7.55,-18.19,0.01,0.01,-9.61,-24.5,-2.07,-13.28,,0.0,-10.31,17.32,-4.53,-12.38,0.0,0.0,0.0,0.0,0.0,0.0,-22.26,-24.36,8.29,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+2+3+4+5,1+2+3+4+5,1+2+3+4+5,1+3+5+6,540,65,0.0,-0.01,-12,-3,-0.1,-0.1,-0.1,-0.08,0,0,0.0,0.0,0.0,0.0,1.0
