code,category,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE
0001,Health Care Equipment & Services,1.31,1.08,1.83,0.0,30.41,0.04,3.05,0.02,1.53,10.02
0002,Pharmaceuticals,5.5,3.82,6.97,0.0,11.99,0.46,8.36,0.26,4.64,26.67
0005,Technology Equipment,0.1,0.055,0.15,0.0,-2.35,-0.04,-40.0,0.0,0.0,106.5
0006,Digital Services,0.85,0.7,1.13,0.0,-19.03,-0.04,-4.71,0.0,0.0,10.64
0007,Media,0.03,0.02,0.055,0.0,-1.11,-0.03,-100.0,0.0,0.0,26.42
0008,Software,0.36,0.325,0.41,0.0,12.77,0.03,8.33,0.02,4.17,6.88
0010,Software,0.105,0.09,0.19,0.0,20.46,0.01,9.52,0.0,0.0,4.88
0011,"Gas, Water & Multi-Utilities",0.32,0.22,0.325,0.0,9.99,0.03,9.38,0.01,2.5,9.7
0012,Food & Beverages,0.805,0.795,1.03,0.0,11.29,0.07,8.7,0.03,3.73,8.31
0017,Telecommunications Equipment,0.035,0.025,0.055,0.0,8.0,0.0,0.0,0.0,0.0,12.39
0018,Software,0.02,0.015,0.065,0.0,-0.65,-0.03,-150.0,0.0,0.0,28.11
0020,Software,0.05,0.05,0.095,0.0,-2.51,-0.02,-40.0,0.0,0.0,13.27
0021,Digital Services,0.78,0.66,1.63,0.0,31.63,0.02,2.56,0.02,3.21,5.52
0022,"Travel, Leisure & Hospitality",0.1,0.05,0.14,0.0,-9.14,-0.01,-10.0,0.0,0.0,21.8
0023,Software,0.23,0.22,0.37,0.0,-33.8,-0.01,-4.35,0.01,4.35,3.58
0024,Industrial Services,0.345,0.301,0.465,0.0,21.49,0.02,5.8,0.0,1.42,4.38
0025,"Industrial Materials, Components & Equipment",0.575,0.45,0.815,0.0,22.53,0.03,5.22,0.0,0.0,8.79
0026,Software,0.09,0.07,0.135,0.0,-6.8,-0.01,-11.11,0.0,0.0,39.64
0028,"Industrial Materials, Components & Equipment",0.145,0.12,0.255,0.0,18.73,0.01,6.9,0.0,0.0,4.22
0029,Digital Services,0.075,0.06,0.15,0.0,-6.9,-0.01,-13.33,0.0,0.0,605.56
0032,Telecommunications Service Providers,0.57,0.38,0.59,0.0,7.59,0.08,14.04,0.02,3.16,22.44
0034,Digital Services,0.01,0.01,0.085,0.0,-1.59,-0.01,-100.0,0.0,0.0,3.91
0035,Telecommunications Equipment,0.75,0.61,0.975,0.0,265.49,0.0,0.0,0.0,0.0,0.48
0036,Technology Equipment,0.01,0.005,0.015,0.0,-1.44,-0.01,-100.0,0.0,0.0,21.67
0037,"Travel, Leisure & Hospitality",0.215,0.1,0.25,0.0,71.91,0.0,0.0,0.0,0.47,2.0
0038,Chemicals,0.795,0.41,0.87,0.0,231.17,0.0,0.0,0.0,0.25,2.26
0039,Industrial Services,0.19,0.14,0.245,0.0,7.17,0.03,15.79,0.0,0.89,9.46
0040,Software,0.32,0.305,0.4,0.0,12.23,0.03,9.38,0.01,4.38,13.79
0041,Software,0.11,0.105,1.01,0.0,11.47,0.01,9.09,0.0,0.0,12.85
0043,Industrial Services,0.015,0.01,0.3,0.0,-2.65,-0.01,-66.67,0.0,0.0,4.75
0045,Construction,0.23,0.185,0.24,0.0,-99.7,0.0,0.0,0.01,4.35,3.83
0048,Transportation & Logistics Services,0.14,0.085,0.255,0.0,-30.09,0.0,0.0,0.0,0.0,11.75
0049,Personal Goods,0.305,0.26,0.405,0.0,12.68,0.02,6.56,0.01,3.28,5.44
0050,Software,0.325,0.155,0.38,0.0,-5.34,-0.06,-18.46,0.0,0.0,75.81
0051,Software,0.17,0.16,0.305,0.0,-21.04,-0.01,-5.88,0.0,0.0,15.28
0053,Other Financials,0.46,0.38,0.575,0.0,6.34,0.07,15.22,0.02,4.35,6.15
0054,Chemicals,0.185,0.16,0.215,0.0,14.75,0.01,5.41,0.0,1.62,5.21
0055,Chemicals,0.12,0.08,0.275,0.0,-5.62,-0.02,-16.67,0.0,0.0,53.25
0056,Property,0.365,0.3,0.445,0.0,11.64,0.03,8.22,0.0,0.0,7.22
0058,Industrial Services,1.45,1.2,1.57,0.0,8.12,0.18,12.41,0.06,4.14,6.77
0059,Telecommunications Service Providers,0.095,0.075,0.12,0.0,-1.85,-0.05,-52.63,0.0,0.0,19.05
0060,Technology Equipment,0.12,0.1,0.195,0.0,14.39,0.01,8.33,0.0,0.0,3.27
0065,Software,0.365,0.34,0.475,0.0,22.86,0.02,5.48,0.0,1.37,8.42
0066,Software,0.005,0.005,0.01,0.0,-2.18,0.0,0.0,0.0,0.0,11.56
0068,Software,0.025,0.02,0.13,0.0,-2.53,-0.01,-40.0,0.0,0.0,20.54
0069,Software,0.07,0.065,0.265,0.0,-0.96,-0.07,-100.0,0.0,0.0,12.31
0070,Semiconductors,0.035,0.025,0.08,0.0,8.45,0.0,0.0,0.0,0.0,8.2
0072,"Industrial Materials, Components & Equipment",0.01,0.005,0.02,0.0,-0.5,-0.02,-200.0,0.0,0.0,38.36
0074,Food & Beverages,0.015,0.01,0.03,0.0,-3.15,0.0,0.0,0.0,0.0,8.74
0075,Health Care Providers,0.23,0.16,0.33,0.0,-12.21,-0.02,-8.7,0.0,0.0,26.86
