code,name,Price,EPS,52w low,52w high,EPS GR 3Y avg,EPS GR 5Y avg,EPS GR 10Y avg,P/E mid,DPayout avg,intrinsic 3Y,intrinsic 5Y,intrinsic 10Y,Price A3,Price A5,Price A10,Price B
0001,SUPERCOMNET TECHNOLOGIES BERHAD,1.79,0.03,0.314,2.38,45.86,56.56,0.0,23.0,16.41,0.07,0.06,0.35,0.05,0.04,0.26,1.0
0002,KOTRA INDUSTRIES BERHAD,2.83,0.18,1.6,4.45,31.86,92.71,7.87,44.5,15.4,0.61,0.22,1.4,0.46,0.16,1.05,2.54
0005,UCREST BERHAD,0.145,-0.02,0.035,0.23,0.0,0.0,0.0,1.62,0.0,-0.2,-0.2,-0.2,-0.15,-0.15,-0.15,0.1
0006,PINEAPPLE RESOURCES BERHAD,0.68,-0.04,0.18,0.75,0.0,-49.87,-26.18,-3.75,0.0,-0.4,-79.82,-2.91,-0.3,-59.86,-2.18,0.37
0008,WILLOWGLEN MSC BERHAD,0.425,0.02,0.3,0.585,-6.59,-3.06,1.84,19.79,28.89,0.38,0.35,0.22,0.29,0.26,0.16,0.39
0010,IRIS CORPORATION BERHAD,0.435,-0.0,0.06,0.45,0.0,0.0,-8.21,10.25,5.51,0.0,0.0,0.0,0.0,0.0,0.0,0.19
0011,BRITE-TECH BERHAD,0.49,0.03,0.15,0.68,6.14,2.61,18.64,14.0,68.63,0.37,0.44,0.22,0.28,0.33,0.16,0.32
0012,THREE-A RESOURCES BERHAD,0.8,0.06,0.53,1.03,-8.84,10.27,2.78,26.56,24.27,1.29,0.46,0.65,0.97,0.34,0.49,0.7
0018,LAMBO GROUP BERHAD,0.03,-0.01,0.005,0.08,0.0,0.0,0.0,-6.0,0.0,-0.1,-0.1,-0.1,-0.08,-0.08,-0.08,0.03
0020,NETX HOLDINGS BERHAD,0.125,-0.02,0.095,0.486,0.0,0.0,0.0,1.78,0.0,-0.2,-0.2,-0.2,-0.15,-0.15,-0.15,0.22
0021,GHL SYSTEMS BERHAD,1.71,0.01,0.693,2.17,11.56,26.96,0.0,43.0,0.0,0.06,0.03,0.1,0.04,0.02,0.08,1.18
0022,PARLO BERHAD,0.4,-0.02,0.025,0.655,0.0,0.0,0.0,4.84,0.0,-0.2,-0.2,-0.2,-0.15,-0.15,-0.15,0.23
0023,IFCA MSC BERHAD,0.375,0.01,0.165,0.52,121.65,-23.62,0.0,21.0,16.02,0.01,0.44,0.12,0.01,0.33,0.09,0.28
0024,JAG BERHAD,0.205,0.02,0.1,0.4,0.0,0.0,0.0,8.66,10.21,0.22,0.22,0.22,0.16,0.16,0.16,0.2
0025,YBS INTERNATIONAL BERHAD,0.24,-0.0,0.075,0.27,-35.92,6.45,-13.83,5.62,3.95,0.0,0.0,0.0,0.0,0.0,0.0,0.14
0026,NOVA MSC BERHAD,0.085,-0.0,0.015,0.135,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
0028,SCOPE INDUSTRIES BERHAD,0.26,-0.03,0.065,0.34,0.0,0.0,0.0,-4.0,17.52,-0.35,-0.35,-0.35,-0.26,-0.26,-0.26,0.16
0029,DIGISTAR CORPORATION BERHAD,0.075,-0.0,0.015,0.21,0.0,0.0,0.0,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08
0034,MMAG HOLDINGS BERHAD,0.41,-0.01,0.12,1.97,0.0,0.0,0.0,2.19,0.0,-0.1,-0.1,-0.1,-0.08,-0.08,-0.08,0.73
0036,KEY ALLIANCE GROUP BERHAD,0.045,0.01,0.009,0.12,0.0,0.0,0.0,-0.75,0.0,0.1,0.1,0.1,0.08,0.08,0.08,0.05
0037,RGB INTERNATIONAL BHD,0.125,-0.0,0.1,0.215,17.02,13.58,0.0,7.0,13.72,0.0,0.0,0.0,0.0,0.0,0.0,0.14
0038,PLASTRADE TECHNOLOGY BERHAD,0.64,-0.02,0.05,0.685,0.0,0.0,0.0,0.38,0.0,-0.2,-0.2,-0.2,-0.15,-0.15,-0.15,0.26
0039,GFM SERVICES BERHAD,0.165,0.0,0.06,0.255,-27.94,0.0,-27.22,14.38,10.88,0.0,0.0,0.0,0.0,0.0,0.0,0.12
0040,OPENSYS (M) BERHAD,0.51,0.03,0.173,0.88,22.68,14.66,13.04,23.0,42.78,0.17,0.22,0.23,0.13,0.16,0.17,0.41
0041,HONG SENG CONSOLIDATED BERHAD,1.1,-0.01,0.04,1.88,0.0,0.0,0.0,2.79,0.0,-0.1,-0.1,-0.1,-0.08,-0.08,-0.08,0.65
0043,METRONIC GLOBAL BERHAD,0.1,-0.01,0.015,0.2,0.0,0.0,0.0,-1.5,0.0,-0.1,-0.1,-0.1,-0.08,-0.08,-0.08,0.08
0048,ANCOM LOGISTICS BERHAD,0.435,-0.0,0.03,0.7,0.0,0.0,0.0,-3.42,96.3,0.0,0.0,0.0,0.0,0.0,0.0,0.25
0049,OCEANCASH PACIFIC BERHAD,0.545,0.02,0.29,1.52,-11.29,7.71,8.06,11.84,19.42,0.53,0.16,0.16,0.4,0.12,0.12,0.7
0050,SYSTECH BHD,0.195,-0.0,0.06,0.355,-35.29,-25.14,0.0,20.75,39.13,0.0,0.0,0.0,0.0,0.0,0.0,0.16
0051,CUSCAPI BERHAD,0.12,-0.02,0.045,0.175,0.0,0.0,0.0,-1.88,0.0,-0.2,-0.2,-0.2,-0.15,-0.15,-0.15,0.09
0053,OSK VENTURES INTERNATIONAL BERHAD,0.46,0.05,0.3,0.55,-9.65,0.0,0.0,-13.42,5.19,0.97,0.53,0.53,0.73,0.4,0.4,0.38
0054,KARYON INDUSTRIES BERHAD,0.2,0.01,0.085,0.355,-7.34,-4.11,4.33,13.25,12.35,0.24,0.17,0.07,0.18,0.13,0.05,0.17
0055,SERSOL BERHAD,0.195,-0.0,0.05,0.325,0.0,0.0,0.0,-26.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
0056,GRAND-FLO BERHAD,0.32,-0.0,0.16,0.37,0.0,-19.14,-7.26,8.5,22.32,0.0,0.0,0.0,0.0,0.0,0.0,0.23
0058,JCBNEXT BERHAD,1.38,0.04,1.15,1.48,-2.4,-65.05,-10.13,17.52,133.94,1.07,4412.75,1.83,0.8,3309.56,1.37,1.26
0060,VORTEX CONSOLIDATED BERHAD,0.045,-0.0,0.02,0.11,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
0064,EFFICIENT E-SOLUTIONS BERHAD,0.165,-0.01,0.05,0.295,0.0,0.0,0.0,1.5,6.66,-0.11,-0.11,-0.11,-0.08,-0.08,-0.08,0.13
0065,EXCEL FORCE MSC BERHAD,0.425,0.01,0.23,0.67,0.49,-7.92,-5.89,93.0,78.48,0.17,0.37,0.33,0.13,0.28,0.25,0.38
0066,VSOLAR GROUP BERHAD,0.035,-0.0,0.01,0.14,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
0068,ASDION BERHAD,0.395,-0.04,0.06,0.41,0.0,0.0,0.0,-4.47,0.0,-0.4,-0.4,-0.4,-0.3,-0.3,-0.3,0.18
0069,VIVOCOM INTL HOLDINGS BERHAD,0.96,0.01,0.15,2.05,0.0,0.0,0.0,3.91,0.0,0.1,0.1,0.1,0.08,0.08,0.08,0.78
0070,MQ TECHNOLOGY BERHAD,0.115,-0.02,0.01,0.305,0.0,0.0,0.0,0.75,0.0,-0.2,-0.2,-0.2,-0.15,-0.15,-0.15,0.11
0072,AT SYSTEMATIZATION BERHAD,0.165,-0.0,0.015,0.3,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
0074,GREEN OCEAN CORPORATION BERHAD,0.07,-0.01,0.06,0.431,81.71,0.0,0.0,-9.25,0.0,-0.01,-0.1,-0.1,-0.01,-0.08,-0.08,0.18
0075,LYC HEALTHCARE BERHAD,0.295,-0.03,0.12,0.68,0.0,0.0,0.0,-5.25,0.0,-0.3,-0.3,-0.3,-0.22,-0.22,-0.22,0.3
0078,GD EXPRESS CARRIER BERHAD,0.365,0.0,0.115,0.545,-20.23,-11.2,8.6,90.25,41.61,0.0,0.0,0.0,0.0,0.0,0.0,0.26
0079,ORION IXL BERHAD,0.075,-0.01,0.03,0.17,0.0,0.0,0.0,-12.25,0.0,-0.1,-0.1,-0.1,-0.08,-0.08,-0.08,0.08
0080,STRAITS INTER LOGISTICS BERHAD,0.165,0.01,0.13,0.24,262.76,0.0,0.0,5.25,0.0,0.0,0.1,0.1,0.0,0.08,0.08,0.17
0081,MEGA SUN CITY HOLDINGS BERHAD,0.13,-0.04,0.035,0.23,-39.59,-39.44,21.77,4.97,0.0,-13.9,-13.56,-0.16,-10.42,-10.17,-0.12,0.1
0083,NOTION VTEC BERHAD,0.875,0.01,0.273,2.34,2.33,0.0,-16.7,46.0,11.32,0.09,0.11,0.25,0.07,0.08,0.19,0.96
0084,TECHFAST HOLDINGS BERHAD,0.39,0.01,0.19,0.69,2.62,83.02,0.0,23.12,80.36,0.14,0.02,0.18,0.11,0.02,0.14,0.36
0085,MLABS SYSTEMS BERHAD,0.075,-0.03,0.046,0.371,0.0,0.0,0.0,-2.98,0.0,-0.3,-0.3,-0.3,-0.22,-0.22,-0.22,0.15
0086,YGL CONVERGENCE BERHAD,0.16,-0.03,0.09,0.2,0.0,0.0,0.0,-9.0,0.0,-0.3,-0.3,-0.3,-0.22,-0.22,-0.22,0.13
0089,TEX CYCLE TECHNOLOGY (M) BERHAD,0.415,0.01,0.14,0.555,-31.08,8.12,-2.67,29.84,15.2,0.83,0.07,0.16,0.62,0.05,0.12,0.28
0090,ELSOFT RESEARCH BERHAD,0.895,0.01,0.385,1.04,-18.76,-3.84,26.08,42.84,54.94,0.48,0.22,0.05,0.36,0.16,0.04,0.6
0091,DAYA MATERIALS BERHAD,0.01,-0.02,0.005,0.025,0.0,0.0,0.0,15.0,0.0,-0.2,-0.2,-0.2,-0.15,-0.15,-0.15,0.01
0093,SOLUTION GROUP BERHAD,1.3,-0.0,0.045,2.0,0.0,0.0,0.0,5.5,22.51,0.0,0.0,0.0,0.0,0.0,0.0,0.69
0095,MAG HOLDINGS BERHAD,0.19,-0.13,0.155,0.325,0.0,0.0,0.0,-0.49,0.0,-1.3,-1.3,-1.3,-0.98,-0.98,-0.98,0.21
0097,VITROX CORPORATION BERHAD,16.6,0.19,6.09,16.9,6.92,9.85,44.57,31.4,13.99,1.53,1.34,0.47,1.15,1.01,0.35,9.66
0098,BAHVEST RESOURCES BERHAD,0.55,-0.14,0.225,0.845,0.0,0.0,0.0,-4.0,0.0,-1.4,-1.4,-1.4,-1.05,-1.05,-1.05,0.43
0099,SCICOM (MSC) BERHAD,0.985,0.06,0.48,1.16,-21.4,-8.68,10.08,15.56,78.21,5.11,1.81,0.66,3.83,1.36,0.5,0.7
0100,ES CERAMICS TECHNOLOGY BHD,0.63,0.02,0.065,1.035,-28.84,-17.92,2.41,28.75,11.93,2.1,0.79,0.17,1.58,0.59,0.13,0.39
0101,TMC LIFE SCIENCES BERHAD,0.725,0.01,0.365,0.785,24.4,16.41,-11.43,11.25,0.0,0.04,0.05,0.2,0.03,0.04,0.15,0.5
0102,CONNECTCOUNTY HOLDINGS BERHAD,0.21,-0.01,0.045,0.39,0.0,0.0,0.0,0.5,0.0,-0.1,-0.1,-0.1,-0.08,-0.08,-0.08,0.16
0104,GENETEC TECHNOLOGY BERHAD,2.76,0.03,1.03,3.18,0.0,0.0,0.0,2.78,4.39,0.31,0.31,0.31,0.23,0.23,0.23,1.74
0105,ASIA POLY HOLDINGS BERHAD,0.27,0.01,0.03,0.6,0.0,0.0,0.0,5.5,19.04,0.12,0.12,0.12,0.09,0.09,0.09,0.22
0106,REXIT BERHAD,1.0,0.05,0.355,1.23,7.72,11.21,3.9,14.98,85.05,0.62,0.55,0.76,0.46,0.41,0.57,0.64
0107,EDUSPEC HOLDINGS BERHAD,0.02,-0.03,0.015,0.07,0.0,0.0,0.0,12.84,0.0,-0.3,-0.3,-0.3,-0.22,-0.22,-0.22,0.03
0108,N2N CONNECT BERHAD,0.71,0.04,0.343,0.995,6.6,12.06,0.0,13.25,47.1,0.43,0.33,0.59,0.32,0.25,0.44,0.56
0111,K-ONE TECHNOLOGY BERHAD,0.335,-0.0,0.09,0.705,0.0,-21.57,12.85,6.75,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.29
0112,MIKRO MSC BERHAD,0.21,0.01,0.13,0.255,-39.8,-23.51,-5.92,23.88,59.64,4.8,0.73,0.29,3.6,0.55,0.22,0.17
0113,MMS VENTURES BERHAD,1.27,0.02,0.325,1.44,-6.89,-5.77,0.0,6.69,26.29,0.39,0.34,0.25,0.29,0.26,0.19,0.69
0116,FOCUS DYNAMICS GROUP BERHAD,0.695,0.0,0.165,0.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41
0117,SMRT HOLDINGS BERHAD,0.11,-0.07,0.015,0.175,0.0,0.0,0.0,14.86,4.7,-0.73,-0.73,-0.73,-0.55,-0.55,-0.55,0.07
0118,TRIVE PROPERTY GROUP BERHAD,0.16,-0.0,0.075,0.452,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
0119,APPASIA BERHAD,0.64,-0.0,0.1,0.91,0.0,0.0,0.0,-9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37
