code,category,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE,ROE2,D/E,D/E2
0001,Health Care,1.79,0.314,2.38,0.3398,61.0,0.03,1.68,0.02,0.84,8.59,9.65,0.0,0.0
0002,Health Care,2.83,1.6,4.45,1.31,16.0,0.18,6.36,0.09,3.18,13.88,16.33,0.08,0.1
0005,Technology,0.145,0.035,0.23,0.06,-9.0,-0.02,-13.79,0.0,0.0,-25.5,-72.17,0.0,0.01
0006,Technology,0.68,0.18,0.75,0.46,-16.0,-0.04,-5.88,0.0,0.0,-9.11,0.09,0.12,0.0
0008,Technology,0.425,0.3,0.585,0.34,19.0,0.02,4.71,0.02,3.53,6.76,9.33,0.02,0.02
0010,Technology,0.435,0.06,0.45,0.0947,-121.0,-0.0,-0.0,0.0,0.0,-3.8,4.91,0.04,0.07
0011,Utilities,0.49,0.15,0.68,0.24,15.0,0.03,6.12,0.02,3.27,14.04,9.77,0.42,0.34
0012,Consumer Products & Services,0.8,0.53,1.03,0.749,13.0,0.06,7.5,0.02,2.75,8.52,8.69,0.03,0.04
0018,Technology,0.03,0.005,0.08,0.0543,-5.0,-0.01,-33.33,0.0,0.0,-10.31,15.59,0.0,0.0
0020,Technology,0.125,0.095,0.486,0.03,-7.0,-0.02,-16.0,0.0,0.0,-63.0,-14.98,0.02,0.02
0021,Technology,1.71,0.693,2.17,0.6261,127.0,0.01,0.58,0.0,0.0,2.16,6.77,0.04,0.06
0022,Consumer Products & Services,0.4,0.025,0.655,0.03,-25.0,-0.02,-5.0,0.0,0.0,-53.0,-8.63,0.2,0.16
0023,Technology,0.375,0.165,0.52,0.19,27.0,0.01,2.67,0.01,2.67,7.42,4.98,0.0,0.0
0024,Industrial Products & Services,0.205,0.1,0.4,0.3502,13.0,0.02,9.76,0.0,0.0,4.57,-7.78,0.12,0.14
0025,Industrial Products & Services,0.24,0.075,0.27,0.25,-194.0,-0.0,-0.0,0.0,0.0,-0.48,1.05,0.08,0.04
0026,Technology,0.085,0.015,0.135,0.0733,-20.0,-0.0,-0.0,0.0,0.0,-5.87,-6.27,0.01,0.02
0028,Industrial Products & Services,0.26,0.065,0.34,0.1544,-7.0,-0.03,-11.54,0.0,0.0,-22.54,-27.68,0.03,0.04
0029,Technology,0.075,0.015,0.21,0.07,-24.0,-0.0,-0.0,0.0,0.0,-4.57,-4.59,4.17,4.25
0034,Technology,0.41,0.12,1.97,0.1429,-29.0,-0.01,-2.44,0.0,0.0,-9.94,-29.9,0.13,0.19
0036,Technology,0.045,0.009,0.12,0.1277,4.0,0.01,22.22,0.0,0.0,9.24,-24.04,0.11,0.24
0037,Consumer Products & Services,0.125,0.1,0.215,0.15,-25.0,-0.0,-0.0,0.0,2.4,-3.27,16.0,0.09,0.09
0038,Industrial Products & Services,0.64,0.05,0.685,0.1187,-29.0,-0.02,-3.12,0.0,0.0,-18.45,-7.47,0.01,0.01
0039,Industrial Products & Services,0.165,0.06,0.255,0.24,41.0,0.0,0.0,0.0,1.03,1.67,6.16,2.61,3.11
0040,Technology,0.51,0.173,0.88,0.15,18.0,0.03,5.88,0.01,1.8,18.47,18.29,0.17,0.21
0041,Technology,1.1,0.04,1.88,0.2142,-78.0,-0.01,-0.91,0.0,0.0,-6.63,-18.99,0.01,0.01
0043,Industrial Products & Services,0.1,0.015,0.2,0.08,-9.0,-0.01,-10.0,0.0,0.0,-13.5,-19.72,0.0,0.0
0048,Transportation & Logistics,0.435,0.03,0.7,0.05,-777.0,-0.0,-0.0,0.0,0.0,-1.2,-1.55,0.23,0.25
0049,Consumer Products & Services,0.545,0.29,1.52,0.4025,33.0,0.02,3.67,0.01,1.47,4.05,8.18,0.04,0.01
0050,Technology,0.195,0.06,0.355,0.1481,-39.0,-0.0,-0.0,0.0,1.03,-3.38,1.58,0.12,0.11
0051,Technology,0.12,0.045,0.175,0.084,-6.0,-0.02,-16.67,0.0,0.0,-25.36,-37.32,0.04,0.0
0053,Financial Services,0.46,0.3,0.55,0.9,10.0,0.05,10.87,0.0,0.0,5.26,3.46,0.0,0.0
0054,Industrial Products & Services,0.2,0.085,0.355,0.22,25.0,0.01,5.0,0.01,5.0,3.59,6.72,0.07,0.07
0055,Industrial Products & Services,0.195,0.05,0.325,0.07,-64.0,-0.0,-0.0,0.0,0.0,-4.29,-4.14,0.0,0.0
0056,Technology,0.32,0.16,0.37,0.2017,-126.0,-0.0,-0.0,0.0,0.0,-1.24,2.5,0.0,0.01
0058,Industrial Products & Services,1.38,1.15,1.48,2.35,32.0,0.04,2.9,0.04,2.9,1.83,3.15,0.0,0.0
0060,Technology,0.045,0.02,0.11,0.1539,-11.0,-0.0,-0.0,0.0,0.0,-2.6,-15.41,0.27,0.06
0064,Industrial Products & Services,0.165,0.05,0.295,0.18,-22.0,-0.01,-6.06,0.0,0.0,-4.22,-6.19,0.0,0.0
0065,Technology,0.425,0.23,0.67,0.17,30.0,0.01,2.35,0.01,2.35,8.24,9.01,0.0,0.0
0066,Technology,0.035,0.01,0.14,0.0324,-8.0,-0.0,-0.0,0.0,0.0,-12.96,-27.0,0.0,0.01
0068,Technology,0.395,0.06,0.41,0.0329,-11.0,-0.04,-10.13,0.0,0.0,-111.25,-51.73,0.01,0.19
0069,Technology,0.96,0.15,2.05,0.08,148.0,0.01,1.04,0.0,0.0,8.13,-15.02,0.01,0.02
0070,Technology,0.115,0.01,0.305,0.05,-7.0,-0.02,-17.39,0.0,0.0,-33.0,-12.58,0.0,0.0
0072,Industrial Products & Services,0.165,0.015,0.3,0.0581,-48.0,-0.0,-0.0,0.0,0.0,-6.02,-27.85,0.09,0.25
0074,Consumer Products & Services,0.07,0.06,0.431,0.0535,-11.0,-0.01,-14.29,0.0,0.0,-11.78,9.16,0.0,0.0
0075,Health Care,0.295,0.12,0.68,0.05,-9.0,-0.03,-10.17,0.0,0.0,-62.8,-43.73,1.45,1.22
0078,Transportation & Logistics,0.365,0.115,0.545,0.09,97.0,0.0,0.0,0.0,0.55,4.22,3.85,0.1,0.15
0079,Technology,0.075,0.03,0.17,0.1317,-14.0,-0.01,-13.33,0.0,0.0,-4.1,-3.86,0.01,0.01
0080,Transportation & Logistics,0.165,0.13,0.24,0.1737,24.0,0.01,6.06,0.0,0.0,3.97,7.23,0.03,0.03
0081,Industrial Products & Services,0.13,0.035,0.23,0.22,-4.0,-0.04,-30.77,0.0,0.0,-16.59,1.63,0.01,0.02
0083,Technology,0.875,0.273,2.34,0.8355,72.0,0.01,1.14,0.0,0.0,1.46,1.83,0.12,0.13
0084,Industrial Products & Services,0.39,0.19,0.69,0.122,29.0,0.01,2.56,0.01,2.56,10.9,13.1,0.0,0.01
0085,Technology,0.075,0.046,0.371,0.045,-2.0,-0.03,-40.0,0.0,0.0,-77.33,-47.83,0.01,0.01
