code,ROE2,D/E,D/E2
4251,6.22,0.22,0.0
5084,8.99,0.37,0.31
5108,12.52,0.30,0.20
5255,-161.49,0.93,0.92
9113,-20.66,0.03,0.05
9687,35.48,0.03,0.0
5606,8.93,1.10,1.17
5227,8.37,0.32,0.32
5225,2.60,0.39,0.39
3336,4.26,0.45,0.48
2216,-2.46,0.57,0.49
5268,-14.90,0.16,0.12
7222,0.44,0.02,0.03
7243,-30.81,0.22,0.0
0166,17.58,0.02,0.01
2607,-1.75,0.0,0.0
9393,-17.74,0.0,0.0
6262,2.92,0.01,0.0
3379,4.83,0.02,0.04
0192,19.37,0.07,0.08
5614,8.23,0.31,0.31
1961,6.85,0.47,0.48
5249,3.56,0.55,0.54
5673,-38.35,0.11,0.12
5107,-1.52,0.04,0.0
7183,-40.63,0.05,0.42
8834,-20.72,0.47,0.25
1589,-0.81,0.32,0.29
5175,0.11,0.09,0.10
7043,-1.06,0.0,0.0
7223,0.37,0.04,0.0
4723,2.02,0.33,0.39
8648,-16.14,0.0,0.0
4383,-18.03,0.33,0.24
7152,12.66,0.05,0.03
0058,2.98,0.0,0.0
5161,-5.91,0.0,0.0
8931,1.56,0.0,0.01
8923,1.65,0.43,0.07
6769,0.45,0.15,0.15
3441,-70.38,4.68,3.29
7167,11.99,0.0,0.01
5172,-105.84,0.88,0.95
5192,1.27,0.03,0.03
8672,0.10,0.20,0.21
5247,0.52,0.05,0.02
0054,4.47,0.07,0.08
7216,7.24,0.03,0.04
3476,1.58,0.09,0.09
