code,ROE2,D/E,D/E2
2305,1.49,0.0,0.0
2445,7.29,0.45,0.48
2453,-0.33,0.0,0.0
2488,7.24,0.26,0.28
2542,4.19,0.0,0.0
2569,-1.46,0.0,0.01
2593,1.24,0.04,0.05
2607,-2.57,0.0,0.0
2658,12.46,0.13,0.0
2828,13.75,0.04,0.07
2836,102.53,0.06,0.02
2852,7.18,0.29,0.30
3026,47.18,0.02,0.02
3034,10.12,0.46,0.46
3042,-0.75,0.02,0.02
3069,18.56,0.28,0.28
3107,2.09,0.03,0.02
3158,-1.15,0.26,0.26
3182,-3.00,1.07,1.07
3204,8.49,0.0,0.0
3255,41.48,0.01,0.02
3298,6.82,0.0,0.0
3301,10.24,0.01,0.01
3336,4.06,0.46,0.46
3379,0.85,0.02,0.02
3417,-10.38,0.63,0.45
3514,7.03,0.02,0.02
3662,0.50,0.21,0.23
3689,15.72,0.01,0.0
3719,14.15,0.0,0.0
3743,2.87,0.31,0.22
3778,-0.44,0.08,0.09
3816,-0.13,0.34,0.35
3859,0.87,0.32,0.32
3867,11.55,0.01,0.02
3883,8.20,0.10,0.09
3948,-2.12,0.0,0.0
4006,1.70,0.04,0.04
4065,5.95,0.01,0.01
4081,-2.79,0.0,0.0
4162,63.54,0.05,0.05
4197,5.52,0.10,0.10
4243,-17.90,0.18,0.18
4251,0.32,0.24,0.20
4324,12.01,0.22,0.26
4405,-5.65,0.03,0.03
4588,4.19,0.39,0.40
4707,90.46,0.35,0.47
4715,-13.55,0.66,0.66
4731,16.30,0.13,0.14
