code,ROE2,D/E,D/E2
5232,7.62,0.18,0.14
6633,14.97,0.61,0.80
8745,-33.65,0.07,0.08
7170,0.0,0.0,0.0
3573,-7.11,0.07,0.07
7089,18.60,0.03,0.01
6645,26.94,0.53,0.83
4235,-8.93,0.03,0.02
8486,1.65,0.0,0.0
7126,3.54,0.20,0.26
5284,3.67,0.0,0.0
8303,0.0,0.05,0.0
8621,15.62,0.03,0.02
7085,8.77,0.20,0.22
5068,7.77,0.0,0.01
5143,12.71,0.0,0.0
9199,6.35,0.0,0.0
1198,-5.04,0.01,0.0
7617,-9.90,0.0,0.25
7087,20.64,0.0,0.0
3859,4.27,0.28,0.29
8583,2.26,0.09,0.09
8141,2.03,0.05,0.06
5264,5.02,1.73,1.73
1155,10.45,0.79,0.79
3794,-11.84,0.11,0.11
3662,4.52,0.22,0.22
3891,-22.61,0.81,0.75
5014,7.38,0.42,0.54
1171,8.62,0.23,0.25
5186,-1.43,0.09,0.08
6548,-84.71,0.0,0.01
5916,10.74,0.33,0.14
5098,1.03,0.21,0.22
5077,-1.96,1.24,1.24
3867,10.45,0.02,0.0
1651,2.10,0.23,0.16
4936,-3.16,0.0,0.0
6181,2.88,0.11,0.14
1058,3.21,0.0,0.0
3514,7.41,0.01,0.0
5078,108.95,14.82,4.94
7029,6.91,0.04,0.06
5236,17.24,0.12,0.15
6012,21.36,1.12,1.12
7189,23.72,0.20,0.35
5983,11.01,0.01,0.05
7004,-7.90,0.14,0.01
5182,9.58,0.19,0.20
5090,-6.18,0.01,0.0
