code,ROE2,D/E,D/E2
5162,8.78,0.0,0.0
5142,7.01,0.44,0.14
7203,5.51,0.0,0.04
5016,2.25,0.06,0.05
7226,-5.42,0.0,0.0
3565,2.92,3.81,3.88
9679,3.41,0.55,0.90
0197,23.11,0.21,0.24
7231,32.87,0.0,0.0
5246,23.75,0.53,0.52
5009,-3.49,0.0,0.01
7692,4.28,0.06,0.07
0008,7.34,0.02,0.0
6378,0.0,0.0,0.0
7050,8.63,0.25,0.26
7025,4.26,0.01,0.01
4243,7.14,0.11,0.11
7245,-51.60,0.08,0.10
7121,-1.86,0.0,0.0
5156,1.64,0.0,0.0
5267,1.00,0.49,0.34
7003,4.17,0.02,0.03
7178,10.04,0.11,0.10
5584,6.04,0.04,0.03
5048,-1.53,0.0,0.0
7293,7.89,0.99,0.83
7020,-119.70,0.52,0.33
7014,-12.99,0.01,0.01
3158,1.69,0.25,0.17
7066,-22.48,0.33,0.47
5159,10.40,0.05,0.04
4677,1.77,2.98,2.32
5109,3.84,0.38,0.37
6742,3.72,2.11,1.51
7028,-8.41,0.0,0.01
2283,-41.56,9.80,8.04
5131,8.19,0.0,0.0
