code,ROE2,D/E,D/E2
5130,7.95,0.79,0.66
5131,7.79,0.0,0.0
5132,2.13,0.05,0.07
5133,4.19,0.02,0.04
5134,5.35,0.01,0.01
5135,10.80,0.06,0.08
5136,28.12,0.19,0.15
5138,5.36,0.03,0.03
5139,12.26,3.23,3.48
5140,2.20,0.51,0.58
5142,-35.06,0.43,0.43
5143,14.82,0.0,0.0
5147,23.59,0.05,0.06
5151,23.10,0.05,0.06
5159,6.29,0.01,0.02
5160,14.22,0.0,0.0
5162,11.46,0.01,0.01
5167,4.89,0.02,0.02
5168,18.08,0.06,0.08
5171,1.10,0.17,0.19
5176,4.35,0.44,0.04
5180,-3.35,0.52,0.52
5183,5.39,0.09,0.10
5185,2.44,0.37,0.36
5191,3.89,0.15,0.16
5195,-77.16,0.0,0.20
5196,-5.61,1.12,1.26
5197,-5.47,0.0,0.0
5199,-4.01,0.01,0.01
5200,7.47,0.0,0.0
5208,9.64,0.10,0.10
5209,20.03,0.11,0.11
5211,4.01,0.24,0.30
5212,1.18,0.31,0.28
5216,3.03,0.20,0.20
5219,10.32,1.19,1.35
5222,3.47,1.41,1.38
5225,0.82,0.42,0.43
5226,-11.36,0.04,0.04
5227,6.24,0.32,0.32
5228,8.35,0.28,0.43
5232,7.80,0.14,0.16
5235SS,8.58,0.39,0.39
5236,16.19,0.11,0.15
5246,24.29,0.43,0.42
5247,0.05,0.08,0.05
5248,19.49,0.31,0.14
5249,2.41,0.52,0.51
5250,35.29,11.40,13.35
5254,1.67,0.21,0.22
