code,ROE2,D/E,D/E2
4502,7.44,0.32,0.0
3069,10.64,0.02,0.02
5129,1.18,0.0,0.0
3778,10.73,0.07,0.07
1694,0.73,0.0,0.65
5223,2.74,0.15,0.12
8192,-0.30,0.03,0.03
5040,-18.00,0.06,0.11
7234,-7.29,0.03,0.06
5011,-0.77,0.03,0.03
6149,2.15,0.65,0.61
0043,-17.90,0.0,0.0
7595,8.15,0.19,0.24
5026,1.31,0.25,0.26
5286,13.83,0.01,0.01
5001,-16.34,0.29,0.35
7935,-4.71,0.01,0.02
5166,-6.68,1.14,0.11
7219,-20.73,0.16,0.22
5576,3.31,0.03,0.05
5886,1.51,0.0,0.0
3816,4.07,0.24,0.22
9571,6.09,0.06,0.07
8893,0.53,0.01,0.01
6114,5.22,0.16,0.19
2194,2.31,0.95,0.85
0113,15.50,0.0,0.0
6459,5.71,0.15,0.15
5237,0.91,0.01,0.0
5123,2.16,0.38,0.38
0041,-54.66,0.0,0.0
5202,-16.56,0.37,0.37
5924,-5.91,0.01,0.01
5152,11.32,0.01,0.02
3883,7.80,0.13,0.13
5085,-89.40,3.65,1.98
5703,13.33,0.05,0.06
3913,6.53,0.0,0.0
3905,-6.92,0.24,0.24
9539,-0.78,0.0,0.0
0138,42.26,0.18,0.21
5087,-3.04,0.08,0.05
5275,10.12,0.21,0.20
5073,5.64,0.11,0.15
9806,-92.07,0.0,0.0
2038,-0.30,0.0,0.0
4707,102.01,0.20,0.27
7060,3.17,0.01,0.02
7241,-1.51,0.04,0.04
7215,2.51,0.0,0.0
