code,ROE2,D/E,D/E2
7139,-9.03,0.01,0.01
7145,20.11,0.23,0.0
7146,-1.51,0.07,0.01
7154,-8.68,0.13,0.14
7158,0.0,0.0,0.0
7163,1.41,0.0,0.0
7164,3.73,0.42,0.39
7165,-4.71,0.0,0.0
7168,-8.48,0.43,0.46
7170,-4.81,0.0,0.0
7176,-29.50,0.22,0.28
7180,17.15,0.09,0.16
7181,31.10,0.0,0.0
7182,0.0,0.0,0.0
7183,-40.63,0.07,0.42
7184,-40.42,0.0,0.0
7186,-2.55,0.08,0.10
7187,3.19,0.01,0.02
7188,-18.78,0.07,0.06
7192,-81.29,1.18,0.75
7195,-49.14,0.0,0.0
7197,2.26,0.47,0.52
7198,8.69,0.07,0.07
7199,2.31,0.17,0.13
7206,0.0,5.35,5.78
7208,2.25,0.13,0.14
7209,-2.70,0.0,0.01
7211,-26.09,0.01,0.02
7212,-97.73,0.21,0.21
7215,2.20,0.0,0.0
7218,-8.02,0.02,0.03
7219,-15.87,0.16,0.17
7221,0.34,0.05,0.07
7223,-28.05,0.17,0.12
7226,-2.52,0.0,0.01
7228,4.43,0.58,0.73
7234,-33.23,0.02,0.03
7239,1.70,0.14,0.18
7240,-21.42,0.03,0.04
7241,3.54,0.05,0.06
7243,-30.81,1.94,0.0
7245,-51.60,0.11,0.10
7246,-3.89,0.19,0.23
7250,-4.85,0.78,0.85
7251,0.0,0.0,0.0
7253,-31.91,0.02,0.02
7285,-0.33,0.03,0.04
7315,-23.68,0.15,0.16
7323,2.66,0.0,0.0
7382,-4.59,0.32,0.24
