code,ROE2,D/E,D/E2
7132,-7.98,0.07,0.11
5242,1.00,0.10,0.14
4375,2.46,0.07,0.07
5134,3.62,0.02,0.0
5665,-13.08,0.29,0.10
7103,6.33,0.0,0.01
6084,0.61,0.02,0.0
5006,-10.36,0.02,0.03
6904,-6.19,0.44,0.41
7207,4.84,0.01,0.05
1201,-0.51,0.0,0.0
2569,-1.08,0.01,0.0
3743,14.47,0.17,0.17
5211,7.91,0.24,0.24
5263,21.30,0.10,0.10
5176,8.45,0.0,0.0
7235,8.50,0.06,0.06
7106,11.53,0.06,0.05
6521,4.77,0.0,0.0
7186,-1.05,0.16,0.14
6139,33.07,0.0,0.0
9717,0.97,0.17,0.17
7082,-16.44,0.19,0.05
1538,10.75,0.33,0.42
7228,5.00,0.10,0.11
5012,5.54,0.22,0.24
4898,3.11,0.27,0.28
5158,3.40,0.21,0.22
7097,4.17,0.0,0.0
4022,1.62,0.02,0.18
7211,-9.85,0.01,0.03
2259,-7.04,0.11,0.01
8524,7.29,0.40,0.43
5191,9.32,0.19,0.06
4405,3.76,0.19,0.18
5149,2.47,0.07,0.0
5140,3.56,0.72,0.78
4448,-4.85,0.0,0.0
2054,-5.88,0.67,0.57
5289,6.57,0.0,0.0
7439,3.36,0.01,0.0
7200,-21.16,0.10,0.0
4863,8.50,1.27,1.27
5347,7.82,1.20,1.20
9369,7.15,0.07,0.0
7252,11.54,0.19,0.20
8702,-2.44,0.18,0.07
7206,0.0,0.0,0.0
