code,ROE2,D/E,D/E2
7412,-4.04,0.09,0.10
7439,14.20,0.37,0.37
7471,-3.22,0.15,0.12
7498,0.32,0.03,0.03
7544,-1.99,0.05,0.05
7595,3.46,0.12,0.10
7609,0.34,0.0,0.0
7617,-36.37,0.06,0.06
7676,1.64,0.01,0.02
7692,1.78,0.06,0.06
7765,3.43,0.84,0.86
7773,-5.94,0.10,0.11
7854,-0.85,0.04,0.0
7889,-3.23,0.05,0.07
7935,-12.89,0.01,0.01
7943,-1.65,0.0,0.05
7986,-12.30,0.01,0.01
8044,-4.17,0.0,0.0
8052,-6.17,0.0,0.01
8133,-55.77,0.95,0.95
8141,17.71,0.06,0.06
8192,-6.23,0.01,0.01
8338,-41.67,0.01,0.01
8346,-68.46,0.36,0.34
8362,-1.25,0.26,0.28
8397,0.10,1.13,1.06
8435,-20.67,0.02,0.03
8478,4.75,0.05,0.06
8486,5.62,0.0,0.0
8532,1.76,0.0,0.0
8567,-1.39,0.04,0.01
8605,5.82,0.04,0.04
8648,-5.78,0.0,0.0
8672,-1.13,0.24,0.23
8702,-0.98,0.34,0.39
8745,-30.73,0.0,0.0
8761,3.91,0.07,0.07
8834,-41.40,0.39,0.47
8885,-10.36,0.29,0.25
8907,-4.67,0.14,0.02
8923,9.75,0.0,0.0
8931,0.0,0.09,0.0
9008,14.40,0.06,0.07
9016,-8.09,0.04,0.02
9075,-10.57,0.05,0.06
9083,-11.05,0.30,0.33
9091,1.36,0.08,0.05
9113,9.36,0.02,0.03
9121,-3.66,0.11,0.13
9148,2.09,0.0,0.0
