code,ROE2,D/E,D/E2
7139,-4.45,0.01,0.01
0083,1.83,0.11,0.13
5047,-14.41,0.02,0.0
5066,1.96,0.14,0.13
5025,-18.27,0.0,0.0
4944,-0.99,0.14,0.12
5533,-2.31,0.07,0.09
0049,7.35,0.0,0.0
0172,5.68,0.84,0.74
7071,6.29,0.42,0.15
7140,6.14,0.0,0.0
3018,2.95,0.37,0.37
9008,-12.35,0.04,0.07
5260,-1.01,0.23,0.28
7107,7.59,0.06,0.08
4006,8.08,0.0,0.01
5827,13.65,0.20,0.22
5065,5.89,0.04,0.04
5053,8.60,0.28,0.28
7225,4.28,0.01,0.02
7095,8.29,0.0,0.0
6009,-2.74,0.20,0.12
7052,22.99,0.64,0.0
4081,-1.89,0.0,0.0
1287,-2.87,0.41,0.40
3719,12.31,0.0,0.0
8419,4.44,0.0,0.0
5125,8.33,0.10,0.08
5022,0.76,0.0,0.0
3611,-1.25,0.11,0.20
9407,6.84,0.28,0.28
1724,7.32,0.62,0.35
5657,-6.04,2.88,1.13
6912,-5.93,0.0,0.0
5212,6.60,0.54,0.54
5041,-13.61,0.44,0.11
6068,15.42,0.14,0.07
6254,-31.79,0.0,0.0
5271,10.22,0.0,0.0
4464,-27.46,0.0,0.11
7190,1.72,0.11,0.11
5231,1.54,0.22,0.22
9997,0.50,0.11,0.21
7160,20.95,0.01,0.01
8346,-31.43,0.11,0.38
0186,12.97,0.86,0.86
7108,-8.57,0.20,0.0
7080,-4.65,0.0,0.0
8311,4.63,0.49,0.47
5219,16.82,1.36,1.39
