code,ROE2,D/E,D/E2
4057,5.17,0.24,0.20
7162,6.37,0.05,0.0
7054,-2.60,0.06,0.06
6399,74.73,3.91,5.29
8176,21.54,0.17,0.16
7048,7.59,0.23,0.06
5130,1.57,0.54,0.54
7099,2.58,0.01,0.01
8885,-14.40,0.22,0.22
7579,11.81,0.07,0.08
6888,8.66,1.03,1.03
5106,11.18,0.24,0.24
2305,2.57,0.0,0.0
5021,5.88,0.06,0.0
7005,3.29,0.03,0.03
7251,-69.13,0.0,0.84
1899,5.94,1.03,1.00
6602,8.32,0.42,0.51
5190,-0.03,0.32,0.29
3239,-3.64,0.29,0.30
3395,-5.16,0.62,0.55
5196,0.30,0.77,0.36
4219,-4.32,0.53,0.44
6025,-187.92,0.0,0.0
1562,30.63,1.20,0.73
5248,50.71,0.13,0.0
9814,-10.39,0.03,0.11
5258,14.27,0.41,0.43
6173,-8.66,0.07,0.08
5932,1.34,0.71,0.76
6998,0.44,1.36,1.25
5032,9.93,1.05,1.05
5069,4.88,0.19,0.09
0168,13.47,0.02,0.02
9288,4.41,0.27,0.09
7036,-0.97,0.02,0.02
8133,-37.53,0.05,0.02
2771,-6.85,0.59,0.41
5254,-1.97,0.24,0.14
6297,-5.78,0.46,0.43
5100,11.39,0.0,0.0
9474,-230.43,0.0,0.0
8761,2.66,0.09,0.12
9938,1.66,0.0,0.0
4162,85.33,0.06,0.06
7221,1.24,0.08,0.07
7188,-9.06,0.04,0.06
5210,-51.98,2.05,0.99
1818,22.72,0.01,0.01
2828,9.03,0.07,0.08
