code,ROE2,D/E,D/E2
5250,61.69,6.06,0.48
7214,8.62,0.01,0.0
7086,-2.18,0.0,0.0
5198,2.69,0.07,0.08
7131,12.88,0.0,0.0
7120,-7.53,0.17,0.06
1481,-1.15,0.28,0.16
5281,5.96,0.34,0.43
9148,3.49,0.0,0.0
7191,0.17,0.05,0.28
7146,-3.50,0.06,0.0
6599,5.28,1.45,0.17
5139,18.27,2.80,3.00
5185,5.94,0.40,0.36
7145,1.35,0.0,0.07
7315,4.09,0.0,0.0
7078,3.14,5.24,5.00
5099,24.85,2.21,0.10
5238,-38.60,25.53,0.86
2658,12.54,0.0,0.0
7609,1.46,0.0,0.0
5116,7.99,0.68,0.68
5269,5.81,0.14,0.14
5115,-34.22,0.19,0.22
2674,2.86,1.07,1.14
2488,9.61,0.30,0.29
1163,12.10,0.01,0.01
2682,-2.98,0.01,0.0
4952,4.53,0.45,0.44
5127,4.57,0.62,0.62
1007,2.49,0.27,0.36
5120,2.63,0.83,0.82
1015,8.80,0.35,0.44
7031,10.14,0.0,0.0
6351,23.30,0.03,0.03
7083,1.50,0.04,0.04
4758,4.78,0.21,0.16
6556,11.72,0.01,0.0
9342,-2.39,0.0,0.0
5568,-0.79,0.0,0.0
5088,2.00,0.0,0.0
7090,16.07,0.05,0.06
5015,3.12,0.01,0.0
6432,7.13,0.0,0.0
7181,49.84,0.0,0.0
7007,-16.58,0.0,0.0
7722,3.20,0.03,0.0
7129,8.07,0.01,0.0
0159,-222.16,0.0,0.0
