code,ROE2,D/E,D/E2
0177,-65.11,0.17,0.26
0178,-40.52,0.11,0.03
0179,-25.21,0.05,0.05
0180,3.39,0.17,0.19
0181,-4.11,0.17,0.13
0182,7.37,0.06,0.08
0185,4.94,0.21,0.22
0191,-9.86,0.13,0.13
0195,3.81,0.22,0.25
0196,8.39,0.16,0.17
0200,12.70,0.04,0.09
0202,2.48,0.0,0.0
0203,-12.54,0.0,0.0
0208,36.43,0.06,0.06
0212,6.43,0.50,0.67
0217,25.24,0.02,0.0
0220,15.73,0.03,0.03
0222,12.59,0.44,0.44
0223,29.18,0.03,0.02
0226,26.25,0.09,0.26
0227,34.26,0.01,0.02
0229,36.42,0.44,0.71
0231,23.87,0.26,0.31
0232,4.71,0.0,0.0
0233,17.09,0.0,0.13
0235,16.32,0.0,0.14
1147,-10.30,0.52,0.62
1198,7.79,0.03,0.03
1201,-0.51,0.0,0.0
1287,-10.54,0.44,0.44
1503,-4.31,0.47,0.75
1589,-0.21,0.0,0.0
1643,3.42,0.07,0.07
1694,0.87,1.43,1.05
1902,69.16,0.0,0.0
2097,-7.39,0.31,0.15
2143,-11.38,0.12,0.12
2224,-0.53,0.22,0.16
2259,-7.04,0.14,0.01
2283,53.61,4.98,5.43
2429,-11.23,0.24,0.24
2674,1.07,1.14,1.15
2682,-3.00,0.21,0.20
2739,-143.73,0.03,0.06
2755,12.26,0.0,0.0
2771,-13.66,0.81,0.81
2925,-5.36,0.38,0.39
2984,1.00,0.01,0.01
3018,-7.29,0.41,0.41
