code,category,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE,ROE2,D/E,D/E2
0001,Industrial Products & Services,1.33,0.315,1.2,0.32,45.0,0.03,2.26,0.02,1.13,9.16,9.65,0.0,0.0
0002,Health Care,2.99,1.6,3.35,1.25,15.0,0.19,6.35,0.07,2.47,15.52,13.64,0.12,0.18
0005,Technology,0.17,0.035,0.245,0.0804,-58.0,-0.0,-0.0,0.0,0.0,-3.61,18.35,0.0,0.0
0006,Technology,0.3,0.18,0.39,0.5,-7.0,-0.04,-13.33,0.0,0.0,-8.42,0.09,0.0,0.0
0008,Technology,0.495,0.3,0.645,0.34,20.0,0.02,4.04,0.02,3.03,7.35,9.33,0.01,0.02
0010,Technology,0.145,0.06,0.17,0.0986,11.0,0.01,6.9,0.0,0.0,13.69,16.41,0.07,0.11
0011,Utilities,0.355,0.15,0.28,0.25,11.0,0.03,8.45,0.02,4.51,12.84,9.77,0.34,0.34
0012,Consumer Products & Services,0.76,0.53,0.92,0.7240000000000001,12.0,0.06,7.89,0.02,2.63,8.65,8.69,0.03,0.04
0018,Technology,0.02,0.005,0.07,0.0585,5.0,0.0,0.0,0.0,0.0,6.84,15.59,0.0,0.0
0020,Technology,0.01,0.005,0.025,0.02,-2.0,-0.0,-0.0,0.0,0.0,-21.5,-14.98,0.02,0.02
0021,Technology,1.97,1.04,2.1,0.5883,62.0,0.03,1.52,0.0,0.0,5.37,6.77,0.05,0.06
0022,Consumer Products & Services,0.08,0.025,0.175,0.04,-24.0,-0.0,-0.0,0.0,0.0,-8.25,-8.63,0.16,0.16
0023,Technology,0.345,0.165,0.57,0.2,31.0,0.01,2.9,0.01,2.9,5.5,4.98,0.0,0.0
0024,Industrial Products & Services,0.08,0.025,0.1,0.085,-35.0,-0.0,-0.0,0.0,0.0,-2.71,-7.78,0.13,0.14
0025,Industrial Products & Services,0.14,0.075,0.195,0.24,97.0,0.0,0.0,0.0,0.0,0.58,4.8,0.05,0.03
0026,Technology,0.05,0.015,0.115,0.08,-140.0,-0.0,-0.0,0.0,0.0,-0.5,17.46,0.02,0.0
0028,Industrial Products & Services,0.1,0.065,0.22,0.1868,-10.0,-0.01,-10.0,0.0,0.0,-5.25,-4.29,0.04,0.04
0029,Technology,0.055,0.015,0.07,0.09,-16.0,-0.0,-0.0,0.0,0.0,-3.67,-4.59,4.22,4.25
0034,Technology,0.32,0.12,0.4,0.1545,-11.0,-0.03,-9.38,0.0,0.0,-19.03,-24.34,0.15,0.15
0036,Technology,0.06,0.01,0.14,0.1247,-4.0,-0.02,-33.33,0.0,0.0,-12.67,-9.32,0.17,0.01
0037,Consumer Products & Services,0.145,0.1,0.225,0.17,6.0,0.03,20.69,0.0,2.07,15.12,16.0,0.09,0.09
0038,Industrial Products & Services,0.16,0.05,0.245,0.1543,-19.0,-0.01,-6.25,0.0,0.0,-5.51,-16.32,0.01,0.02
0039,Industrial Products & Services,0.18,0.06,0.51,0.23,50.0,0.0,0.0,0.0,0.0,1.57,6.16,3.0,3.11
0040,Technology,0.635,0.26,0.68,0.22,17.0,0.04,6.3,0.02,2.36,17.14,18.29,0.2,0.21
0041,Technology,0.16,0.04,0.25,0.2202,-7.0,-0.02,-12.5,0.0,0.0,-10.4,-54.66,0.0,0.0
0043,Industrial Products & Services,0.045,0.015,0.08,0.09,-4.0,-0.01,-22.22,0.0,0.0,-11.89,-17.9,0.0,0.0
0045,Technology,0.035,0.03,0.085,-0.0197,-6.0,-0.01,-28.57,0.0,0.0,30.46,0.0,0.0,0.0
0048,Transportation & Logistics,0.08,0.03,0.105,0.05,216.0,0.0,0.0,0.0,0.0,0.8,-1.45,0.33,0.2
0049,Consumer Products & Services,0.635,0.29,1.02,0.4015,22.0,0.03,4.72,0.01,1.57,7.22,7.35,0.0,0.0
0050,Technology,0.205,0.06,0.245,0.153,-114.0,-0.0,-0.0,0.0,0.98,-1.18,0.77,0.11,0.12
0051,Technology,0.115,0.045,0.235,0.1,-11.0,-0.01,-8.7,0.0,0.0,-10.4,-37.32,0.04,0.0
0053,Financial Services,0.41,0.3,0.58,0.83,-6.0,-0.07,-17.07,0.0,0.0,-7.86,3.46,0.0,0.0
0054,Industrial Products & Services,0.205,0.085,0.22,0.22,14.0,0.01,4.88,0.0,2.2,6.68,4.47,0.07,0.08
0055,Industrial Products & Services,0.125,0.05,0.155,0.07,-51.0,-0.0,-0.0,0.0,0.0,-3.57,-4.63,0.0,0.01
0056,Technology,0.25,0.165,0.3,0.2,44.0,0.01,4.0,0.0,2.0,2.8,2.5,0.01,0.01
0058,Industrial Products & Services,1.23,1.15,1.56,2.4,17.0,0.07,5.69,0.04,3.25,2.99,2.98,0.0,0.0
0060,Technology,0.065,0.02,0.27,0.2813,-7.0,-0.01,-15.38,0.0,0.0,-3.16,0.4,0.4,0.0
0064,Industrial Products & Services,0.125,0.05,0.205,0.17,-11.0,-0.01,-8.0,0.0,0.0,-6.76,-5.37,0.0,0.0
0065,Technology,0.48,0.23,0.745,0.16,45.0,0.01,2.08,0.01,2.08,6.63,9.01,0.0,0.0
0066,Technology,0.045,0.01,0.172,0.0409,-25.0,-0.0,-0.0,0.0,0.0,-4.4,-9.72,0.02,0.0
0068,Technology,0.12,0.06,0.23,0.0555,-5.0,-0.03,-25.0,0.0,0.0,-47.57,-51.73,0.01,0.19
0069,Technology,0.02,0.015,0.025,0.08,120.0,0.0,0.0,0.0,0.0,0.25,-15.02,0.02,0.02
0070,Technology,0.04,0.01,0.03,0.07,-4.0,-0.01,-25.0,0.0,0.0,-15.14,-12.58,0.0,0.0
0072,Industrial Products & Services,0.13,0.015,0.195,0.1168,-18.0,-0.01,-7.69,0.0,0.0,-6.34,-12.92,0.21,0.17
0074,Consumer Products & Services,0.13,0.075,0.155,0.0529,-5.0,-0.02,-15.38,0.0,0.0,-45.18,9.16,0.0,0.0
0075,Technology,0.355,0.12,0.54,0.06,-16.0,-0.02,-5.63,0.0,0.0,-36.67,-27.46,1.28,0.61
0078,Transportation & Logistics,0.355,0.115,0.445,0.09,97.0,0.0,0.0,0.0,0.7,4.11,6.99,0.15,0.04
0079,Technology,0.055,0.03,0.15,0.1459,-16.0,-0.0,-0.0,0.0,0.0,-2.4,1.74,0.0,0.0
0080,Transportation & Logistics,0.185,0.13,0.26,0.17,17.0,0.01,5.41,0.0,0.0,6.41,7.23,0.03,0.03
0081,Industrial Products & Services,0.095,0.035,0.18,0.3,-26.0,-0.0,-0.0,0.0,0.0,-1.23,1.63,0.0,0.02
0083,Technology,0.66,0.273,0.92,1.246,14.0,0.05,7.58,0.01,1.52,3.87,1.83,0.12,0.13
0084,Industrial Products & Services,0.39,0.19,0.575,0.12300000000000001,24.0,0.02,5.13,0.01,2.56,13.25,13.1,0.01,0.01
0085,Technology,0.035,0.01,0.075,0.081,-7.0,-0.0,-0.0,0.0,0.0,-6.17,-10.94,0.0,0.0
0086,Technology,0.125,0.09,0.2,0.0651,-20.0,-0.01,-8.0,0.0,0.0,-9.52,-12.81,0.0,0.0
0089,Industrial Products & Services,0.375,0.14,0.51,0.4158,28.0,0.01,2.67,0.01,1.6,3.27,4.81,0.08,0.08
0090,Technology,0.645,0.385,1.08,0.15,33.0,0.02,3.1,0.03,4.65,12.87,15.49,0.0,0.0
