code,nYear,Revenue start,Revenue end,EPS start,EPS end,OCF start,OCF end,ROE,ROE2,D/E,D/E2,P/E mid,EPS,EPS GR min,EY level,DY level,neg Revenue count,neg EPS count,neg OCF count,Revenue Growth,EPS Growth,OCF Growth,ROE Health,D/E Health,3G2H,PE Value,EPS GR Value
4731,10,695,3246,0.14,0.67,78,557,16.32,16.73,0.16,0.12,17.52,0.75,7.94,3,3,0,0,0,1.0,1.0,1.0,1.0,1.0,5.0,13.14,5.96
7277,10,1139,2386,0.03,0.1,201,334,15.08,14.7,0.35,0.35,60.21,0.11,16.35,1,1,3,0,0,0.5,1.0,1.0,1.0,1.0,4.5,6.62,1.8
2836,10,1368,2257,0.44,0.95,223,379,155.86,183.26,0.03,0.04,22.66,0.9,6.58,2,5,1,2,0,0.5,0.5,1.0,1.0,1.0,4.0,20.39,5.92
0208,5,21,216,0.05,0.11,8,104,28.13,39.4,0.09,0.1,10.91,0.1,32.52,1,0,2,2,0,0.5,0.5,1.0,1.0,1.0,4.0,1.09,3.25
7153,10,1047,2217,0.09,0.18,138,275,15.55,16.4,0.11,0.12,40.61,0.18,9.07,0,0,1,2,0,0.5,0.5,1.0,1.0,1.0,4.0,7.31,1.63
7087,10,377,1073,0.04,0.24,13,53,19.31,20.64,0.0,0.0,25.43,0.26,7.65,4,5,3,2,0,0.5,0.5,1.0,1.0,1.0,4.0,6.61,1.99
7231,10,97,170,0.03,0.07,18,49,30.08,32.87,0.0,0.0,36.52,0.07,4.61,3,5,3,2,0,0.5,0.5,1.0,1.0,1.0,4.0,2.56,0.32
0138,10,49,371,0.0,0.06,13,85,34.43,42.26,0.18,0.21,161.16,0.07,37.1,2,1,3,2,0,0.5,0.5,1.0,1.0,1.0,4.0,11.28,2.6
4707,10,4026,5518,1.67,2.87,509,726,72.7,102.01,0.2,0.27,39.2,2.66,1.84,0,3,2,1,0,0.5,0.5,1.0,1.0,1.0,4.0,104.27,4.89
7089,10,261,837,0.1,0.44,6,132,20.93,22.48,0.03,0.03,12.24,0.44,2.48,5,5,1,4,0,0.5,0.0,1.0,1.0,1.0,3.5,5.39,1.09
0200,5,14,58,0.01,0.02,1,2,10.36,21.66,0.09,0.11,35.5,0.02,23.24,0,0,1,2,0,0.5,0.5,1.0,0.5,1.0,3.5,0.71,0.46
5105,10,449,2284,0.13,3.72,31,191,35.37,55.86,0.45,0.43,5.56,3.16,33.65,5,3,2,6,0,0.5,0.0,1.0,1.0,1.0,3.5,17.57,106.33
0216,5,36,61,0.02,0.04,4,12,12.0,16.13,0.1,0.09,3.25,0.02,34.24,4,4,1,2,0,0.5,0.5,1.0,0.5,1.0,3.5,0.06,0.68
0090,10,11,34,0.01,0.03,2,14,12.87,15.49,0.0,0.0,42.84,0.02,26.08,1,5,1,2,0,0.5,0.5,1.0,0.5,1.0,3.5,0.86,0.52
0128,10,147,340,0.01,0.07,21,115,18.16,19.71,0.03,0.03,19.86,0.07,20.52,1,0,3,5,0,0.5,0.0,1.0,1.0,1.0,3.5,1.39,1.44
5277,6,30,45,0.02,0.02,9,10,16.9,15.64,0.0,0.0,21.38,0.03,2.54,2,2,3,3,0,0.5,0.0,1.0,1.0,1.0,3.5,0.64,0.08
0097,10,88,340,0.05,0.17,21,86,15.31,17.78,0.08,0.09,31.4,0.16,6.92,0,0,3,3,0,0.5,0.0,1.0,1.0,1.0,3.5,5.02,1.11
3034,10,2715,7096,0.17,0.47,109,366,15.6,16.19,0.43,0.42,15.04,0.47,3.31,3,5,1,0,4,0.5,1.0,0.0,1.0,1.0,3.5,7.07,1.56
1818,10,331,480,0.14,0.23,154,187,28.0,22.72,0.01,0.01,40.07,0.25,0.26,1,4,2,4,0,0.5,0.0,1.0,1.0,1.0,3.5,10.02,0.06
0002,10,102,173,0.09,0.16,3,37,15.52,13.64,0.12,0.18,44.5,0.19,7.78,3,3,2,3,0,0.5,0.0,1.0,1.0,1.0,3.5,8.46,1.48
0040,10,27,103,0.0,0.04,10,13,17.14,18.29,0.2,0.21,12.75,0.04,13.04,3,3,2,2,1,0.5,0.5,0.5,1.0,1.0,3.5,0.51,0.52
0187,6,35,93,0.0,0.02,3,11,10.17,19.7,0.1,0.11,9.0,0.01,10.27,2,0,0,1,1,1.0,0.5,0.5,0.5,1.0,3.5,0.09,0.1
0201,5,23,30,0.04,0.03,12,12,16.65,20.93,0.0,0.0,7.34,0.04,0.0,3,2,1,2,0,0.5,0.0,1.0,1.0,1.0,3.5,0.29,0.0
3255,10,1285,2320,0.47,1.04,0,411,70.45,81.8,0.01,0.01,22.0,1.05,5.75,2,5,2,2,1,0.5,0.5,0.5,1.0,1.0,3.5,23.1,6.04
5024,10,219,310,0.03,0.05,31,51,28.56,26.79,0.0,0.0,72.25,0.05,1.7,3,5,1,5,0,0.5,0.0,1.0,1.0,1.0,3.5,3.61,0.08
7100,10,101,157,0.13,0.17,49,84,42.13,48.53,0.0,0.0,14.89,0.17,7.82,3,5,1,4,0,0.5,0.0,1.0,1.0,1.0,3.5,2.53,1.33
5141,10,255,1046,0.09,0.24,70,317,16.37,18.06,0.48,0.48,14.76,0.22,3.11,5,0,3,4,0,0.5,0.0,1.0,1.0,1.0,3.5,3.25,0.68
7113,10,2079,4801,0.1,0.14,213,526,18.95,14.84,0.21,0.54,63.78,0.24,7.1,0,0,3,5,0,0.5,0.0,1.0,1.0,1.0,3.5,15.31,1.7
0078,10,82,314,0.0,0.01,10,26,4.11,6.99,0.15,0.04,90.25,0.0,3.46,0,0,0,2,0,1.0,0.5,1.0,0.0,1.0,3.5,0.0,0.0
5168,10,572,2827,0.05,0.14,164,627,17.11,21.42,0.07,0.09,72.0,0.13,12.33,0,0,1,4,0,0.5,0.0,1.0,1.0,1.0,3.5,9.36,1.6
5160,10,110,148,0.07,0.07,17,34,15.38,14.78,0.0,0.0,8.62,0.08,0.91,5,5,3,3,0,0.5,0.0,1.0,1.0,1.0,3.5,0.69,0.07
5275,5,218,517,0.03,0.04,8,83,7.47,10.12,0.21,0.2,30.25,0.03,7.19,2,1,1,1,0,0.5,0.5,1.0,0.0,1.0,3.0,0.91,0.22
7022,10,279,215,0.05,0.07,63,111,18.23,14.96,0.0,0.0,55.9,0.08,9.93,2,5,4,3,0,0.0,0.0,1.0,1.0,1.0,3.0,4.47,0.79
