code,category,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE
0001,Industrial Products & Services,1.33,0.315,1.2,0.32,45.0,0.03,2.26,0.02,1.13,9.16
0002,Health Care,2.99,1.6,3.35,1.25,15.0,0.19,6.35,0.07,2.47,15.52
0005,Technology,0.17,0.035,0.245,0.0804,-58.0,-0.0,-0.0,0.0,0.0,-3.61
0006,Technology,0.3,0.18,0.39,0.5,-7.0,-0.04,-13.33,0.0,0.0,-8.42
0007,Telecommunications & Media,0.115,0.06,0.475,0.4219,-1.0,-0.14,-121.74,0.0,0.0,-33.66
0008,Technology,0.495,0.3,0.645,0.34,20.0,0.02,4.04,0.02,3.03,7.35
0010,Technology,0.145,0.06,0.17,0.0986,11.0,0.01,6.9,0.0,0.0,13.69
0011,Utilities,0.355,0.15,0.28,0.25,11.0,0.03,8.45,0.02,4.51,12.84
0012,Consumer Products & Services,0.76,0.53,0.92,0.724,12.0,0.06,7.89,0.02,2.63,8.65
0017,Telecommunications & Media,0.07,0.02,0.075,0.0326,-5.0,-0.02,-28.57,0.0,0.0,-46.01
0018,Technology,0.02,0.005,0.07,0.0585,5.0,0.0,0.0,0.0,0.0,6.84
0020,Technology,0.01,0.005,0.025,0.02,-2.0,-0.0,-0.0,0.0,0.0,-21.5
0021,Technology,1.97,1.04,2.1,0.5883,62.0,0.03,1.52,0.0,0.0,5.37
0022,Consumer Products & Services,0.08,0.025,0.175,0.04,-24.0,-0.0,-0.0,0.0,0.0,-8.25
0023,Technology,0.345,0.165,0.57,0.2,31.0,0.01,2.9,0.01,2.9,5.5
0024,Industrial Products & Services,0.08,0.025,0.1,0.085,-35.0,-0.0,-0.0,0.0,0.0,-2.71
0025,Industrial Products & Services,0.14,0.075,0.195,0.24,97.0,0.0,0.0,0.0,0.0,0.58
0026,Technology,0.05,0.015,0.115,0.08,-140.0,-0.0,-0.0,0.0,0.0,-0.5
0028,Industrial Products & Services,0.1,0.065,0.22,0.1868,-10.0,-0.01,-10.0,0.0,0.0,-5.25
