code,ROE2,D/E,D/E2
5250,61.69,6.06,0.48
7214,8.62,0.01,0.0
7086,-2.18,0.0,0.0
5198,2.69,0.07,0.08
7131,12.88,0.0,0.0
7120,-7.53,0.17,0.06
1481,-1.15,0.28,0.16
5281,5.96,0.34,0.43
9148,3.49,0.0,0.0
7191,0.17,0.05,0.28
7146,-3.5,0.06,0.0
6599,5.28,1.45,0.17
5139,18.27,2.8,3.0
5185,5.94,0.4,0.36
7145,1.35,0.0,0.07
7315,4.09,0.0,0.0
7078,3.14,5.24,5.0
5099,24.85,2.21,0.1
5238,-38.6,25.53,0.86
2658,12.54,0.0,0.0
7609,1.46,0.0,0.0
5116,7.99,0.68,0.68
5269,5.81,0.14,0.14
5115,-34.22,0.19,0.22
2674,2.86,1.07,1.14
2488,9.61,0.3,0.29
1163,12.1,0.01,0.01
2682,-2.98,0.01,0.0
4952,4.53,0.45,0.44
5127,4.57,0.62,0.62
1007,2.49,0.27,0.36
5120,2.63,0.83,0.82
1015,8.8,0.35,0.44
7031,10.14,0.0,0.0
6351,23.3,0.03,0.03
7083,1.5,0.04,0.04
4758,4.78,0.21,0.16
6556,11.72,0.01,0.0
9342,-2.39,0.0,0.0
5568,-0.79,0.0,0.0
5088,2.0,0.0,0.0
7090,16.07,0.05,0.06
5015,3.12,0.01,0.0
6432,7.13,0.0,0.0
7181,49.84,0.0,0.0
7007,-16.58,0.0,0.0
7722,3.2,0.03,0.0
7129,8.07,0.01,0.0
0159,-222.16,0.0,0.0
4057,5.17,0.24,0.2
7162,6.37,0.05,0.0
7054,-2.6,0.06,0.06
6399,74.73,3.91,5.29
8176,21.54,0.17,0.16
7048,7.59,0.23,0.06
5130,1.57,0.54,0.54
7099,2.58,0.01,0.01
8885,-14.4,0.22,0.22
7579,11.81,0.07,0.08
6888,8.66,1.03,1.03
5106,11.18,0.24,0.24
2305,2.57,0.0,0.0
5021,5.88,0.06,0.0
7005,3.29,0.03,0.03
7251,-69.13,0.0,0.84
1899,5.94,1.03,1.0
6602,8.32,0.42,0.51
5190,-0.03,0.32,0.29
3239,-3.64,0.29,0.3
3395,-5.16,0.62,0.55
5196,0.3,0.77,0.36
4219,-4.32,0.53,0.44
6025,-187.92,0.0,0.0
1562,30.63,1.2,0.73
5248,50.71,0.13,0.0
9814,-10.39,0.03,0.11
5258,14.27,0.41,0.43
6173,-8.66,0.07,0.08
5932,1.34,0.71,0.76
6998,0.44,1.36,1.25
5032,9.93,1.05,1.05
5069,4.88,0.19,0.09
0168,13.47,0.02,0.02
9288,4.41,0.27,0.09
7036,-0.97,0.02,0.02
8133,-37.53,0.05,0.02
2771,-6.85,0.59,0.41
5254,-1.97,0.24,0.14
6297,-5.78,0.46,0.43
5100,11.39,0.0,0.0
9474,-230.43,0.0,0.0
8761,2.66,0.09,0.12
9938,1.66,0.0,0.0
4162,85.33,0.06,0.06
7221,1.24,0.08,0.07
7188,-9.06,0.04,0.06
5210,-51.98,2.05,0.99
1818,22.72,0.01,0.01
2828,9.03,0.07,0.08
7174,2.78,0.6,0.56
7154,1.69,0.14,0.14
2852,6.15,0.28,0.28
7128,2.28,0.17,0.2
5105,5.74,1.31,0.34
5180,2.76,0.48,0.48
5257,19.05,0.18,0.24
7076,5.65,0.17,0.13
7035,10.21,0.02,0.02
5195,0.53,0.12,0.12
8052,-7.1,0.0,0.0
8982,1.26,0.16,0.15
7209,0.25,0.01,0.0
2879,4.81,0.48,0.48
5273,5.63,0.2,0.23
7187,2.97,0.01,0.01
1929,4.69,0.0,0.0
5007,10.28,0.0,0.0
5229,8.2,0.0,0.0
5188,-7.98,0.0,0.0
7016,2.67,0.06,0.06
1023,8.47,0.87,0.87
7117,-2.36,0.51,0.51
7202,7.55,0.0,0.0
7018,-45.46,0.03,0.04
7986,-0.03,0.01,0.01
5104,0.82,0.02,0.01
5071,1.23,0.0,0.2
7205,12.72,0.0,0.0
2127,10.66,0.09,0.09
7195,-47.67,0.0,0.0
5136,7.39,0.18,0.09
5037,-5.48,0.0,0.0
8044,-6.06,0.0,0.01
8435,-11.31,0.07,0.06
5738,10.64,0.21,0.21
5049,6.24,0.38,0.38
6718,3.78,0.29,0.29
