code,name,Price,52w low,52w high,EPS GR min,P/E mid,DPayout avg,intrinsic,Price_A,Price_B
5090,MEDIA CHINESE INTERNATIONAL LIMITED,0.185,0.12,0.255,0.0,3.25,55.49,1.4,1.05,0.16
5031,TIME DOTCOM BERHAD,10.18,8.3,10.22,11.86,16.75,6.37,39.18,29.38,8.93
4863,TELEKOM MALAYSIA BERHAD,4.28,2.64,4.68,0.0,38.41,83.6,39.29,29.47,3.31
4502,MEDIA PRIMA BERHAD,0.15,0.11,0.52,0.0,1.47,45.95,1.09,0.82,0.25
0172,OCK GROUP BERHAD,0.5,0.345,0.665,0.0,22.08,8.84,2.72,2.04,0.45
0159,ASIA MEDIA GROUP BERHAD,0.05,0.03,0.09,0.0,5.62,0.0,0.25,0.19,0.05
0082,GREEN PACKET BERHAD,1.21,0.31,1.27,0.0,-3.76,0.0,6.05,4.54,0.63
0059,ECOBUILT HOLDINGS BERHAD,0.16,0.075,0.235,4.75,-2.5,0.0,0.7,0.52,0.13
9393,INDUSTRONICS BERHAD,0.07,0.03,0.13,0.0,-10.88,0.0,0.35,0.26,0.06
9377,FSBM HOLDINGS BERHAD,0.1,0.03,0.1,0.0,-2.66,0.0,0.5,0.38,0.05
9334,KESM INDUSTRIES BERHAD,7.93,5.0,12.0,0.0,31.22,14.61,45.44,34.08,7.31
9075,THETA EDGE BERHAD,0.4,0.16,0.58,0.0,-8.25,0.0,2.0,1.5,0.3
9008,OMESTI BERHAD,0.595,0.32,0.715,0.0,-4.0,0.0,3.0,2.25,0.45
8338,DATAPREP HOLDINGS BHD,0.165,0.06,0.28,0.0,-18.0,0.0,0.8,0.6,0.13
7204,D&O GREEN TECHNOLOGIES BERHAD,0.69,0.43,0.925,2.0,14.25,10.36,3.59,2.69,0.59
7160,PENTAMASTER CORPORATION BERHAD,4.43,2.37,5.58,44.56,16.69,0.0,8.37,6.28,3.43
7022,GLOBETRONICS TECHNOLOGY BERHAD,1.96,1.29,2.4530000000000003,5.23,90.9,47.03,12.38,9.28,1.67
5216,DATASONIC GROUP BERHAD,1.24,0.43,1.69,1.58,101.0,30.9,7.75,5.81,0.85
5204,PRESTARIANG BERHAD,0.3,0.1,0.545,0.0,36.0,0.0,1.5,1.12,0.25
5195,CENSOF HOLDINGS BERHAD,0.11,0.035,0.15,0.0,16.38,9.74,0.6,0.45,0.07
5162,VSTECS BERHAD,1.24,0.7,1.67,0.0,7.58,26.53,7.84,5.88,1.02
5161,JCY INTERNATIONAL BERHAD,0.295,0.13,0.365,0.0,10.25,85.91,2.79,2.09,0.21
