code,name,Price,52w low,52w high,EPS GR min,P/E mid,DPayout avg,intrinsic,Price_A,Price_B
2542,RIVERVIEW RUBBER ESTATES BERHAD,2.7,2.25,3.07,0.0,24.08,59.28,21.5,16.12,2.52
2453,KLUANG RUBBER COMPANY (MALAYA) BERHAD,3.18,2.62,3.65,0.0,45.44,8.38,17.23,12.92,2.96
2445,KUALA LUMPUR KEPONG BERHAD,20.16,17.4,25.4,0.08,29.07,55.9,156.77,117.58,20.04
2291,GENTING PLANTATIONS BERHAD,9.17,7.99,11.14,0.0,38.54,32.1,60.57,45.43,9.03
2216,IJM PLANTATIONS BERHAD,1.38,1.01,2.48,0.0,40.04,54.35,10.65,7.99,1.5
2135,GOPENG BERHAD,0.685,0.53,0.72,0.0,38.2,126.92,7.72,5.79,0.59
2089,UNITED PLANTATIONS BERHAD,25.56,22.243000000000002,26.111,0.07,11.68,29.24,164.82,123.62,23.52
2054,TDM BERHAD,0.22,0.11,0.445,0.0,34.5,49.6,1.65,1.24,0.22
2038,NEGRI SEMBILAN OIL PALMS BERHAD,2.52,2.11,3.65,0.0,14.34,50.33,18.94,14.21,2.62
1996,KRETAM HOLDINGS BERHAD,0.36,0.29,0.475,0.0,82.62,7.09,1.93,1.45,0.35
1961,IOI CORPORATION BERHAD,3.99,3.41,4.82,0.2,207.73,84.66,36.62,27.46,3.88
1929,CHIN TECK PLANTATIONS BERHAD,5.77,4.8,7.15,21.84,25.18,61.8,26.83,20.12,5.58
1902,PINEHILL PACIFIC BERHAD,0.315,0.14,0.545,0.0,-0.33,0.0,1.6,1.2,0.27
1899,BATU KAWAN BERHAD,13.14,11.0,17.68,1.48,13.36,44.41,90.8,68.1,13.2
9954,RGT BERHAD,0.17,0.085,0.2,0.0,-11.42,0.0,0.85,0.64,0.12
9938,BRIGHT PACKAGING INDUSTRY BERHAD,0.195,0.095,0.56,1.92,14.25,0.0,0.93,0.7,0.25
9881,LEADER STEEL HOLDINGS BERHAD,0.235,0.185,0.36,23.66,-2.25,0.0,0.65,0.49,0.24
9873,PRESTAR RESOURCES BERHAD,0.345,0.21,0.59,1.77,12.93,27.28,2.08,1.56,0.34
9822,SAM ENGINEERING & EQUIPMENT (M) BERHAD,5.35,4.2,8.64,7.26,12.45,24.36,27.09,20.32,5.67
9741,ROHAS TECNIC BERHAD,0.41,0.17,0.79,0.0,34.12,20.06,2.46,1.84,0.37
9601,HO WAH GENTING BERHAD,0.29,0.06,0.37,0.0,-1.11,0.0,1.45,1.09,0.16
9466,KKB ENGINEERING BERHAD,1.72,1.25,2.37,17.87,14.25,44.43,7.8,5.85,1.62
9342,ANZO HOLDINGS BERHAD,0.035,0.01,0.045,0.0,-12.42,0.0,0.2,0.15,0.02
9326,LB ALUMINIUM BERHAD,0.405,0.26,0.615,4.62,17.32,34.17,2.37,1.78,0.38
9318,FITTERS DIVERSIFIED BERHAD,0.23,0.155,0.42200000000000004,22.18,-10.12,10.37,0.72,0.54,0.24
9237,SARAWAK CONSOLIDATED INDUSTRIES BERHAD,2.02,0.655,3.49,0.0,2.62,0.0,10.1,7.57,1.59
9199,LYSAGHT GALVANIZED STEEL BERHAD,2.09,1.95,2.7,0.0,9.88,24.58,13.02,9.76,2.2
9148,ADVANCED PACKAGING TECHNOLOGY (M) BHD,1.9,1.68,2.4,0.0,28.68,128.59,21.72,16.29,1.92
9121,KPS CONSORTIUM BERHAD,0.395,0.265,0.54,6.64,-21.15,0.0,1.64,1.23,0.36
9083,KUMPULAN JETSON BERHAD,0.13,0.05,0.18,0.0,-3.88,0.0,0.65,0.49,0.09
9016,EKSONS CORPORATION BERHAD,0.53,0.385,0.795,0.0,-12.84,12.96,2.99,2.24,0.52
8907,EG INDUSTRIES BERHAD,0.35,0.195,0.5,3.83,22.93,0.0,1.57,1.18,0.3
8869,PRESS METAL ALUMINIUM HOLDINGS BERHAD,3.67,2.74,5.24,14.15,122.62,36.79,17.17,12.88,3.57
8745,LEWEKO RESOURCES BERHAD,0.12,0.06,0.26,0.0,-8.0,0.0,0.6,0.45,0.13
8702,TEXCHEM RESOURCES BERHAD,0.335,0.195,0.67,0.0,79.0,69.1,2.87,2.15,0.35
8648,JASA KITA BERHAD,0.08,0.065,0.115,0.0,6.25,28.54,0.51,0.38,0.08
8486,LION FOREST INDUSTRIES BERHAD,0.31,0.185,0.475,0.0,67.22,38.24,2.14,1.6,0.28
8443,HIL INDUSTRIES BERHAD,0.54,0.415,0.605,43.66,12.25,25.98,1.3,0.98,0.48
8435,CONCRETE ENGINEERING PRODUCTS BERHAD,0.565,0.4,0.885,0.0,-29.5,10.18,3.09,2.32,0.56
8419,PANSAR BERHAD,0.76,0.43,0.76,0.0,32.25,37.65,5.23,3.92,0.54
8362,KYM HOLDINGS BERHAD,0.22,0.16,0.43,0.0,-38.5,0.0,1.1,0.82,0.25
8273,PUBLIC PACKAGES HOLDINGS BHD,0.74,0.325,1.4,10.23,9.94,6.2,2.96,2.22,0.68
8176,ATA IMS BERHAD,1.06,0.665,1.85,50.91,4.23,0.0,1.82,1.36,1.06
8125,DAIBOCHI BERHAD,2.34,1.45,2.6,0.97,55.5,0.0,11.37,8.53,1.83
8117,POLY GLASS FIBRE (M) BERHAD,0.295,0.2,0.445,1.11,27.49,0.0,1.43,1.07,0.28
8052,CENTRAL GLOBAL BERHAD,0.37,0.3,0.595,0.0,7.5,13.73,2.1,1.58,0.4
8044,COMPUTER FORMS (MALAYSIA) BERHAD,1.07,1.07,1.2,0.0,21.25,0.0,5.35,4.01,1.11
7986,CN ASIA CORPORATION BHD,0.36,0.32,0.5,0.0,-11.12,0.0,1.8,1.35,0.38
7854,TIMBERWELL BERHAD,0.475,0.23,0.68,16.7,35.85,3.19,1.58,1.18,0.38
7811,SAPURA INDUSTRIAL BERHAD,0.48,0.2,0.815,0.0,10.72,72.7,4.14,3.1,0.4
7803,RUBBEREX CORPORATION (M) BERHAD,2.0,0.42,2.52,0.0,10.22,55.51,15.55,11.66,1.11
7773,EP MANUFACTURING BHD,0.28,0.21,0.37,0.0,5.84,18.08,1.65,1.24,0.26
7692,WIDETECH (MALAYSIA) BERHAD,0.55,0.43,0.7,12.59,-11.75,0.0,1.95,1.46,0.52
7609,AJIYA BERHAD,0.34,0.2,0.53,0.0,22.98,15.84,1.97,1.48,0.31
7579,AWC BERHAD,0.47,0.195,0.755,2.59,15.0,25.7,2.73,2.05,0.38
7544,QUALITY CONCRETE HOLDINGS BERHAD,0.8,0.72,1.43,0.0,57.9,40.76,5.63,4.22,0.95
7498,RALCO CORPORATION BERHAD,0.28,0.18,0.32,0.0,35.5,0.0,1.4,1.05,0.23
7374,TIEN WAH PRESS HOLDINGS BERHAD,1.0,0.76,1.46,0.0,-3.16,51.49,7.57,5.68,0.99
7285,TOMYPAK HOLDINGS BERHAD,0.4,0.3,0.555,0.0,74.31,67.0,3.34,2.5,0.38
7248,SLP RESOURCES BERHAD,0.845,0.69,1.42,13.96,31.34,42.08,4.13,3.1,0.93
7247,SCGM BHD,1.63,0.76,1.82,0.0,-0.93,67.36,13.64,10.23,1.11
7245,WZ SATU BERHAD,0.21,0.05,0.305,0.0,17.84,5.79,1.11,0.83,0.13
7241,NEXTGREEN GLOBAL BERHAD,0.28,0.14,0.485,0.0,26.0,18.43,1.66,1.24,0.25
7239,SCANWOLF CORPORATION BERHAD,0.17,0.065,0.36,0.0,-5.75,0.0,0.85,0.64,0.16
7235,SUPERLON HOLDINGS BERHAD,0.67,0.4,1.08,12.04,28.16,22.0,2.95,2.21,0.62
7233,DUFU TECHNOLOGY CORP. BERHAD,4.76,1.3330000000000002,5.0,11.62,-4.0,12.39,19.47,14.6,2.54
7232,RESINTECH BERHAD,0.28,0.17,0.35,1.93,18.56,9.04,1.45,1.09,0.23
7231,WELLCALL HOLDINGS BERHAD,0.865,0.55,1.29,4.61,36.52,67.56,6.34,4.76,0.79
7229,FAVELLE FAVCO BERHAD,2.22,1.71,3.02,8.51,7.64,29.44,11.32,8.49,2.14
7227,UMS-NEIKEN GROUP BERHAD,0.79,0.7,0.98,8.45,9.59,26.27,3.94,2.96,0.79
7226,WATTA HOLDING BERHAD,0.42,0.365,0.79,0.0,0.12,0.0,2.1,1.58,0.51
7225,P.A. RESOURCES BERHAD,0.055,0.035,0.075,0.0,-1.06,0.0,0.3,0.22,0.05
7222,IMASPRO CORPORATION BERHAD,2.09,1.9,2.33,0.0,115.25,78.04,18.61,13.96,2.04
7221,BSL CORPORATION BERHAD,0.19,0.08,0.39,0.0,-6.0,0.0,0.95,0.71,0.18
7219,MINETECH RESOURCES BERHAD,0.24,0.05,0.29,0.0,2.25,0.0,1.2,0.9,0.13
7217,EONMETALL GROUP BERHAD,0.275,0.155,0.53,0.0,3.75,22.62,1.72,1.29,0.28
7214,A-RANK BERHAD,0.425,0.27,0.565,2.94,10.02,25.25,2.44,1.83,0.37
7212,DESTINI BERHAD,0.155,0.055,0.285,0.0,12.94,0.0,0.8,0.6,0.13
7207,SUCCESS TRANSFORMER CORPORATION BERHAD,0.64,0.4,1.1,0.0,18.19,8.85,3.48,2.61,0.63
7201,PROGRESSIVE IMPACT CORPORATION BERHAD,0.105,0.06,0.14,0.0,3.0,145.72,1.23,0.92,0.09
7199,KEIN HING INTERNATIONAL BERHAD,0.36,0.27,0.55,25.03,1.25,53.12,1.48,1.11,0.36
7197,GE-SHEN CORPORATION BERHAD,0.47,0.28,0.65,0.0,8.85,0.0,2.35,1.76,0.4
7195,COMINTEL CORPORATION BHD,0.125,0.05,0.31,0.0,-27.45,0.0,0.6,0.45,0.14
7192,GOODWAY INTEGRATED INDUSTRIES BERHAD,0.155,0.115,0.24,0.0,7.66,0.0,0.8,0.6,0.16
7188,BTM RESOURCES BERHAD,0.105,0.05,0.23,0.0,-7.96,0.0,0.5,0.38,0.11
7183,IRE-TEX CORPORATION BERHAD,0.08,0.04,0.13,0.0,84.12,0.0,0.4,0.3,0.07
7181,ARB BERHAD,0.355,0.095,0.51,0.0,-29.58,0.0,1.8,1.35,0.23
7173,TOYO INK GROUP BERHAD,0.62,0.55,0.88,46.29,33.93,26.34,1.44,1.08,0.66
7172,PMB TECHNOLOGY BERHAD,2.9,2.4,3.3710000000000004,11.44,38.05,30.9,13.87,10.4,2.72
7170,LFE CORPORATION BERHAD,0.15,0.09,0.3,0.0,0.25,0.0,0.75,0.56,0.16
7169,DOMINANT ENTERPRISE BERHAD,0.71,0.7,1.3,2.21,11.23,29.44,4.3,3.22,0.9
7165,DWL RESOURCES BERHAD,0.385,0.1,0.79,0.0,-40.45,0.0,1.9,1.42,0.33
7163,PJBUMI BERHAD,0.145,0.105,0.31,0.0,-2.92,0.0,0.7,0.52,0.17
7162,ASTINO BERHAD,0.555,0.37,0.76,10.32,11.03,19.35,2.5,1.88,0.5
7157,CYL CORPORATION BERHAD,0.31,0.27,0.475,0.0,19.5,116.04,3.35,2.51,0.34
7155,SKP RESOURCES BHD,1.11,0.66,1.59,3.41,11.96,28.64,6.47,4.85,0.97
7146,AE MULTI HOLDINGS BERHAD,0.1,0.04,0.13,0.0,-3.25,0.0,0.5,0.38,0.07
7140,OKA CORPORATION BHD,0.57,0.38,0.825,7.14,21.58,35.19,3.14,2.36,0.53
7137,UMS HOLDINGS BERHAD,1.74,1.43,2.057,0.0,17.12,31.34,11.43,8.57,1.64
7133,UNITED U-LI CORPORATION BERHAD,0.38,0.23,0.66,0.0,25.02,30.93,2.49,1.87,0.37
7132,SMIS CORPORATION BERHAD,0.365,0.25,0.49,0.0,10.0,15.78,2.08,1.56,0.33
7123,PRICEWORTH INTERNATIONAL BERHAD,0.015,0.005,0.075,0.0,21.34,0.0,0.1,0.08,0.03
7115,SKB SHUTTERS CORPORATION BERHAD,0.4,0.38,0.64,2.39,-17.75,0.0,1.87,1.4,0.47
7114,D'NONCE TECHNOLOGY BHD,0.27,0.185,0.66,0.0,-3.0,0.0,1.35,1.01,0.34
7100,UCHI TECHNOLOGIES BERHAD,2.51,1.7,2.95,0.58,16.92,70.65,21.04,15.78,2.11
7099,ATTA GLOBAL GROUP BERHAD,0.445,0.375,0.59,0.0,0.5,12.95,2.48,1.86,0.45
7097,TA WIN HOLDINGS BERHAD,0.1,0.03,0.251,0.0,19.42,0.0,0.5,0.38,0.1
7096,GPA HOLDINGS BERHAD,0.085,0.07,0.145,0.0,0.0,24.53,0.5,0.38,0.09
7095,P.I.E. INDUSTRIAL BERHAD,1.33,0.72,1.65,0.46,42.44,23.39,8.09,6.07,1.03
7091,UNIMECH GROUP BERHAD,1.05,0.91,1.45,2.38,13.96,44.01,7.04,5.28,1.09
7086,ABLEGROUP BERHAD,0.08,0.04,0.095,0.0,-4.68,0.0,0.4,0.3,0.06
7083,ANALABS RESOURCES BERHAD,1.04,0.815,1.16,0.0,20.0,18.76,6.18,4.64,0.93
7076,CB INDUSTRIAL PRODUCT HOLDING BERHAD,0.885,0.68,1.25,0.0,16.71,37.35,6.04,4.53,0.87
7073,SEACERA GROUP BERHAD,0.24,0.12,0.565,0.0,34.5,0.0,1.2,0.9,0.27
7050,WONG ENGINEERING CORPORATION BERHAD,0.4,0.28,0.65,100.71,23.08,24.49,0.48,0.36,0.4
7043,JADE MARVEL GROUP BERHAD,0.8,0.8,1.25,0.0,3.0,69.58,6.78,5.08,0.95
7036,BORNEO OIL BERHAD,0.035,0.01,0.05,0.0,-39.75,0.0,0.2,0.15,0.02
7034,THONG GUAN INDUSTRIES BERHAD,3.48,1.95,4.32,4.42,13.2,27.06,19.45,14.59,2.73
7033,KUMPULAN H & L HIGH-TECH BERHAD,1.0,0.895,1.28,42.82,9.91,53.73,2.99,2.24,1.02
7029,MASTER-PACK GROUP BERHAD,1.64,0.605,3.2,2.08,13.68,14.09,8.79,6.59,1.46
7025,WOODLANDOR HOLDINGS BHD,0.55,0.4,0.75,41.79,30.35,0.0,1.09,0.82,0.52
7020,YKGI HOLDINGS BERHAD,0.095,0.06,0.17,0.0,1.84,11.58,0.56,0.42,0.1
7018,CME GROUP BERHAD,0.03,0.02,0.04,0.0,1.92,0.0,0.15,0.11,0.03
7017,KOMARKCORP BERHAD,0.22,0.15,0.385,0.0,20.12,0.0,1.1,0.82,0.23
7016,CHUAN HUAT RESOURCES BHD,0.29,0.18,0.5,0.7,10.56,21.72,1.73,1.3,0.29
7014,YLI HOLDINGS BERHAD,0.17,0.15,0.3,0.0,12.0,0.0,0.85,0.64,0.2
7005,B.I.G. INDUSTRIES BERHAD,0.275,0.17,0.43,0.0,7.95,0.0,1.4,1.05,0.26
7004,MCE HOLDINGS BERHAD,0.4,0.285,0.72,0.0,-13.92,24.25,2.48,1.86,0.43
6998,BINTAI KINDEN CORPORATION BERHAD,0.09,0.04,0.15,0.0,-12.38,0.0,0.45,0.34,0.08
6971,KOBAY TECHNOLOGY BERHAD,1.78,1.23,2.04,9.9,-11.5,18.15,8.0,6.0,1.5
6963,V.S. INDUSTRY BERHAD,0.9,0.6,1.52,5.87,45.42,57.92,6.01,4.51,0.9
6904,SUBUR TIASA HOLDINGS BERHAD,0.525,0.38,0.905,0.0,77.44,20.81,3.14,2.36,0.55
6874,KUB MALAYSIA BERHAD,0.295,0.15,0.4,0.0,13.25,20.0,1.8,1.35,0.23
6637,PNE PCB BERHAD,0.85,0.36,0.875,0.0,25.25,0.0,4.25,3.19,0.53
6556,ANN JOO RESOURCES BERHAD,0.69,0.415,1.65,1.86,15.88,23.81,4.04,3.03,0.82
6491,KUMPULAN FIMA BERHAD,1.41,0.985,1.8,1.52,11.88,46.47,9.88,7.41,1.25
6297,BOX-PAK (MALAYSIA) BERHAD,1.28,0.815,1.28,0.0,-51.58,19.97,7.68,5.76,0.97
6211,KIA LIM BERHAD,0.17,0.11,0.28,0.0,3.77,0.0,0.85,0.64,0.17
6149,METROD HOLDINGS BERHAD,1.4,1.08,1.8,0.0,21.13,35.91,9.51,7.13,1.32
5916,MALAYSIA SMELTING CORPORATION BERHAD,0.7,0.44,0.98,15.41,-164.62,11.44,2.59,1.94,0.62
5843,KUMPULAN PERANGSANG SELANGOR BERHAD,0.59,0.265,1.13,0.0,7.83,22.09,3.6,2.7,0.55
5835,DOLOMITE CORPORATION BERHAD,0.08,0.025,0.28,0.0,14.08,0.0,0.4,0.3,0.11
5797,CHOO BEE METAL INDUSTRIES BHD,0.835,0.7,1.58,0.96,18.91,36.22,5.53,4.15,0.99
5673,IPMUDA BERHAD,0.25,0.185,0.49,0.0,13.0,0.0,1.25,0.94,0.29
5665,SOUTHERN STEEL BERHAD,0.47,0.33,1.22,0.0,88.3,17.98,2.77,2.08,0.62
5649,GOLDEN PHAROS BERHAD,0.17,0.1,0.305,0.0,-5.0,0.0,0.85,0.64,0.17
5576,MINHO (M) BERHAD,0.265,0.155,0.4,0.0,39.75,1.42,1.32,0.99,0.24
5568,APB RESOURCES BERHAD,0.4,0.355,0.6,0.0,-5.41,43.36,2.87,2.15,0.44
5436,PERUSAHAAN SADUR TIMAH MALAYSIA (PERSTIMA) BHD,4.15,2.82,4.98,0.15,10.95,79.2,37.01,27.76,3.53
5371,KIM HIN INDUSTRY BERHAD,0.76,0.7,1.25,0.0,61.8,71.06,6.5,4.88,0.88
5289,TECHBOND GROUP BERHAD,0.605,0.48,0.96,0.0,9.81,0.0,3.0,2.25,0.64
5284,LOTTE CHEMICAL TITAN HOLDING BERHAD,1.82,0.975,3.2,0.0,6.8,32.28,12.04,9.03,1.71
5277,FOUNDPAC GROUP BERHAD,0.745,0.3,1.01,2.54,21.38,25.05,4.3,3.22,0.53
5276,DANCOMECH HOLDINGS BERHAD,0.41,0.23,0.61,0.0,14.9,25.62,2.58,1.94,0.36
5271,PECCA GROUP BERHAD,0.81,0.675,1.3,0.0,10.06,40.18,5.68,4.26,0.88
5265,DOLPHIN INTERNATIONAL BERHAD,0.07,0.025,0.18,0.0,5.38,0.0,0.35,0.26,0.08
5232,LEON FUAT BERHAD,0.31,0.2,0.49,12.21,5.99,13.94,1.27,0.95,0.3
5223,MENTIGA CORPORATION BERHAD,0.4,0.24,0.605,15.79,27.5,11.17,1.47,1.1,0.36
5220,GLOBALTEC FORMATION BERHAD,0.355,0.18,0.515,0.0,-2.59,0.0,1.8,1.35,0.29
5219,PESTECH INTERNATIONAL BERHAD,0.94,0.6,1.53,2.63,50.84,8.76,4.73,3.55,0.91
5211,SUNWAY BERHAD,1.56,1.25,1.87,6.12,16.11,22.55,8.03,6.02,1.45
5208,EITA RESOURCES BERHAD,1.16,1.02,1.6,10.02,7.4,20.63,5.3,3.97,1.21
5198,ABM FUJIYA BERHAD,0.345,0.255,0.71,12.88,18.75,0.0,1.22,0.92,0.41
5197,FOCUS LUMBER BERHAD,0.78,0.61,1.55,13.32,10.96,29.77,3.54,2.66,0.92
5192,K.SENG SENG CORPORATION BERHAD,0.3,0.2,0.59,0.0,21.0,33.74,2.01,1.51,0.33
5184,CYPARK RESOURCES BERHAD,0.885,0.605,1.61,7.28,12.78,21.23,4.36,3.27,0.94
5183,PETRONAS CHEMICALS GROUP BERHAD,5.56,4.0,8.88,2.52,17.96,41.15,36.43,27.32,5.61
5181,SIG GASES BERHAD,0.455,0.36,0.46,9.49,25.6,22.05,2.14,1.6,0.39
5178,DYNACIATE GROUP BERHAD,0.055,0.025,0.095,0.0,-1.5,0.0,0.3,0.22,0.05
5170,SARAWAK CABLE BERHAD,0.235,0.1,0.41,0.0,31.38,53.24,1.84,1.38,0.2
5167,TURBO-MECH BERHAD,0.57,0.53,0.75,0.0,15.28,39.69,3.98,2.98,0.6
5165,HOCK HENG STONE INDUSTRIES BHD,0.42,0.34,0.75,0.0,28.08,12.21,2.36,1.77,0.48
5163,SEREMBAN ENGINEERING BERHAD,0.51,0.32,0.75,0.0,1.55,0.0,2.55,1.91,0.46
5152,MUAR BAN LEE GROUP BERHAD,1.14,0.92,1.49,12.73,12.92,60.91,6.5,4.88,1.11
5151,HEXTAR GLOBAL BERHAD,0.71,0.475,0.835,0.0,6.93,0.0,3.55,2.66,0.59
5147,SAMCHEM HOLDINGS BERHAD,0.71,0.35,0.84,5.82,75.66,46.97,4.42,3.32,0.51
5143,LUXCHEM CORPORATION BERHAD,0.68,0.33,0.865,5.5,27.5,45.67,4.24,3.18,0.51
5134,SOUTHERN ACIDS (M) BERHAD,3.29,2.7,3.98,7.11,16.76,19.74,16.09,12.07,3.12
5125,PANTECH GROUP HOLDINGS BERHAD,0.38,0.25,0.585,7.13,10.8,33.98,2.09,1.57,0.36
5105,CAN-ONE BERHAD,2.93,1.6,3.99,7.87,7.44,11.79,13.13,9.85,2.39
5101,EVERGREEN FIBREBOARD BERHAD,0.17,0.09,0.34,0.0,1.84,21.41,1.03,0.77,0.17
5100,BP PLASTICS HOLDING BHD,1.11,0.61,1.15,2.68,10.8,66.41,8.52,6.39,0.79
5098,MALAYSIA STEEL WORKS (KL) BHD,0.325,0.17,0.535,0.0,-6.95,9.38,1.75,1.31,0.29
5095,HEVEABOARD BERHAD,0.39,0.23,0.7,0.0,31.96,44.95,2.83,2.12,0.39
5094,CSC STEEL HOLDINGS BERHAD,0.74,0.54,1.19,0.0,-0.25,49.83,5.54,4.16,0.75
5087,MYCRON STEEL BERHAD,0.31,0.14,0.505,0.0,-0.36,0.0,1.55,1.16,0.26
5082,CYMAO HOLDINGS BERHAD,0.185,0.185,0.36,0.0,-5.92,0.0,0.9,0.68,0.24
5072,HIAP TECK VENTURE BERHAD,0.155,0.09,0.255,0.0,4.75,33.91,1.07,0.8,0.14
5068,LUSTER INDUSTRIES BHD.,0.075,0.05,0.105,29.95,-0.75,0.0,0.18,0.14,0.07
5065,ORNAPAPER BERHAD,1.05,0.7,1.42,3.29,8.82,8.54,5.18,3.88,0.94
5060,KINSTEEL BHD,0.005,0.005,0.005,0.0,20.82,0.0,0.0,0.0,0.0
5056,ENGTEX GROUP BERHAD,0.63,0.46,0.865,0.0,15.25,8.08,3.4,2.55,0.59
5048,YI-LAI BERHAD,0.695,0.395,0.845,0.0,-1.09,48.67,5.2,3.9,0.54
5037,COMPUGATES HOLDINGS BERHAD,0.015,0.01,0.03,0.0,-3.12,0.0,0.1,0.08,0.02
5035,KNUSFORD BERHAD,0.555,0.49,0.85,0.0,22.43,13.46,3.18,2.39,0.61
5025,NWP HOLDINGS BERHAD,0.13,0.065,0.23,0.0,-18.6,0.0,0.65,0.49,0.12
5021,AYS VENTURES BERHAD,0.155,0.115,0.34,5.92,7.33,24.01,0.81,0.61,0.19
5015,APM AUTOMOTIVE HOLDINGS BERHAD,1.66,1.5,3.0,0.0,11.39,44.77,12.02,9.02,2.0
5010,TONG HERR RESOURCES BERHAD,1.83,1.23,3.45,10.61,-32.43,60.55,10.97,8.23,1.96
5009,WHITE HORSE BERHAD,0.675,0.645,1.2,0.0,33.66,42.01,4.83,3.62,0.83
5007,CHIN WELL HOLDINGS BERHAD,0.965,0.68,1.9,8.31,13.95,35.13,5.17,3.88,1.08
5001,MIECO CHIPBOARD BERHAD,0.235,0.18,0.36,0.0,5.5,2.59,1.23,0.92,0.24
5000,HUME INDUSTRIES BERHAD,1.19,0.655,1.86,0.0,21.8,13.22,6.74,5.06,1.05
4995,VERSATILE CREATIVE BERHAD,0.235,0.18,0.4,0.0,-11.0,0.0,1.2,0.9,0.25
4944,NYLEX (MALAYSIA) BERHAD,0.77,0.33,0.91,0.0,-22.75,51.16,5.82,4.36,0.52
4758,ANCOM BERHAD,0.745,0.38,0.805,12.01,21.66,22.06,3.27,2.45,0.52
4731,SCIENTEX BERHAD,8.35,5.96,9.87,7.94,17.52,29.1,43.11,32.33,7.25
4448,TASEK CORPORATION BERHAD,5.78,4.1,6.0,0.0,591.0,135.06,67.93,50.95,4.73
4243,WTK HOLDINGS BERHAD,0.345,0.2,0.64,4.35,8.33,25.89,1.92,1.44,0.35
4235,LION INDUSTRIES CORPORATION BERHAD,0.235,0.12,0.6,0.0,-8.2,1.36,1.22,0.92,0.28
3883,MUDA HOLDINGS BERHAD,1.27,0.835,1.82,4.74,17.53,30.92,7.25,5.44,1.16
3794,MALAYAN CEMENT BERHAD,2.57,1.3,4.57,0.0,27.54,85.82,23.88,17.91,2.38
3778,MELEWAR INDUSTRIAL GROUP BERHAD,0.205,0.09,0.385,35.2,11.93,15.2,0.52,0.39,0.19
3611,PARAGON GLOBE BERHAD,0.75,0.68,1.08,0.0,-0.5,0.0,3.75,2.81,0.81
3476,KECK SENG (MALAYSIA) BERHAD,3.6,3.3,4.9,0.0,37.24,34.37,24.19,18.14,3.83
3395,BERJAYA CORPORATION BERHAD,0.195,0.17,0.275,0.0,-37.0,0.0,1.0,0.75,0.2
3298,HEXZA CORPORATION BERHAD,1.29,0.59,1.49,1.09,8.28,69.36,10.57,7.93,0.89
3247,GUH HOLDINGS BERHAD,0.335,0.16,0.52,0.0,-13.19,34.16,2.28,1.71,0.28
3107,FIMA CORPORATION BERHAD,1.4,1.01,1.96,0.14,17.57,45.51,10.14,7.6,1.32
3034,HAP SENG CONSOLIDATED BERHAD,7.0,6.7,10.26,5.41,28.18,49.79,44.89,33.67,7.87
2984,FACB INDUSTRIES INCORPORATED BERHAD,1.18,1.0,1.44,0.0,37.34,22.12,7.21,5.41,1.15
2879,CHEMICAL COMPANY OF MALAYSIA BERHAD,1.43,0.59,2.14,0.0,13.81,97.05,14.09,10.57,1.1
2852,CAHYA MATA SARAWAK BERHAD,1.35,0.83,3.25,13.62,25.81,32.16,6.18,4.64,1.63
2771,BOUSTEAD HOLDINGS BERHAD,0.455,0.345,1.26,0.0,131.44,67.91,3.86,2.9,0.65
2682,AMALGAMATED INDUSTRIAL STEEL BERHAD,0.19,0.16,0.33,0.0,0.53,0.0,0.95,0.71,0.22
2674,ALCOM GROUP BERHAD,0.44,0.18,0.6,0.0,-11.5,0.0,2.2,1.65,0.32
2127,COMFORT GLOVES BERHAD,2.31,0.605,2.75,0.0,34.03,2.46,11.83,8.87,1.31
1368,UEM EDGENTA BERHAD,2.55,1.88,3.52,31.19,19.75,69.36,10.29,7.72,2.42
0185,HSS ENGINEERS BERHAD,0.52,0.25,1.19,0.0,16.55,5.06,2.73,2.05,0.56
0168,BOILERMECH HOLDINGS BERHAD,0.535,0.3,0.79,0.0,24.58,18.76,3.21,2.41,0.46
0151,KELINGTON GROUP BERHAD,1.13,0.59,1.43,54.95,2.75,62.03,2.96,2.22,0.87
0149,FIBON BERHAD,0.3,0.2,0.44,0.0,13.25,29.67,1.95,1.46,0.28
0099,SCICOM (MSC) BERHAD,0.945,0.48,1.3,8.65,16.75,78.28,6.62,4.96,0.75
0064,EFFICIENT E-SOLUTIONS BERHAD,0.135,0.05,0.205,0.0,1.5,8.25,0.76,0.57,0.1
0058,JCBNEXT BERHAD,1.19,1.15,1.56,0.0,14.87,133.41,13.89,10.42,1.29
0054,KARYON INDUSTRIES BERHAD,0.165,0.085,0.2,0.25,13.25,10.33,0.92,0.69,0.12
0043,METRONIC GLOBAL BERHAD,0.035,0.015,0.085,0.0,-1.5,0.0,0.2,0.15,0.04
7191,ADVENTA BERHAD,1.06,0.28,1.43,0.0,16.72,0.0,5.3,3.97,0.66
7178,Y.S.P.SOUTHEAST ASIA HOLDING BERHAD,2.07,1.45,2.595,0.37,14.05,40.96,14.43,10.82,1.83
7153,KOSSAN RUBBER INDUSTRIES BERHAD,7.68,3.71,8.0,7.93,55.28,26.18,38.77,29.08,5.13
7148,DUOPHARMA BIOTECH BERHAD,1.68,1.05,1.82,0.44,31.54,73.78,14.4,10.8,1.3
7113,TOP GLOVE CORPORATION BHD,10.38,4.21,10.7,7.1,63.78,42.88,60.65,45.49,6.35
7106,SUPERMAX CORPORATION BERHAD,3.97,1.29,4.03,0.17,34.35,12.58,22.24,16.68,2.19
