code,category,price,NTA,52w low,52w high,market cap,ROE,P/E,EPS,EY,DPS,DY
9431,Telecommunications & Media,0.54,1.3,0.45,0.58,21.9M,-1.08,-38.0,-1.41,-2.61,0.0,0.0
5213,Property,0.125,0.87,0.09,0.41,70.9M,-11.16,-1.0,-9.71,-77.68,0.0,0.0
5279,Energy,1.7,0.79,1.02,2.9539999999999997,"5,242.5M",20.38,11.0,16.1,9.47,5.75,3.38
5163,Industrial Products & Services,0.4,0.25,0.32,0.75,32.0M,-22.4,-7.0,-5.6,-14.0,0.0,0.0
7180,Consumer Products & Services,0.605,0.42,0.44,0.98,154.1M,16.74,9.0,7.03,11.62,0.0,0.0
5517,Consumer Products & Services,4.29,2.3999,4.23,5.9,"1,887.6M",6.0,30.0,14.39,3.35,15.0,3.5
7412,Consumer Products & Services,0.31,1.39,0.275,0.55,15.5M,-4.23,-5.0,-5.88,-18.97,0.0,0.0
5173,Transportation & Logistics,0.135,0.88,0.115,0.33,162.0M,-11.43,-1.0,-10.06,-74.52,0.0,0.0
6017,Property,1.88,3.29,1.75,2.81,455.2M,5.62,10.0,18.48,9.83,16.0,8.51
5181,Industrial Products & Services,0.405,0.55,0.36,0.46,75.9M,77.51,1.0,42.63,105.26,55.7,137.53
7246,Consumer Products & Services,0.45,0.76,0.155,0.565,108.1M,0.64,93.0,0.49,1.09,1.0,2.22
4197,Consumer Products & Services,1.82,2.14,1.56,2.38,"12,378.6M",6.42,13.0,13.73,7.54,10.0,5.49
5285,Plantation,4.65,1.93,3.82,5.63,"32,013.3M",0.66,364.0,1.28,0.28,1.0,0.22
5288,Property,0.555,1.43,0.475,1.18,"3,774.5M",6.15,6.0,8.8,15.86,6.0,10.81
4316,Plantation,0.255,0.44,0.205,0.42,33.6M,5.27,11.0,2.32,9.1,0.0,0.0
9776,Consumer Products & Services,0.09,0.4474,0.06,0.215,19.2M,-0.94,-21.0,-0.42,-4.67,0.0,0.0
2739,Energy,0.06,0.16,0.035,0.265,67.3M,-102.63,-0.0,-16.42,-273.67,0.0,0.0
8532,Consumer Products & Services,0.11,0.28,0.08,0.405,43.4M,-63.46,-1.0,-17.77,-161.55,0.0,0.0
7115,Industrial Products & Services,0.39,2.11,0.38,0.68,15.6M,2.95,6.0,6.23,15.97,0.0,0.0
7155,Industrial Products & Services,0.775,0.49,0.66,1.59,968.9M,14.53,11.0,7.12,9.19,3.84,4.95
7248,Industrial Products & Services,0.755,0.581,0.69,1.42,239.3M,11.51,11.0,6.69,8.86,5.5,7.28
7132,Industrial Products & Services,0.4,1.37,0.25,0.49,17.9M,1.48,20.0,2.03,5.07,0.0,0.0
5242,Consumer Products & Services,0.27,0.36,0.2,0.375,106.8M,1.25,60.0,0.45,1.67,0.0,0.0
4375,Property,0.09,0.81,0.07,0.185,18.9M,-4.52,-2.0,-3.66,-40.67,0.0,0.0
5134,Industrial Products & Services,2.95,4.49,2.7,3.98,404.0M,3.87,17.0,17.39,5.89,5.0,1.69
5665,Industrial Products & Services,0.44,1.07,0.33,1.22,262.4M,-71.62,-1.0,-76.63,-174.16,0.0,0.0
8664,Property,0.74,3.02,0.55,2.31,"2,991.4M",3.04,8.0,9.17,12.39,1.0,1.35
7103,Consumer Products & Services,1.92,1.9778,1.7,2.4,403.2M,7.52,13.0,14.88,7.75,3.5,1.82
6084,Telecommunications & Media,0.25,1.11,0.225,0.74,184.6M,0.69,33.0,0.77,3.08,2.0,8.0
5006,Construction,0.76,0.67,0.75,1.81,50.9M,-8.66,-13.0,-5.8,-7.63,0.0,0.0
6904,Industrial Products & Services,0.5,3.02,0.38,0.905,104.5M,-3.78,-4.0,-11.41,-22.82,0.0,0.0
7207,Industrial Products & Services,0.53,1.36,0.4,1.1,132.3M,4.88,8.0,6.63,12.51,5.7,10.75
1201,Energy,0.005,0.12,0.005,0.045,21.3M,-0.83,-5.0,-0.1,-20.0,0.0,0.0
2569,Plantation,2.6,8.6827,2.35,3.15,172.5M,0.63,47.0,5.5,2.12,2.0,0.77
3743,Property,0.435,1.12,0.37,0.92,389.7M,12.48,3.0,13.98,32.14,0.0,0.0
5211,Industrial Products & Services,1.58,1.7,1.25,1.87,"7,795.6M",9.14,10.0,15.54,9.84,7.47,4.73
5263,Construction,1.62,0.48,1.25,2.2,"2,094.5M",20.83,16.0,10.0,6.17,7.0,4.32
5176,Real Estate Investment Trusts,1.58,1.4904,1.5,1.98,"4,653.2M",9.18,12.0,13.68,8.66,9.59,6.07
7235,Industrial Products & Services,0.54,0.8071,0.4,1.13,86.4M,6.95,10.0,5.61,10.39,3.05,5.65
7106,Health Care,1.63,0.86,1.29,1.93,"2,217.3M",8.94,21.0,7.69,4.72,0.0,0.0
6521,Transportation & Logistics,0.88,3.2196,0.82,1.45,304.3M,4.69,6.0,15.1,17.16,6.0,6.82
7186,Consumer Products & Services,0.35,0.4984,0.25,0.775,63.8M,-8.59,-8.0,-4.28,-12.23,0.0,0.0
6139,Financial Services,3.3,1.48,2.93,7.18,"2,728.4M",29.82,7.0,44.13,13.37,20.0,6.06
9717,Construction,0.18,0.6682,0.18,0.285,74.9M,1.98,14.0,1.32,7.33,0.0,0.0
7082,Consumer Products & Services,0.15,0.39,0.14,0.225,92.9M,-18.28,-2.0,-7.13,-47.53,1.25,8.33
1538,Property,0.305,1.65,0.25,0.465,183.2M,10.86,2.0,17.92,58.75,1.0,3.28
7228,Energy,0.335,0.4,0.21,0.56,178.2M,3.35,25.0,1.34,4.0,0.5,1.49
5012,Plantation,2.1,3.21,1.81,3.56,934.2M,3.79,17.0,12.18,5.8,10.0,4.76
4898,Financial Services,0.495,1.48,0.335,0.69,847.4M,5.78,6.0,8.56,17.29,1.0,2.02
5158,Property,0.235,0.59,0.18,0.28,"1,250.6M",3.68,11.0,2.17,9.23,1.6,6.81
7097,Industrial Products & Services,0.05,0.34,0.03,0.251,17.9M,0.79,19.0,0.27,5.4,0.0,0.0
4022,Property,0.185,0.5056,0.12,0.33,145.0M,6.31,6.0,3.19,17.24,0.0,0.0
7211,Consumer Products & Services,0.28,0.53,0.2,0.365,22.4M,-8.98,-6.0,-4.76,-17.0,0.0,0.0
2259,Property,0.02,0.0892,0.01,0.055,85.9M,6.61,3.0,0.59,29.5,0.0,0.0
8524,Utilities,0.75,51.25,0.635,1.03,"1,511.9M",0.07,20.0,3.79,5.05,5.25,7.0
5191,Property,0.475,1.48,0.36,0.825,205.9M,7.58,4.0,11.22,23.62,4.9,10.32
4405,Consumer Products & Services,1.04,4.63,0.98,1.65,698.9M,1.4,16.0,6.49,6.24,4.0,3.85
2429,Property,0.03,0.1772,0.02,0.08,24.9M,-8.75,-2.0,-1.55,-51.67,0.0,0.0
5149,Transportation & Logistics,0.205,0.9223,0.14,0.46,36.9M,0.77,29.0,0.71,3.46,0.0,0.0
5140,Transportation & Logistics,0.78,2.18,0.65,1.58,156.0M,2.61,14.0,5.7,7.31,4.5,5.77
4448,Industrial Products & Services,5.5,4.2335,4.1,6.8,679.9M,-4.84,-27.0,-20.48,-3.72,0.0,0.0
2054,Plantation,0.2,0.44,0.11,0.445,336.5M,-10.75,-4.0,-4.73,-23.65,0.0,0.0
5289,Industrial Products & Services,0.54,0.57,0.48,0.96,124.2M,6.75,14.0,3.85,7.13,0.0,0.0
7439,Consumer Products & Services,0.81,1.3027,0.77,1.5,32.5M,6.04,10.0,7.87,9.72,0.0,0.0
7200,Consumer Products & Services,0.16,0.54,0.115,0.34,57.7M,-8.35,-4.0,-4.51,-28.19,0.0,0.0
4863,Telecommunications & Media,3.73,1.9527,2.6,4.68,"14,046.3M",8.6,22.0,16.8,4.5,10.0,2.68
5347,Utilities,12.1,10.1957,10.365,13.704,"68,811.4M",7.81,15.0,79.64,6.58,100.0,8.26
9369,Consumer Products & Services,0.96,2.17,0.9359999999999999,1.444,39.1M,7.35,6.0,15.96,16.62,8.5,8.85
7252,Consumer Products & Services,1.02,1.04,0.65,1.43,306.0M,18.86,5.0,19.61,19.23,6.0,5.88
8702,Industrial Products & Services,0.225,1.9506,0.195,0.675,27.9M,-2.85,-4.0,-5.55,-24.67,0.0,0.0
7206,Energy,0.08,0.06,0.04,0.145,89.7M,18.33,7.0,1.1,13.75,0.0,0.0
5112,Plantation,0.275,0.64,0.185,0.685,243.1M,-40.05,-1.0,-25.63,-93.2,0.0,0.0
9075,Technology,0.275,0.65,0.16,0.58,29.5M,0.26,164.0,0.17,0.62,0.0,0.0
7034,Industrial Products & Services,2.98,3.13,1.95,4.32,554.3M,10.61,9.0,33.22,11.15,8.0,2.68
0012,Consumer Products & Services,0.665,0.7077,0.53,0.97,327.2M,8.45,11.0,5.98,8.99,2.0,3.01
7889,Property,0.18,0.37,0.14,0.48,98.4M,8.38,6.0,3.1,17.22,0.0,0.0
7374,Industrial Products & Services,0.85,2.08,0.76,1.48,123.0M,-3.61,-11.0,-7.51,-8.84,5.5,6.47
7079,Property,0.065,0.23,0.03,0.135,95.2M,-2.78,-10.0,-0.64,-9.85,0.0,0.0
7854,Industrial Products & Services,0.46,0.5892,0.23,0.68,41.0M,9.13,9.0,5.38,11.7,2.0,4.35
5031,Telecommunications & Media,9.24,4.73,8.3,9.79,"5,410.3M",11.34,17.0,53.63,5.8,29.03,3.14
8397,Transportation & Logistics,0.33,1.53,0.26,0.61,152.1M,-0.75,-29.0,-1.15,-3.48,0.0,0.0
5239,Property,0.26,0.92,0.24,0.32,352.0M,1.43,20.0,1.32,5.08,0.15,0.58
0101,Health Care,0.45,0.44,0.365,0.82,783.8M,3.77,27.0,1.66,3.69,0.2,0.44
7230,Consumer Products & Services,0.31,1.55,0.24,0.6,43.0M,4.07,5.0,6.31,20.35,1.0,3.23
7285,Industrial Products & Services,0.345,0.43,0.3,0.575,145.0M,-6.53,-12.0,-2.81,-8.14,0.0,0.0
5010,Industrial Products & Services,1.49,3.06,1.23,3.65,234.6M,4.1,12.0,12.55,8.42,20.0,13.42
7113,Health Care,6.41,1.55,4.21,6.69,"16,427.8M",9.61,43.0,14.9,2.32,7.5,1.17
5111,Real Estate Investment Trusts,0.61,1.8996,0.49,0.925,171.1M,2.31,14.0,4.39,7.2,5.93,9.72
7173,Industrial Products & Services,0.62,1.17,0.55,0.89,66.3M,5.5,10.0,6.44,10.39,3.0,4.84
7176,Consumer Products & Services,0.265,0.37,0.19,0.45,62.0M,2.41,30.0,0.89,3.36,0.0,0.0
7218,Transportation & Logistics,0.455,0.89,0.43,0.655,18.7M,-14.94,-3.0,-13.3,-29.23,0.0,0.0
5054,Construction,0.25,0.89,0.2,0.765,120.1M,4.64,6.0,4.13,16.52,1.9,7.6
0118,Technology,0.01,0.03,0.005,0.025,26.5M,-7.0,-5.0,-0.21,-21.0,0.0,0.0
5401,Property,0.8,3.21,0.72,0.94,"1,176.3M",7.12,4.0,22.84,28.55,0.0,0.0
9059,Plantation,0.68,1.0426,0.56,1.59,939.6M,3.06,21.0,3.19,4.69,1.0,1.47
5042,Construction,0.25,0.9,0.18,0.595,43.6M,-16.12,-2.0,-14.51,-58.04,0.0,0.0
5230,Financial Services,0.3,0.74,0.2,0.765,225.5M,9.11,4.0,6.74,22.47,3.0,10.0
5167,Industrial Products & Services,0.64,1.0,0.53,0.825,69.1M,2.81,23.0,2.81,4.39,2.0,3.13
4359,Technology,0.065,0.54,0.06,0.165,14.9M,-0.57,-21.0,-0.31,-4.77,0.0,0.0
7100,Industrial Products & Services,1.99,0.36,1.7,2.95,897.9M,46.75,12.0,16.83,8.46,14.0,7.04
1368,Industrial Products & Services,2.6,1.89,1.88,3.52,"2,162.2M",11.57,12.0,21.86,8.41,14.0,5.38
5148,Property,0.405,1.61,0.275,1.02,"1,837.7M",3.06,8.0,4.93,12.17,0.0,0.0
7137,Industrial Products & Services,1.66,4.02,1.43,2.057,67.5M,2.87,14.0,11.55,6.96,0.0,0.0
7227,Industrial Products & Services,0.9,1.27,0.715,0.98,72.0M,3.97,18.0,5.04,5.6,3.0,3.33
4588,Consumer Products & Services,2.05,3.1607,1.65,5.667999999999999,"2,395.0M",13.04,5.0,41.21,20.1,6.0,2.93
7091,Industrial Products & Services,1.0,1.785,0.91,1.45,158.8M,7.75,7.0,13.83,13.83,3.8,3.8
5005,Technology,1.71,1.864,1.53,2.93,"1,254.9M",-0.7,-132.0,-1.3,-0.76,6.0,3.51
2593,Plantation,4.1,6.61,4.0,5.45,860.1M,4.58,14.0,30.27,7.38,8.0,1.95
2089,Plantation,24.92,12.28,23.0,27.0,"5,186.7M",11.66,17.0,143.14,5.74,135.0,5.42
7133,Industrial Products & Services,0.32,1.3126,0.23,0.8,69.7M,-0.53,-46.0,-0.7,-2.19,0.0,0.0
5200,Property,1.58,2.58,1.38,2.42,"3,108.1M",7.87,8.0,20.31,12.85,14.0,8.86
5110,Real Estate Investment Trusts,1.17,1.6708,1.05,1.48,494.8M,2.81,25.0,4.69,4.01,9.11,7.79
7757,Consumer Products & Services,1.9,3.33,1.74,2.3,151.2M,4.18,14.0,13.91,7.32,8.0,4.21
5292,Technology,1.84,0.52,0.733,3.39,"1,012.4M",15.17,23.0,7.89,4.29,0.0,0.0
7250,Energy,0.62,1.57,0.31,1.14,198.4M,6.06,7.0,9.52,15.35,0.0,0.0
6963,Industrial Products & Services,0.78,0.91,0.6,1.52,"1,453.9M",9.49,9.0,8.64,11.08,4.4,5.64
5243,Energy,0.165,0.3411,0.09,0.41,"1,355.6M",1.17,41.0,0.4,2.42,0.0,0.0
4995,Industrial Products & Services,0.22,0.3,0.18,0.4,62.5M,-12.43,-6.0,-3.73,-16.95,0.0,0.0
7240,Consumer Products & Services,0.275,0.62,0.1,0.97,51.9M,-10.74,-4.0,-6.66,-24.22,0.0,0.0
0097,Technology,7.5,1.0242,6.09,9.57,"3,532.8M",16.51,44.0,16.91,2.25,5.75,0.77
7070,Construction,0.29,0.9803,0.215,1.17,179.4M,7.24,4.0,7.1,24.48,0.0,0.0
5162,Technology,0.955,1.71,0.7,1.67,171.9M,9.61,6.0,16.44,17.21,5.5,5.76
5142,Energy,0.67,1.27,0.46,1.453,519.2M,2.45,22.0,3.11,4.64,0.0,0.0
7203,Consumer Products & Services,0.78,1.23,0.68,1.17,124.8M,5.89,11.0,7.25,9.29,0.0,0.0
5016,Consumer Products & Services,1.5,4.97,1.39,2.27,100.8M,-2.05,-15.0,-10.18,-6.79,3.0,2.0
7226,Industrial Products & Services,0.5,0.68,0.365,0.81,42.2M,3.35,22.0,2.28,4.56,0.0,0.0
3565,Construction,0.225,0.9695,0.145,0.695,291.8M,-1.72,-13.0,-1.67,-7.42,0.0,0.0
9679,Construction,0.395,2.22,0.245,1.22,560.2M,-0.88,-20.0,-1.95,-4.94,0.0,0.0
0197,Consumer Products & Services,0.13,0.16,0.1,0.37,65.0M,9.94,8.0,1.59,12.23,0.5,3.85
7231,Industrial Products & Services,0.785,0.23800000000000002,0.55,1.32,390.9M,30.71,11.0,7.31,9.31,5.65,7.2
5246,Transportation & Logistics,3.5,0.7508,2.97,4.54,"11,935.0M",23.08,20.0,17.33,4.95,13.0,3.71
5009,Industrial Products & Services,0.73,2.82,0.645,1.2,175.2M,-9.44,-3.0,-26.63,-36.48,0.0,0.0
7692,Industrial Products & Services,0.55,0.85,0.43,0.7,24.6M,3.32,20.0,2.82,5.13,0.0,0.0
0008,Technology,0.395,0.34,0.3,0.645,195.9M,8.82,13.0,3.0,7.59,1.0,2.53
6378,Property,0.055,0.43,0.035,0.15,23.4M,-9.05,-1.0,-3.89,-70.73,0.0,0.0
7050,Industrial Products & Services,0.385,0.62,0.28,0.65,44.1M,8.4,7.0,5.21,13.53,2.5,6.49
7025,Industrial Products & Services,0.43,1.04,0.465,0.83,17.2M,-8.48,-5.0,-8.82,-20.51,1.5,3.49
4243,Industrial Products & Services,0.275,2.06,0.2,0.7,132.4M,-11.2,-1.0,-23.07,-83.89,1.5,5.45
7245,Industrial Products & Services,0.105,0.27,0.05,0.315,53.7M,-67.07,-1.0,-18.11,-172.48,0.0,0.0
7121,Consumer Products & Services,0.26,0.61,0.2,0.73,20.8M,-1.62,-26.0,-0.99,-3.81,0.0,0.0
5156,Consumer Products & Services,0.08,0.8,0.07,0.175,144.4M,2.01,5.0,1.61,20.12,0.0,0.0
5267,Transportation & Logistics,0.4,0.87,0.245,0.84,86.4M,1.86,25.0,1.62,4.05,0.5,1.25
7003,Property,0.71,1.34,0.65,0.995,155.1M,1.37,39.0,1.84,2.59,0.0,0.0
7178,Health Care,1.81,2.35,1.45,2.883,252.9M,7.01,11.0,16.47,9.1,17.0,9.39
5584,Consumer Products & Services,1.75,3.3778,1.7,2.35,335.3M,3.66,14.0,12.35,7.06,4.0,2.29
5048,Industrial Products & Services,0.42,1.35,0.405,0.65,61.1M,-2.96,-11.0,-3.99,-9.5,0.0,0.0
7293,Energy,4.9,1.49,4.24,7.42,"5,368.7M",12.86,26.0,19.16,3.91,6.0,1.22
7020,Industrial Products & Services,0.08,0.1,0.06,0.17,28.1M,-23.0,-3.0,-2.3,-28.75,0.0,0.0
7014,Industrial Products & Services,0.17,1.2,0.15,0.3,17.5M,-7.32,-2.0,-8.78,-51.65,0.0,0.0
3158,Property,2.65,2.2,1.12,2.8,"1,401.8M",3.62,33.0,7.97,3.01,0.0,0.0
7066,Property,0.055,0.61,0.035,0.415,52.5M,-12.7,-1.0,-7.75,-140.91,0.0,0.0
5159,Consumer Products & Services,0.565,1.44,0.43,1.21,90.4M,6.9,6.0,9.93,17.58,5.0,8.85
4677,Utilities,0.79,1.24,0.6,1.25,"8,708.0M",0.89,72.0,1.1,1.39,4.0,5.06
5109,Real Estate Investment Trusts,0.935,1.5837,0.7,1.39,"1,593.6M",4.31,14.0,6.82,7.29,7.87,8.42
6742,Utilities,0.655,1.59,0.48,0.915,"5,343.6M",3.08,13.0,4.89,7.47,5.0,7.63
7028,Construction,0.38,1.76,0.225,0.7,54.8M,11.35,2.0,19.97,52.55,0.0,0.0
2283,Construction,0.05,0.06,0.03,0.11,42.2M,5.17,16.0,0.31,6.2,0.0,0.0
5131,Consumer Products & Services,1.0,1.3361,0.95,1.636,460.0M,8.06,9.0,10.77,10.77,12.0,12.0
5295,UNKNOWN,0.32,0.1382,0.242,0.716,225.9M,32.42,7.0,4.48,14.0,1.0,3.13
8346,Transportation & Logistics,0.105,0.03,0.09,0.595,10.5M,-2553.67,0.0,-76.61,-729.62,0.0,0.0
7158,Energy,0.02,-0.02,0.01,0.12,21.9M,1373.0,0.0,-27.46,-1373.0,0.0,0.0
