code,category,price,NTA,52w low,52w high,market cap,ROE,P/E,EPS,EY,DPS,DY
5085,Construction,0.25,0.25,0.145,0.555,151.4M,-56.04,-2.0,-14.01,-56.04,0.0,0.0
5703,Construction,0.88,2.31,0.72,2.91,427.0M,3.37,11.0,7.79,8.85,7.5,8.52
3913,Property,0.19,0.3728,0.145,0.255,145.2M,5.42,9.0,2.02,10.63,0.0,0.0
3905,Consumer Products & Services,1.22,8.98,1.1,2.44,389.9M,-7.38,-2.0,-66.29,-54.34,0.0,0.0
9539,Property,0.3,1.16,0.24,0.54,16.9M,-0.99,-26.0,-1.15,-3.83,0.0,0.0
0138,Technology,0.975,0.1981,0.765,1.75,"3,516.1M",34.43,14.0,6.82,6.99,1.9,1.95
5087,Industrial Products & Services,0.21,1.2,0.14,0.505,68.7M,-3.17,-6.0,-3.8,-18.1,0.0,0.0
5275,Consumer Products & Services,0.705,0.45,0.575,1.49,480.9M,7.47,21.0,3.36,4.77,1.0,1.42
5073,Property,0.645,2.62,0.335,1.41,331.4M,4.18,6.0,10.96,16.99,0.0,0.0
9806,Transportation & Logistics,0.1,0.43,0.04,0.36,12.3M,-72.67,-0.0,-31.25,-312.5,0.0,0.0
2038,Plantation,2.4,7.77,2.23,3.65,168.5M,-0.47,-66.0,-3.66,-1.52,8.0,3.33
4707,Consumer Products & Services,136.8,2.84,120.0,149.9,"32,079.6M",101.04,48.0,286.96,2.1,280.0,2.05
7060,Consumer Products & Services,1.91,5.61,1.9,2.86,157.9M,3.21,11.0,17.99,9.42,3.0,1.57
7241,Industrial Products & Services,0.245,0.23,0.14,0.485,130.3M,-27.09,-4.0,-6.23,-25.43,0.0,0.0
7215,Consumer Products & Services,0.075,0.27,0.055,0.295,24.1M,-7.07,-4.0,-1.91,-25.47,0.0,0.0
7139,Consumer Products & Services,0.04,0.05,0.02,0.075,28.1M,-6.0,-13.0,-0.3,-7.5,0.0,0.0
0083,Technology,0.7,1.2655,0.41,1.38,235.7M,5.62,10.0,7.11,10.16,1.0,1.43
5047,Plantation,1.92,4.37,1.68,2.0,230.4M,-2.29,-19.0,-9.99,-5.2,0.0,0.0
5066,Consumer Products & Services,0.385,0.4,0.295,0.575,432.4M,-0.58,-164.0,-0.23,-0.6,1.6,4.16
5025,Industrial Products & Services,0.13,0.0806,0.065,0.23,56.1M,-18.11,-9.0,-1.46,-11.23,0.0,0.0
4944,Industrial Products & Services,0.435,1.87,0.33,0.72,84.5M,-2.06,-11.0,-3.85,-8.85,2.0,4.6
5533,Consumer Products & Services,0.41,1.81,0.3,0.58,42.2M,-14.23,-2.0,-25.75,-62.8,0.0,0.0
0049,Consumer Products & Services,0.415,0.4015,0.29,0.82,101.8M,7.22,14.0,2.9,6.99,1.0,2.41
0172,Telecommunications & Media,0.435,0.54,0.345,0.665,417.0M,5.43,15.0,2.93,6.74,0.0,0.0
7071,Construction,0.225,0.26,0.185,0.37,75.6M,10.23,8.0,2.66,11.82,0.0,0.0
7140,Industrial Products & Services,0.52,0.73,0.38,0.825,127.6M,6.99,10.0,5.1,9.81,3.7,7.12
3018,Consumer Products & Services,0.07,0.41,0.05,0.135,71.6M,-5.41,-3.0,-2.22,-31.71,0.0,0.0
9008,Technology,0.45,0.3485,0.32,0.715,238.9M,14.18,9.0,4.94,10.98,0.0,0.0
5260,Consumer Products & Services,0.26,0.91,0.155,0.74,74.1M,-4.6,-6.0,-4.19,-16.12,0.0,0.0
7107,Consumer Products & Services,0.6,0.81,0.45,0.9,144.0M,6.15,12.0,4.98,8.3,2.2,3.67
4006,Consumer Products & Services,4.97,10.7469,4.5,6.67,"3,083.4M",5.26,9.0,56.57,11.38,40.0,8.05
5827,Property,1.62,2.9,1.58,2.2,250.9M,9.85,6.0,28.56,17.63,8.0,4.94
5065,Industrial Products & Services,0.935,2.36,0.7,1.42,70.4M,7.44,5.0,17.55,18.77,3.0,3.21
5053,Property,0.745,2.41,0.64,1.05,"1,561.0M",8.16,4.0,19.66,26.39,5.0,6.71
7225,Industrial Products & Services,0.04,0.0652,0.035,0.075,89.8M,3.37,18.0,0.22,5.5,0.0,0.0
7095,Industrial Products & Services,1.14,1.17,0.72,1.65,437.8M,0.0,0.0,0.0,0.0,5.0,4.39
