code,category,current_price,52w low,52w high,market cap,NTA
5250,Consumer Products & Services,1.35,1.27,1.56,"1,665.1M",0.0893
7214,Industrial Products & Services,0.395,0.37,0.565,67.2M,0.81
7086,Industrial Products & Services,0.05,0.045,0.095,13.2M,0.17
5198,Industrial Products & Services,0.49,0.37,0.71,88.2M,0.89
7131,Property,0.22,0.176,0.335,54.7M,0.34
7120,Consumer Products & Services,0.27,0.26,0.46,52.5M,0.52
1481,Consumer Products & Services,0.1,0.09,0.24,92.9M,0.518
5281,Construction,0.28,0.27,0.485,113.1M,0.48
9148,Industrial Products & Services,2.1,1.74,2.4,43.1M,1.53
7191,Health Care,0.52,0.35,0.97,79.4M,0.23
7146,Industrial Products & Services,0.09,0.08,0.13,29.6M,0.2
6599,Consumer Products & Services,1.0,0.98,1.83,"1,404.0M",1.21
5139,Financial Services,12.36,12.32,17.36,"3,134.8M",6.04
5185,Financial Services,1.55,1.5,2.29,"3,078.3M",4.7
7145,Construction,0.065,0.055,0.17,32.6M,0.51
7315,Consumer Products & Services,0.06,0.055,0.185,10.6M,0.167
7078,Construction,0.195,0.185,0.575,116.6M,0.7139
5099,Consumer Products & Services,0.82,0.79,3.05,"2,740.4M",1.33
5238,Consumer Products & Services,0.065,0.06,0.26,269.6M,0.05
2658,Consumer Products & Services,13.6,13.36,18.48,826.9M,7.91
7609,Industrial Products & Services,0.28,0.27,0.575,85.3M,1.18
5116,Real Estate Investment Trusts,1.36,1.19,1.65,"1,000.9M",1.3024
5269,Real Estate Investment Trusts,0.8,0.78,0.94,464.0M,1.076
5115,Energy,0.06,0.05,0.2,67.9M,0.37
2674,Industrial Products & Services,0.32,0.28,0.575,43.0M,0.91
2488,Financial Services,1.87,1.84,4.22,"2,895.0M",3.82
1163,Financial Services,13.6,13.0,17.02,"2,405.7M",20.77
2682,Industrial Products & Services,0.2,0.2,0.33,28.9M,0.9812
4952,Real Estate Investment Trusts,0.71,0.71,0.83,156.2M,1.2824
5127,Real Estate Investment Trusts,0.68,0.655,0.865,389.8M,1.3378
1007,Property,0.37,0.35,0.58,271.3M,1.45
5293,Construction,1.37,1.37,2.05,585.1M,1.45
5120,Real Estate Investment Trusts,0.425,0.415,0.55,291.7M,1.219
1015,Financial Services,3.16,3.16,4.64,"9,524.8M",6.08
7031,Telecommunications & Media,0.525,0.5,0.68,28.5M,0.9262
5959,Property,1.2,0.99,1.28,438.1M,1.97
6351,Consumer Products & Services,4.94,4.8,6.25,812.1M,1.35
7083,Industrial Products & Services,1.0,0.92,1.18,120.0M,2.49
4758,Industrial Products & Services,0.535,0.435,0.77,128.9M,1.38
6556,Industrial Products & Services,0.745,0.7,1.88,417.1M,2.23
9342,Industrial Products & Services,0.015,0.01,0.05,13.2M,0.1616
5568,Industrial Products & Services,0.45,0.355,0.73,50.8M,1.39
5088,Financial Services,0.69,0.69,1.08,147.4M,1.49
7090,Health Care,2.2,1.97,9.44,"1,039.2M",0.9
5194,Consumer Products & Services,0.005,0.005,0.025,6.7M,-0.01
5015,Industrial Products & Services,1.8,1.67,3.1,362.9M,6.51
6432,Consumer Products & Services,3.2,3.18,4.09,256.0M,3.14
7181,Industrial Products & Services,0.155,0.145,0.605,45.5M,0.38
7007,Property,0.115,0.115,0.5,7.3M,0.27
7722,Consumer Products & Services,0.44,0.42,0.58,102.4M,0.86
7129,Consumer Products & Services,1.79,1.67,2.6,348.6M,3.152
0159,Telecommunications & Media,0.05,0.045,0.17,12.0M,-1.69
4057,Property,0.09,0.085,0.17,93.3M,1.029
7162,Industrial Products & Services,0.58,0.55,0.76,159.0M,1.42
7054,Plantation,0.075,0.065,0.235,49.5M,0.2834
6399,Telecommunications & Media,0.98,0.91,1.61,"5,110.2M",0.1595
8176,Industrial Products & Services,1.14,1.07,1.85,"1,373.0M",0.55
7048,Consumer Products & Services,4.0,3.8,4.8,"1,014.6M",2.03
5130,Real Estate Investment Trusts,1.01,0.99,1.27,206.7M,1.2786
7099,Industrial Products & Services,0.445,0.375,0.64,94.9M,1.64
8885,Consumer Products & Services,0.075,0.06,0.25,70.8M,0.2338
7579,Industrial Products & Services,0.325,0.29,0.795,97.1M,0.688
6888,Telecommunications & Media,3.9,3.48,5.28,"35,740.2M",1.77
5106,Real Estate Investment Trusts,1.84,1.69,2.01,"2,653.9M",1.4484
2305,Property,5.7,3.8,6.21,426.7M,6.99
5021,Industrial Products & Services,0.23,0.17,0.36,87.5M,0.69
7005,Industrial Products & Services,0.27,0.26,0.485,14.3M,0.56
7251,Energy,0.015,0.01,0.13,12.5M,-22.1
1899,Plantation,14.4,14.0,17.68,"6,388.8M",14.32
6602,Property,0.28,0.22,0.395,115.5M,1.18
5190,Construction,0.085,0.075,0.23,73.3M,0.66
3239,Property,0.28,0.27,0.32,716.3M,0.85
3395,Industrial Products & Services,0.22,0.2,0.28,"1,147.3M",1.2031
5196,Consumer Products & Services,1.25,1.15,1.81,477.7M,1.0423
4219,Consumer Products & Services,0.15,0.135,0.29,750.1M,0.82
6025,Telecommunications & Media,0.105,0.075,0.27,24.7M,-0.04
1562,Consumer Products & Services,2.1,2.05,2.82,"2,837.2M",0.59
5248,Consumer Products & Services,1.48,1.48,2.78,"1,722.1M",0.4164
9814,Property,0.18,0.11,0.285,37.2M,0.82
5258,Financial Services,3.44,3.44,4.75,"6,166.8M",3.34
6173,Property,0.265,0.265,0.585,80.5M,1.53
5932,Construction,0.05,0.045,0.235,38.2M,0.3757
6998,Industrial Products & Services,0.095,0.075,0.15,27.5M,0.29
5032,Transportation & Logistics,4.0,3.55,5.06,"1,840.0M",2.8915
